"","date","IRMD"
"1","2014-07-16",9.9
"2","2014-07-17",9
"3","2014-07-18",8.8
"4","2014-07-21",8.79
"5","2014-07-22",8.75
"6","2014-07-23",8.99
"7","2014-07-24",9.22
"8","2014-07-25",9.21
"9","2014-07-28",9.25
"10","2014-07-29",9.35
"11","2014-07-30",9.3
"12","2014-07-31",9.13
"13","2014-08-01",9.37
"14","2014-08-04",9.43
"15","2014-08-05",9.35
"16","2014-08-06",9.38
"17","2014-08-07",9.5
"18","2014-08-08",11.03
"19","2014-08-11",11.04
"20","2014-08-12",10.47
"21","2014-08-13",11
"22","2014-08-14",10.84
"23","2014-08-15",10.75
"24","2014-08-18",10.89
"25","2014-08-19",10.98
"26","2014-08-20",11.08
"27","2014-08-21",11.29
"28","2014-08-22",11.1
"29","2014-08-25",11.15
"30","2014-08-26",11.1
"31","2014-08-27",10.95
"32","2014-08-28",10.87
"33","2014-08-29",10.8
"34","2014-09-02",10.4
"35","2014-09-03",7.15
"36","2014-09-04",7.68
"37","2014-09-05",7.7
"38","2014-09-08",7.91
"39","2014-09-09",7.66
"40","2014-09-10",7.65
"41","2014-09-11",7.8
"42","2014-09-12",7.655
"43","2014-09-15",7.37
"44","2014-09-16",7.18
"45","2014-09-17",7.325
"46","2014-09-18",7.16
"47","2014-09-19",6.75
"48","2014-09-22",7.07
"49","2014-09-23",6.952
"50","2014-09-24",7.12
"51","2014-09-25",6.94
"52","2014-09-26",7.14
"53","2014-09-29",7.1
"54","2014-09-30",7.01
"55","2014-10-01",7.045
"56","2014-10-02",7.17
"57","2014-10-03",7.2
"58","2014-10-06",7.31
"59","2014-10-07",7.12
"60","2014-10-08",7.13
"61","2014-10-09",7.25
"62","2014-10-10",7.2
"63","2014-10-13",7.25
"64","2014-10-14",7.29
"65","2014-10-15",7
"66","2014-10-16",7.02
"67","2014-10-17",7.23
"68","2014-10-20",7.18
"69","2014-10-21",7.24
"70","2014-10-22",7.2
"71","2014-10-23",7.3
"72","2014-10-24",7.21
"73","2014-10-27",7.475
"74","2014-10-28",7.345
"75","2014-10-29",7.41
"76","2014-10-30",7.11
"77","2014-10-31",7.27
"78","2014-11-03",7.262
"79","2014-11-04",7.47
"80","2014-11-05",7.49
"81","2014-11-06",7.52
"82","2014-11-07",7.4
"83","2014-11-10",7.28
"84","2014-11-11",7.51
"85","2014-11-12",7.59
"86","2014-11-13",7.905
"87","2014-11-14",7.96
"88","2014-11-17",8.52
"89","2014-11-18",8.44
