"","date","HDS"
"193","2014-04-02",26.440001
"194","2014-04-03",26.629999
"195","2014-04-04",26.860001
"196","2014-04-07",25.84
"197","2014-04-08",25.459999
"198","2014-04-09",25.870001
"199","2014-04-10",25.309999
"200","2014-04-11",24.889999
"201","2014-04-14",24.93
"202","2014-04-15",25.129999
"203","2014-04-16",25.26
"204","2014-04-17",25.549999
"205","2014-04-21",25.889999
"206","2014-04-22",26.27
"207","2014-04-23",26.299999
"208","2014-04-24",26.49
"209","2014-04-25",25.93
"210","2014-04-28",26.219999
"211","2014-04-29",26.709999
"212","2014-04-30",25.780001
"213","2014-05-01",26.360001
"214","2014-05-02",25.709999
"215","2014-05-05",25.940001
"216","2014-05-06",25.93
"217","2014-05-07",25.950001
"218","2014-05-08",25.799999
"219","2014-05-09",25.83
"220","2014-05-12",26.67
"221","2014-05-13",26.620001
"222","2014-05-14",26.35
"223","2014-05-15",25.85
"224","2014-05-16",25.969999
"225","2014-05-19",26.049999
"226","2014-05-20",25.43
"227","2014-05-21",25.780001
"228","2014-05-22",25.68
"229","2014-05-23",25.690001
"230","2014-05-27",26.01
"231","2014-05-28",26.139999
"232","2014-05-29",26.26
"233","2014-05-30",26.27
"234","2014-06-02",26.51
"235","2014-06-03",26.790001
"236","2014-06-04",26.98
"237","2014-06-05",27.23
"238","2014-06-06",27.370001
"239","2014-06-09",27.6
"240","2014-06-10",28.6
"241","2014-06-11",28.77
"242","2014-06-12",27.620001
"243","2014-06-13",27.809999
"244","2014-06-16",28.24
"245","2014-06-17",28.01
"246","2014-06-18",28.719999
"247","2014-06-19",28.17
"248","2014-06-20",28.530001
"249","2014-06-23",28.190001
"250","2014-06-24",27.84
"251","2014-06-25",27.85
"252","2014-06-26",28.049999
"253","2014-06-27",28.030001
"254","2014-06-30",28.389999
"255","2014-07-01",28.049999
"256","2014-07-02",28.049999
"257","2014-07-03",28.709999
"258","2014-07-07",27.950001
"259","2014-07-08",27.549999
"260","2014-07-09",27.23
"261","2014-07-10",27.17
"262","2014-07-11",26.690001
"263","2014-07-14",26.940001
"264","2014-07-15",26.66
"265","2014-07-16",27.01
"266","2014-07-17",26.559999
"267","2014-07-18",26.9
"268","2014-07-21",26.870001
"269","2014-07-22",27.360001
"270","2014-07-23",27.32
"271","2014-07-24",27.120001
"272","2014-07-25",26.879999
"273","2014-07-28",26.41
"274","2014-07-29",26.190001
"275","2014-07-30",25.959999
"276","2014-07-31",25.42
"277","2014-08-01",25.23
"278","2014-08-04",25.549999
"279","2014-08-05",25.58
"280","2014-08-06",25.59
"281","2014-08-07",25.790001
"282","2014-08-08",25.940001
"283","2014-08-11",26.450001
"284","2014-08-12",26.389999
"285","2014-08-13",26.49
"286","2014-08-14",26.889999
"287","2014-08-15",26.6
"288","2014-08-18",27.17
"289","2014-08-19",27.6
"290","2014-08-20",27.6
"291","2014-08-21",27.83
"292","2014-08-22",28.030001
"293","2014-08-25",27.969999
"294","2014-08-26",27.639999
"295","2014-08-27",27.68
"296","2014-08-28",27.76
"297","2014-08-29",27.77
"298","2014-09-02",27.209999
"299","2014-09-03",27.190001
"300","2014-09-04",27.1
"301","2014-09-05",27.620001
"302","2014-09-08",27.389999
"303","2014-09-09",28.15
"304","2014-09-10",27.83
"305","2014-09-11",27.780001
"306","2014-09-12",28.200001
"307","2014-09-15",28.209999
"308","2014-09-16",28.549999
"309","2014-09-17",28.52
"310","2014-09-18",29.18
"311","2014-09-19",29.35
"312","2014-09-22",28.76
"313","2014-09-23",28.690001
"314","2014-09-24",28.73
"315","2014-09-25",28.08
"316","2014-09-26",28.139999
"317","2014-09-29",27.91
"318","2014-09-30",27.26
"319","2014-10-01",26.969999
"320","2014-10-02",27.07
"321","2014-10-03",27.32
"322","2014-10-06",27.299999
"323","2014-10-07",26.98
"324","2014-10-08",27.09
"325","2014-10-09",26.43
"326","2014-10-10",25.23
"327","2014-10-13",23.91
"328","2014-10-14",23.99
"329","2014-10-15",23.91
"330","2014-10-16",24.51
"331","2014-10-17",25.4
"332","2014-10-20",25.540001
"333","2014-10-21",26.719999
"334","2014-10-22",26.610001
"335","2014-10-23",27.219999
"336","2014-10-24",27.68
"337","2014-10-27",27.34
"338","2014-10-28",28.02
"339","2014-10-29",27.91
"340","2014-10-30",27.940001
"341","2014-10-31",28.84
"342","2014-11-03",28.74
"343","2014-11-04",28.780001
"344","2014-11-05",29.49
"345","2014-11-06",29.33
"346","2014-11-07",29.01
"347","2014-11-10",29.059999
"348","2014-11-11",28.67
"349","2014-11-12",28.4
"350","2014-11-13",28.25
"351","2014-11-14",28.049999
"352","2014-11-17",28.200001
"353","2014-11-18",28.629999
"354","2014-11-19",28.440001
"355","2014-11-20",28.49
"356","2014-11-21",29.08
"357","2014-11-24",29.629999
