"","date","GLT"
"1","2007-01-03",15.76
"2","2007-01-04",15.73
"3","2007-01-05",15.63
"4","2007-01-08",15.52
"5","2007-01-09",15.53
"6","2007-01-10",15.55
"7","2007-01-11",15.77
"8","2007-01-12",15.82
"9","2007-01-16",15.92
"10","2007-01-17",15.84
"11","2007-01-18",15.73
"12","2007-01-19",15.79
"13","2007-01-22",15.64
"14","2007-01-23",15.85
"15","2007-01-24",16.01
"16","2007-01-25",15.85
"17","2007-01-26",15.87
"18","2007-01-29",16.049999
"19","2007-01-30",16.16
"20","2007-01-31",16.190001
"21","2007-02-01",16.110001
"22","2007-02-02",16.23
"23","2007-02-05",16.049999
"24","2007-02-06",16.24
"25","2007-02-07",16.299999
"26","2007-02-08",16.26
"27","2007-02-09",15.96
"28","2007-02-12",16
"29","2007-02-13",16.25
"30","2007-02-14",16.440001
"31","2007-02-15",17.58
"32","2007-02-16",17.629999
"33","2007-02-20",17.35
"34","2007-02-21",17.6
"35","2007-02-22",17.6
"36","2007-02-23",17.68
"37","2007-02-26",17.83
"38","2007-02-27",16.9
"39","2007-02-28",16.98
"40","2007-03-01",16.799999
"41","2007-03-02",16.34
"42","2007-03-05",15.91
"43","2007-03-06",16.1
"44","2007-03-07",15.94
"45","2007-03-08",15.86
"46","2007-03-09",16.16
"47","2007-03-12",16.09
"48","2007-03-13",15.45
"49","2007-03-14",15.83
"50","2007-03-15",15.77
"51","2007-03-16",15.61
"52","2007-03-19",15.71
"53","2007-03-20",15.7
"54","2007-03-21",15.87
"55","2007-03-22",15.79
"56","2007-03-23",15.72
"57","2007-03-26",15.72
"58","2007-03-27",15.46
"59","2007-03-28",15.15
"60","2007-03-29",15.25
"61","2007-03-30",14.91
"62","2007-04-02",15.26
"63","2007-04-03",15.38
"64","2007-04-04",15.43
"65","2007-04-05",15.38
"66","2007-04-09",15.47
"67","2007-04-10",15.68
"68","2007-04-11",15.48
"69","2007-04-12",15.65
"70","2007-04-13",15.55
"71","2007-04-16",16.01
"72","2007-04-17",15.89
"73","2007-04-18",15.69
"74","2007-04-19",15.22
"75","2007-04-20",15.39
"76","2007-04-23",15.2
"77","2007-04-24",15.45
"78","2007-04-25",15.34
"79","2007-04-26",15.24
"80","2007-04-27",15.09
"81","2007-04-30",14.95
"82","2007-05-01",13.93
"83","2007-05-02",14.27
"84","2007-05-03",14.21
"85","2007-05-04",14.26
"86","2007-05-07",14.12
"87","2007-05-08",14.11
"88","2007-05-09",14.08
"89","2007-05-10",13.88
"90","2007-05-11",13.9
"91","2007-05-14",13.57
"92","2007-05-15",13.61
"93","2007-05-16",13.55
"94","2007-05-17",13.55
"95","2007-05-18",13.61
"96","2007-05-21",13.65
"97","2007-05-22",13.67
"98","2007-05-23",13.55
"99","2007-05-24",13.32
"100","2007-05-25",13.52
"101","2007-05-29",13.51
"102","2007-05-30",13.61
"103","2007-05-31",13.59
"104","2007-06-01",14.01
"105","2007-06-04",14.03
"106","2007-06-05",13.84
"107","2007-06-06",13.78
"108","2007-06-07",13.59
"109","2007-06-08",13.78
"110","2007-06-11",13.65
"111","2007-06-12",13.53
"112","2007-06-13",13.62
"113","2007-06-14",13.54
"114","2007-06-15",13.7
"115","2007-06-18",13.85
"116","2007-06-19",13.89
"117","2007-06-20",13.63
"118","2007-06-21",13.59
"119","2007-06-22",13.82
"120","2007-06-25",13.53
"121","2007-06-26",13.49
"122","2007-06-27",13.64
"123","2007-06-28",13.75
"124","2007-06-29",13.59
"125","2007-07-02",13.62
"126","2007-07-03",13.79
"127","2007-07-05",13.93
"128","2007-07-06",14.07
"129","2007-07-09",14.07
"130","2007-07-10",14.49
"131","2007-07-11",14.48
"132","2007-07-12",14.8
"133","2007-07-13",14.84
"134","2007-07-16",14.78
"135","2007-07-17",14.69
"136","2007-07-18",14.73
"137","2007-07-19",14.72
"138","2007-07-20",14.3
"139","2007-07-23",14.44
"140","2007-07-24",14.06
"141","2007-07-25",13.96
"142","2007-07-26",13.5
"143","2007-07-27",13.28
"144","2007-07-30",13.45
"145","2007-07-31",13.43
"146","2007-08-01",13.38
"147","2007-08-02",13.62
"148","2007-08-03",13.16
"149","2007-08-06",14.03
"150","2007-08-07",14.27
"151","2007-08-08",14.62
"152","2007-08-09",14.4
"153","2007-08-10",14.08
"154","2007-08-13",13.89
"155","2007-08-14",13.9
"156","2007-08-15",13.65
"157","2007-08-16",14.16
"158","2007-08-17",14.49
"159","2007-08-20",14.64
"160","2007-08-21",14.68
"161","2007-08-22",14.58
"162","2007-08-23",14.33
"163","2007-08-24",14.57
"164","2007-08-27",14.75
"165","2007-08-28",14.48
"166","2007-08-29",14.6
"167","2007-08-30",14.73
"168","2007-08-31",14.76
"169","2007-09-04",15
"170","2007-09-05",14.96
"171","2007-09-06",15
"172","2007-09-07",14.88
"173","2007-09-10",14.54
"174","2007-09-11",14.74
"175","2007-09-12",14.54
"176","2007-09-13",14.57
