"","date","BVH"
"1","2007-01-03",33.599998
"2","2007-01-04",33.75
"3","2007-01-05",31.75
"4","2007-01-08",30.450001
"5","2007-01-09",29.950001
"6","2007-01-10",30.049999
"7","2007-01-11",31.6
"8","2007-01-12",31.35
"9","2007-01-16",30.25
"10","2007-01-17",31.15
"11","2007-01-18",31.049999
"12","2007-01-19",31
"13","2007-01-22",30.950001
"14","2007-01-23",31.15
"15","2007-01-24",31.049999
"16","2007-01-25",31.049999
"17","2007-01-26",31.1
"18","2007-01-29",31.25
"19","2007-01-30",31.75
"20","2007-01-31",31.15
"21","2007-02-01",31.5
"22","2007-02-02",30.85
"23","2007-02-05",30.5
"24","2007-02-06",30.4
"25","2007-02-07",30.450001
"26","2007-02-08",30.35
"27","2007-02-09",29.85
"28","2007-02-12",30.4
"29","2007-02-13",30.65
"30","2007-02-14",30.5
"31","2007-02-15",30.200001
"32","2007-02-16",29.799999
"33","2007-02-20",30.85
"34","2007-02-21",30.75
"35","2007-02-22",31
"36","2007-02-23",30.75
"37","2007-02-26",30.6
"38","2007-02-27",30
"39","2007-02-28",28.950001
"40","2007-03-01",27.75
"41","2007-03-02",27.25
"42","2007-03-05",26.9
"43","2007-03-06",26.950001
"44","2007-03-07",26.1
"45","2007-03-08",25.85
"46","2007-03-09",25.700001
"47","2007-03-12",25.049999
"48","2007-03-13",23.4
"49","2007-03-14",23.700001
"50","2007-03-15",25.15
"51","2007-03-16",24.1
"52","2007-03-19",24.1
"53","2007-03-20",24.1
"54","2007-03-21",23.85
"55","2007-03-22",24
"56","2007-03-23",23.75
"57","2007-03-26",22.65
"58","2007-03-27",22.85
"59","2007-03-28",22.200001
"60","2007-03-29",21.549999
"61","2007-03-30",21.1
"62","2007-04-02",21.1
"63","2007-04-03",22.049999
"64","2007-04-04",21.4
"65","2007-04-05",20.65
"66","2007-04-09",20.75
"67","2007-04-10",21.25
"68","2007-04-11",21.15
"69","2007-04-12",21.200001
"70","2007-04-13",21
"71","2007-04-16",20.35
"72","2007-04-17",20.9
"73","2007-04-18",20.549999
"74","2007-04-19",20.35
"75","2007-04-20",21.15
"76","2007-04-23",20.549999
"77","2007-04-24",20.200001
"78","2007-04-25",20
"79","2007-04-26",20.450001
"80","2007-04-27",20
"81","2007-04-30",18.799999
"82","2007-05-01",19.6
"83","2007-05-02",19.5
"84","2007-05-03",20.9
"85","2007-05-04",21
"86","2007-05-07",22.5
"87","2007-05-08",22.35
"88","2007-05-09",22.15
"89","2007-05-10",21.700001
"90","2007-05-11",21.950001
"91","2007-05-14",21.75
"92","2007-05-15",20.9
"93","2007-05-16",21.5
"94","2007-05-17",21.25
"95","2007-05-18",20.9
"96","2007-05-21",21.5
"97","2007-05-22",21.75
"98","2007-05-23",21.25
"99","2007-05-24",20.4
"100","2007-05-25",20.25
"101","2007-05-29",20.5
"102","2007-05-30",20.15
"103","2007-05-31",20.9
"104","2007-06-01",21.5
"105","2007-06-04",22.200001
"106","2007-06-05",22
"107","2007-06-06",21.200001
"108","2007-06-07",20.1
"109","2007-06-08",19.549999
"110","2007-06-11",19.25
"111","2007-06-12",19.1
"112","2007-06-13",20
"113","2007-06-14",20.299999
"114","2007-06-15",19.950001
"115","2007-06-18",20.200001
"116","2007-06-19",20.1
"117","2007-06-20",19.75
"118","2007-06-21",20.25
"119","2007-06-22",20.299999
"120","2007-06-25",19.75
"121","2007-06-26",18.85
"122","2007-06-27",19.1
"123","2007-06-28",19.299999
"124","2007-06-29",19.5
"125","2007-07-02",19.75
"126","2007-07-03",20.049999
"127","2007-07-05",20.200001
"128","2007-07-06",20.200001
"129","2007-07-09",19.9
"130","2007-07-10",18.299999
"131","2007-07-11",17.799999
"132","2007-07-12",17.5
"133","2007-07-13",17.5
"134","2007-07-16",17.35
"135","2007-07-17",17.75
"136","2007-07-18",17.049999
"137","2007-07-19",17.15
"138","2007-07-20",16.9
"139","2007-07-23",17.25
"140","2007-07-24",16.799999
"141","2007-07-25",17.200001
"142","2007-07-26",16.65
"143","2007-07-27",16.5
"144","2007-07-30",16.75
"145","2007-07-31",15.65
"146","2007-08-01",15
"147","2007-08-02",14.35
"148","2007-08-03",13.4
"149","2007-08-06",11.1
"150","2007-08-07",11.25
"151","2007-08-08",12.85
"152","2007-08-09",12.85
"153","2007-08-10",12.35
"154","2007-08-13",12.85
"155","2007-08-14",12.65
"156","2007-08-15",13.5
"157","2007-08-16",13.5
"158","2007-08-17",13.5
"159","2007-08-20",14.15
"160","2007-08-21",14.9
