"","date","HURN"
"1","2007-01-03",44.259998
"2","2007-01-04",45.93
"3","2007-01-05",46.889999
"4","2007-01-08",48.599998
"5","2007-01-09",48.830002
"6","2007-01-10",48
"7","2007-01-11",48.580002
"8","2007-01-12",48.23
"9","2007-01-16",48.849998
"10","2007-01-17",49.950001
"11","2007-01-18",49.889999
"12","2007-01-19",49.540001
"13","2007-01-22",48.880001
"14","2007-01-23",50.16
"15","2007-01-24",50.459999
"16","2007-01-25",50.34
"17","2007-01-26",50.470001
"18","2007-01-29",50.849998
"19","2007-01-30",51.18
"20","2007-01-31",51.849998
"21","2007-02-01",51.799999
"22","2007-02-02",50.599998
"23","2007-02-05",52.580002
"24","2007-02-06",52.25
"25","2007-02-07",51.790001
"26","2007-02-08",51.650002
"27","2007-02-09",51.560001
"28","2007-02-12",51.810001
"29","2007-02-13",55.540001
"30","2007-02-14",54.779999
"31","2007-02-15",55.130001
"32","2007-02-16",55.610001
"33","2007-02-20",56.099998
"34","2007-02-21",56.040001
"35","2007-02-22",60.369999
"36","2007-02-23",65.150002
"37","2007-02-26",63.959999
"38","2007-02-27",63.599998
"39","2007-02-28",63.400002
"40","2007-03-01",62.849998
"41","2007-03-02",62.720001
"42","2007-03-05",63.43
"43","2007-03-06",65.5
"44","2007-03-07",65.5
"45","2007-03-08",65.769997
"46","2007-03-09",66.160004
"47","2007-03-12",67.279999
"48","2007-03-13",66.459999
"49","2007-03-14",65.209999
"50","2007-03-15",66.029999
"51","2007-03-16",67.32
"52","2007-03-19",66.010002
"53","2007-03-20",67.260002
"54","2007-03-21",66.900002
"55","2007-03-22",66.620003
"56","2007-03-23",66.459999
"57","2007-03-26",66
"58","2007-03-27",61.790001
"59","2007-03-28",61.049999
"60","2007-03-29",60.5
"61","2007-03-30",60.84
"62","2007-04-02",61.34
"63","2007-04-03",62.09
"64","2007-04-04",62.07
"65","2007-04-05",63.060001
"66","2007-04-09",62.060001
"67","2007-04-10",62.849998
"68","2007-04-11",62.130001
"69","2007-04-12",64.5
"70","2007-04-13",65.370003
"71","2007-04-16",64.620003
"72","2007-04-17",65.57
"73","2007-04-18",63.41
"74","2007-04-19",64.260002
"75","2007-04-20",64.230003
"76","2007-04-23",63.369999
"77","2007-04-24",62.880001
"78","2007-04-25",61.939999
"79","2007-04-26",60.799999
"80","2007-04-27",60.009998
"81","2007-04-30",60.549999
"82","2007-05-01",60.439999
"83","2007-05-02",64.239998
"84","2007-05-03",66.589996
"85","2007-05-04",69.239998
"86","2007-05-07",67.489998
"87","2007-05-08",66.370003
"88","2007-05-09",66.599998
"89","2007-05-10",65.309998
"90","2007-05-11",65.370003
"91","2007-05-14",65.120003
"92","2007-05-15",65.900002
"93","2007-05-16",65
"94","2007-05-17",62.610001
"95","2007-05-18",62.580002
"96","2007-05-21",63.93
"97","2007-05-22",65.400002
"98","2007-05-23",66.050003
