"","date","PTI"
"1","2016-02-11",6.64
"2","2016-02-12",6.18
"3","2016-02-16",5.75
"4","2016-02-17",5.75
"5","2016-02-18",5.65
"6","2016-02-19",5.92
"7","2016-02-22",6.38
"8","2016-02-23",6.5
"9","2016-02-24",6.115
"10","2016-02-25",6
"11","2016-02-26",6.08
"12","2016-02-29",6
"13","2016-03-01",5.85
"14","2016-03-02",5.66
"15","2016-03-03",5.55
"16","2016-03-04",5.56
"17","2016-03-07",7.24
"18","2016-03-08",8.32
"19","2016-03-09",11.75
"20","2016-03-10",9.54
"21","2016-03-11",8.96
"22","2016-03-14",9.72
"23","2016-03-15",9.98
"24","2016-03-16",9.55
"25","2016-03-17",9.84
"26","2016-03-18",9.58
"27","2016-03-21",9.87
"28","2016-03-22",10.85
"29","2016-03-23",10.38
"30","2016-03-24",9.83
"31","2016-03-28",8.72
"32","2016-03-29",9.1
"33","2016-03-30",9.48
"34","2016-03-31",9.64
"35","2016-04-01",9.33
"36","2016-04-04",9.11
"37","2016-04-05",9.07
"38","2016-04-06",9.31
"39","2016-04-07",9.4
"40","2016-04-08",10
"41","2016-04-11",9.59
"42","2016-04-12",9.82
"43","2016-04-13",10
"44","2016-04-14",10
"45","2016-04-15",10.2
"46","2016-04-18",9.99
"47","2016-04-19",9.69
"48","2016-04-20",9.41
"49","2016-04-21",9.2
"50","2016-04-22",9.39
"51","2016-04-25",9.31
"52","2016-04-26",9.22
"53","2016-04-27",9.13
"54","2016-04-28",9.05
"55","2016-04-29",9.04
"56","2016-05-02",9.36
"57","2016-05-03",10.93
"58","2016-05-04",11.56
"59","2016-05-05",12.05
"60","2016-05-06",11.7
"61","2016-05-09",11.9
"62","2016-05-10",12.25
"63","2016-05-11",12.5
"64","2016-05-12",12.16
"65","2016-05-13",12.5
"66","2016-05-16",12.59
"67","2016-05-17",12.39
"68","2016-05-18",11.46
"69","2016-05-19",11.35
"70","2016-05-20",10.81
"71","2016-05-23",11.57
"72","2016-05-24",12.5
"73","2016-05-25",14.36
"74","2016-05-26",15.4
"75","2016-05-27",15.89
"76","2016-05-31",16.52
"77","2016-06-01",16.43
"78","2016-06-02",16.42
"79","2016-06-03",16.76
"80","2016-06-06",19.35
"81","2016-06-07",19.799999
"82","2016-06-08",19.129999
"83","2016-06-09",19.26
"84","2016-06-10",20.1
"85","2016-06-13",19.790001
"86","2016-06-14",18.709999
"87","2016-06-15",19.870001
"88","2016-06-16",19.18
"89","2016-06-17",16.49
"90","2016-06-20",16.559999
"91","2016-06-21",16.08
"92","2016-06-22",16.709999
"93","2016-06-23",16.82
"94","2016-06-24",15.27
"95","2016-06-27",12.36
"96","2016-06-28",11.99
"97","2016-06-29",12.17
"98","2016-06-30",12.13
"99","2016-07-01",11.69
"100","2016-07-05",10.92
"101","2016-07-06",11.5
"102","2016-07-07",11.55
"103","2016-07-08",11.86
"104","2016-07-11",12.25
"105","2016-07-12",12.95
"106","2016-07-13",12.06
"107","2016-07-14",11.58
"108","2016-07-15",11.41
"109","2016-07-18",11.24
"110","2016-07-19",10.58
"111","2016-07-20",10.75
"112","2016-07-21",10.75
"113","2016-07-22",10.88
"114","2016-07-25",10.36
"115","2016-07-26",10.24
"116","2016-07-27",10.6
"117","2016-07-28",10.76
"118","2016-07-29",11.1
"119","2016-08-01",10.85
"120","2016-08-02",10.63
"121","2016-08-03",10.97
"122","2016-08-04",10.8
"123","2016-08-05",11.21
"124","2016-08-08",12.39
"125","2016-08-09",13.21
"126","2016-08-10",13.08
"127","2016-08-11",12.88
"128","2016-08-12",13.33
"129","2016-08-15",15
"130","2016-08-16",16.25
"131","2016-08-17",19.41
"132","2016-08-18",18.9
"133","2016-08-19",18.879999
"134","2016-08-22",18.16
"135","2016-08-23",17.809999
"136","2016-08-24",16.16
"137","2016-08-25",14.77
"138","2016-08-26",13.23
"139","2016-08-29",14.03
"140","2016-08-30",14.31
"141","2016-08-31",14.31
"142","2016-09-01",15.1
"143","2016-09-02",15.24
"144","2016-09-06",14.72
"145","2016-09-07",13.28
"146","2016-09-08",13.36
"147","2016-09-09",12.64
"148","2016-09-12",13
"149","2016-09-13",12.35
"150","2016-09-14",12.52
"151","2016-09-15",12.81
"152","2016-09-16",12.88
"153","2016-09-19",12.99
"154","2016-09-20",13.08
"155","2016-09-21",13.42
"156","2016-09-22",15.2
"157","2016-09-23",15.42
"158","2016-09-26",14.59
"159","2016-09-27",15.22
"160","2016-09-28",15.65
"161","2016-09-29",14.99
"162","2016-09-30",15.59
"163","2016-10-03",15.67
"164","2016-10-04",15.18
"165","2016-10-05",15.48
"166","2016-10-06",14.89
"167","2016-10-07",15
"168","2016-10-10",15.31
"169","2016-10-11",15
"170","2016-10-12",14.95
"171","2016-10-13",14.97
"172","2016-10-14",13.02
"173","2016-10-17",12.87
"174","2016-10-18",12.35
"175","2016-10-19",12.47
"176","2016-10-20",13.56
"177","2016-10-21",13.62
"178","2016-10-24",13.37
"179","2016-10-25",12.94
"180","2016-10-26",12.85
"181","2016-10-27",8.51
"182","2016-10-28",7.23
