"","date","AGRX"
"1","2014-05-23",5.54
"2","2014-05-27",5.55
"3","2014-05-28",5.8
"4","2014-05-29",5.94
"5","2014-05-30",5.85
"6","2014-06-02",5.97
"7","2014-06-03",6.4
"8","2014-06-04",6.25
"9","2014-06-05",5.81
"10","2014-06-06",5.89
"11","2014-06-09",6.01
"12","2014-06-10",6.3
"13","2014-06-11",6.48
"14","2014-06-12",6.9
"15","2014-06-13",6.92
"16","2014-06-16",6.78
"17","2014-06-17",7.39
"18","2014-06-18",7.81
"19","2014-06-19",7.89
"20","2014-06-20",7.65
"21","2014-06-23",10.33
"22","2014-06-24",10.65
"23","2014-06-25",10.4
"24","2014-06-26",9.62
"25","2014-06-27",9.25
"26","2014-06-30",8.72
"27","2014-07-01",8.89
"28","2014-07-02",8.79
"29","2014-07-03",8.93
"30","2014-07-07",8.54
"31","2014-07-08",8.56
"32","2014-07-09",8.21
"33","2014-07-10",8.01
"34","2014-07-11",8.01
"35","2014-07-14",7.62
"36","2014-07-15",7.01
"37","2014-07-16",7
"38","2014-07-17",6.995
"39","2014-07-18",7.24
"40","2014-07-21",7.15
"41","2014-07-22",7.11
"42","2014-07-23",7.03
"43","2014-07-24",6.71
"44","2014-07-25",6.76
"45","2014-07-28",6.58
"46","2014-07-29",6.11
"47","2014-07-30",6.08
"48","2014-07-31",6.25
"49","2014-08-01",6
"50","2014-08-04",5.91
"51","2014-08-05",6.01
"52","2014-08-06",6.07
"53","2014-08-07",6.76
"54","2014-08-08",6.45
"55","2014-08-11",6.57
"56","2014-08-12",6.34
"57","2014-08-13",6.29
"58","2014-08-14",6.22
"59","2014-08-15",7.36
"60","2014-08-18",7.24
"61","2014-08-19",7.42
"62","2014-08-20",7.77
"63","2014-08-21",7.59
"64","2014-08-22",7.64
"65","2014-08-25",7.7
"66","2014-08-26",7.48
"67","2014-08-27",7.511
"68","2014-08-28",7.7
"69","2014-08-29",8.44
"70","2014-09-02",9.38
"71","2014-09-03",9.95
"72","2014-09-04",9.49
