"","date","CNDT"
"1","2016-12-13",16
"2","2016-12-14",15.18
"3","2016-12-15",14.3
"4","2016-12-16",15.2
"5","2016-12-19",14.92
"6","2016-12-20",15
"7","2016-12-21",14.75
"8","2016-12-22",14.36
"9","2016-12-23",14.6
"10","2016-12-27",14.65
"11","2016-12-28",14.85
"12","2016-12-29",14.94
"13","2016-12-30",14.9
"14","2017-01-03",13.72
"15","2017-01-04",13.7
"16","2017-01-05",14.11
"17","2017-01-06",14.63
"18","2017-01-09",13.92
"19","2017-01-10",13.42
"20","2017-01-11",13.31
"21","2017-01-12",13.97
"22","2017-01-13",13.97
"23","2017-01-17",14.19
"24","2017-01-18",14.52
"25","2017-01-19",14.49
"26","2017-01-20",14.46
"27","2017-01-23",14.56
"28","2017-01-24",14.54
"29","2017-01-25",14.82
"30","2017-01-26",15.03
"31","2017-01-27",14.91
"32","2017-01-30",14.85
"33","2017-01-31",14.96
"34","2017-02-01",14.74
"35","2017-02-02",14.51
"36","2017-02-03",14.94
"37","2017-02-06",14.62
"38","2017-02-07",14.57
"39","2017-02-08",14.35
"40","2017-02-09",14.51
"41","2017-02-10",14.56
"42","2017-02-13",14.72
"43","2017-02-14",15.11
"44","2017-02-15",15.12
"45","2017-02-16",15.1
"46","2017-02-17",15.02
"47","2017-02-21",15.09
"48","2017-02-22",16.379999
"49","2017-02-23",17.25
"50","2017-02-24",16.969999
"51","2017-02-27",16.6
"52","2017-02-28",16.09
"53","2017-03-01",16.309999
"54","2017-03-02",15.98
"55","2017-03-03",15.93
"56","2017-03-06",15.67
"57","2017-03-07",15.55
"58","2017-03-08",15.58
"59","2017-03-09",15.61
"60","2017-03-10",15.64
"61","2017-03-13",15.87
"62","2017-03-14",15.96
"63","2017-03-15",16.049999
"64","2017-03-16",15.78
"65","2017-03-17",15.74
"66","2017-03-20",16.02
"67","2017-03-21",15.92
"68","2017-03-22",16.040001
"69","2017-03-23",15.99
"70","2017-03-24",15.81
"71","2017-03-27",15.92
"72","2017-03-28",15.97
"73","2017-03-29",16.33
"74","2017-03-30",16.76
"75","2017-03-31",16.780001
"76","2017-04-03",16.4
"77","2017-04-04",16.299999
"78","2017-04-05",16.23
"79","2017-04-06",16.25
"80","2017-04-07",16.379999
"81","2017-04-10",16.32
"82","2017-04-11",16.07
"83","2017-04-12",15.92
"84","2017-04-13",15.78
"85","2017-04-17",16.07
"86","2017-04-18",15.83
"87","2017-04-19",15.9
"88","2017-04-20",15.94
"89","2017-04-21",16.049999
"90","2017-04-24",15.96
"91","2017-04-25",16.1
"92","2017-04-26",16.4
"93","2017-04-27",16.440001
"94","2017-04-28",16.309999
"95","2017-05-01",16.4
"96","2017-05-02",16.41
"97","2017-05-03",16.99
"98","2017-05-04",17.27
"99","2017-05-05",17.690001
"100","2017-05-08",17.700001
"101","2017-05-09",17.5
"102","2017-05-10",16.92
"103","2017-05-11",16.84
"104","2017-05-12",16.82
"105","2017-05-15",17.049999
"106","2017-05-16",17.27
"107","2017-05-17",16.58
"108","2017-05-18",16.700001
"109","2017-05-19",16.65
"110","2017-05-22",16.780001
"111","2017-05-23",16.459999
"112","2017-05-24",16.5
"113","2017-05-25",16.43
"114","2017-05-26",16.190001
"115","2017-05-30",16.17
"116","2017-05-31",16.41
"117","2017-06-01",16.57
"118","2017-06-02",16.49
"119","2017-06-05",16.6
"120","2017-06-06",16.799999
"121","2017-06-07",16.34
"122","2017-06-08",16.33
"123","2017-06-09",16.549999
"124","2017-06-12",16.379999
"125","2017-06-13",16.309999
"126","2017-06-14",16.219999
"127","2017-06-15",15.64
"128","2017-06-16",15.92
"129","2017-06-19",15.9
"130","2017-06-20",15.86
"131","2017-06-21",16.110001
"132","2017-06-22",16.120001
"133","2017-06-23",15.97
"134","2017-06-26",15.91
"135","2017-06-27",15.87
"136","2017-06-28",15.84
"137","2017-06-29",15.78
"138","2017-06-30",15.94
"139","2017-07-03",16.049999
"140","2017-07-05",16.049999
"141","2017-07-06",15.9
"142","2017-07-07",16
"143","2017-07-10",15.87
"144","2017-07-11",15.87
"145","2017-07-12",16.09
"146","2017-07-13",16.049999
"147","2017-07-14",15.95
"148","2017-07-17",16.34
"149","2017-07-18",16.379999
"150","2017-07-19",16.68
"151","2017-07-20",16.73
"152","2017-07-21",16.58
"153","2017-07-24",16.49
"154","2017-07-25",16.459999
"155","2017-07-26",16.49
"156","2017-07-27",16.459999
"157","2017-07-28",16.65
"158","2017-07-31",16.51
"159","2017-08-01",16.809999
"160","2017-08-02",16.85
"161","2017-08-03",16.780001
"162","2017-08-04",16.639999
"163","2017-08-07",16.290001
"164","2017-08-08",15.75
"165","2017-08-09",16.58
"166","2017-08-10",17.08
"167","2017-08-11",16.75
"168","2017-08-14",17
