"","date","REGI"
"1","2012-01-19",10.1
"2","2012-01-20",9.73
"3","2012-01-23",9.49
"4","2012-01-24",9.85
"5","2012-01-25",9.82
"6","2012-01-26",9.81
"7","2012-01-27",9.8
"8","2012-01-30",9.15
"9","2012-01-31",9.12
"10","2012-02-01",9.15
"11","2012-02-02",9.24
"12","2012-02-03",9.24
"13","2012-02-06",9.28
"14","2012-02-07",9.32
"15","2012-02-08",9.24
"16","2012-02-09",9.3
"17","2012-02-10",9.26
"18","2012-02-13",9.42
"19","2012-02-14",9.46
"20","2012-02-15",9.52
"21","2012-02-16",9.58
"22","2012-02-17",9.5
"23","2012-02-21",9.24
"24","2012-02-22",9.24
"25","2012-02-23",9.77
"26","2012-02-24",9.82
"27","2012-02-27",9.77
"28","2012-02-28",9.61
"29","2012-02-29",9.57
"30","2012-03-01",9.54
"31","2012-03-02",9.71
"32","2012-03-05",9.7
"33","2012-03-06",9.57
"34","2012-03-07",9.9
"35","2012-03-08",9.75
"36","2012-03-09",9.39
"37","2012-03-12",9.94
"38","2012-03-13",10
"39","2012-03-14",9.9
"40","2012-03-15",10.5
"41","2012-03-16",10.35
"42","2012-03-19",10.18
"43","2012-03-20",10.13
"44","2012-03-21",9.92
"45","2012-03-22",10.14
"46","2012-03-23",10.25
"47","2012-03-26",10.21
"48","2012-03-27",10.09
"49","2012-03-28",10.06
"50","2012-03-29",10.06
"51","2012-03-30",10.36
"52","2012-04-02",10.26
"53","2012-04-03",10.27
"54","2012-04-04",10.01
"55","2012-04-05",9.98
"56","2012-04-09",9.33
"57","2012-04-10",9.49
"58","2012-04-11",9.64
"59","2012-04-12",9.9
"60","2012-04-13",9.44
"61","2012-04-16",9.52
"62","2012-04-17",9.66
"63","2012-04-18",9.17
"64","2012-04-19",9.19
"65","2012-04-20",9.26
"66","2012-04-23",9.01
"67","2012-04-24",8.97
"68","2012-04-25",8.9
"69","2012-04-26",8.97
"70","2012-04-27",9.12
"71","2012-04-30",9.07
"72","2012-05-01",9.01
"73","2012-05-02",8.96
"74","2012-05-03",9.08
"75","2012-05-04",8.76
"76","2012-05-07",8.66
"77","2012-05-08",8.43
"78","2012-05-09",8.43
"79","2012-05-10",8.07
"80","2012-05-11",7.82
"81","2012-05-14",7.31
"82","2012-05-15",7.89
"83","2012-05-16",7.89
"84","2012-05-17",7.13
"85","2012-05-18",7.04
"86","2012-05-21",6.76
"87","2012-05-22",6.6
"88","2012-05-23",6.69
"89","2012-05-24",7.08
"90","2012-05-25",6.98
"91","2012-05-29",6.91
"92","2012-05-30",6.82
"93","2012-05-31",6.94
"94","2012-06-01",6.58
"95","2012-06-04",6.8
"96","2012-06-05",6.98
"97","2012-06-06",7.24
"98","2012-06-07",7.03
"99","2012-06-08",7.04
"100","2012-06-11",6.81
"101","2012-06-12",6.69
"102","2012-06-13",6.83
"103","2012-06-14",7.13
"104","2012-06-15",7.05
"105","2012-06-18",7.17
"106","2012-06-19",7.38
"107","2012-06-20",7.35
"108","2012-06-21",6.93
"109","2012-06-22",7.02
"110","2012-06-25",6.48
"111","2012-06-26",6.67
"112","2012-06-27",6.33
"113","2012-06-28",6.36
"114","2012-06-29",7.43
"115","2012-07-02",7.75
"116","2012-07-03",7.78
"117","2012-07-05",7.8
"118","2012-07-06",7.78
"119","2012-07-09",7.46
"120","2012-07-10",7.6
"121","2012-07-11",7.84
