"","date","INSM"
"1","2007-01-03",9
"2","2007-01-04",8.8
"3","2007-01-05",8.9
"4","2007-01-08",9
"5","2007-01-09",10.3
"6","2007-01-10",12.6
"7","2007-01-11",12.1
"8","2007-01-12",11.1
"9","2007-01-16",11.6
"10","2007-01-17",11.3
"11","2007-01-18",11.3
"12","2007-01-19",11.3
"13","2007-01-22",11.5
"14","2007-01-23",11.4
"15","2007-01-24",12
"16","2007-01-25",11.3
"17","2007-01-26",10.4
"18","2007-01-29",10.5
"19","2007-01-30",10.4
"20","2007-01-31",9.6
"21","2007-02-01",9.4
"22","2007-02-02",9.3
"23","2007-02-05",9.5
"24","2007-02-06",9.4
"25","2007-02-07",11.1
"26","2007-02-08",10.7
"27","2007-02-09",10.5
"28","2007-02-12",10.3
"29","2007-02-13",9.9
"30","2007-02-14",10
"31","2007-02-15",10.1
"32","2007-02-16",11.8
"33","2007-02-20",15.3
"34","2007-02-21",14.1
"35","2007-02-22",15.2
"36","2007-02-23",13.7
"37","2007-02-26",12.6
"38","2007-02-27",13.2
"39","2007-02-28",14.2
"40","2007-03-01",13.7
"41","2007-03-02",15.6
"42","2007-03-05",14.5
"43","2007-03-06",15.5
"44","2007-03-07",8.9
"45","2007-03-08",7.6
"46","2007-03-09",8.4
"47","2007-03-12",9.5
"48","2007-03-13",9
"49","2007-03-14",9.7
"50","2007-03-15",9.2
"51","2007-03-16",9.5
"52","2007-03-19",9.9
"53","2007-03-20",10
"54","2007-03-21",10
"55","2007-03-22",10
"56","2007-03-23",10.3
"57","2007-03-26",10.1
"58","2007-03-27",9.8
"59","2007-03-28",9.3
"60","2007-03-29",9.3
"61","2007-03-30",9.4
"62","2007-04-02",9.3
"63","2007-04-03",9.1
"64","2007-04-04",9
"65","2007-04-05",9.6
"66","2007-04-09",9.6
"67","2007-04-10",10.3
"68","2007-04-11",9.8
"69","2007-04-12",9.7
"70","2007-04-13",10.1
"71","2007-04-16",10
"72","2007-04-17",9.7
"73","2007-04-18",9.9
"74","2007-04-19",10.1
"75","2007-04-20",10
"76","2007-04-23",9.8
"77","2007-04-24",9.8
"78","2007-04-25",9.4
"79","2007-04-26",10
"80","2007-04-27",10.2
"81","2007-04-30",10.4
"82","2007-05-01",9.8
"83","2007-05-02",9.9
"84","2007-05-03",10.1
"85","2007-05-04",8.9
"86","2007-05-07",8.7
"87","2007-05-08",8.7
"88","2007-05-09",8.3
"89","2007-05-10",7.7
"90","2007-05-11",7.8
"91","2007-05-14",8.2
"92","2007-05-15",8
"93","2007-05-16",8.2
"94","2007-05-17",8.2
"95","2007-05-18",8.1
"96","2007-05-21",8.2
"97","2007-05-22",8.2
"98","2007-05-23",8.1
"99","2007-05-24",7.9
"100","2007-05-25",7.8
"101","2007-05-29",7.9
"102","2007-05-30",7.8
"103","2007-05-31",7.7
"104","2007-06-01",7.5
"105","2007-06-04",7.6
"106","2007-06-05",7.4
"107","2007-06-06",7.2
"108","2007-06-07",7.4
"109","2007-06-08",7.4
"110","2007-06-11",7.1
"111","2007-06-12",7.2
"112","2007-06-13",7
"113","2007-06-14",6.9
"114","2007-06-15",7
"115","2007-06-18",7
"116","2007-06-19",7
"117","2007-06-20",7
"118","2007-06-21",7.2
"119","2007-06-22",7.2
"120","2007-06-25",7.6
"121","2007-06-26",7.8
"122","2007-06-27",8.3
"123","2007-06-28",8.4
"124","2007-06-29",8.1
"125","2007-07-02",7.9
"126","2007-07-03",7.9
"127","2007-07-05",7.8
"128","2007-07-06",7.7
"129","2007-07-09",8
"130","2007-07-10",7.9
"131","2007-07-11",8
"132","2007-07-12",7.7
"133","2007-07-13",7.6
"134","2007-07-16",7.5
"135","2007-07-17",7.4
"136","2007-07-18",7.2
"137","2007-07-19",7.6
"138","2007-07-20",7.4
"139","2007-07-23",7.2
"140","2007-07-24",7.1
"141","2007-07-25",7.1
"142","2007-07-26",6.9
"143","2007-07-27",7
"144","2007-07-30",6.9
"145","2007-07-31",7
"146","2007-08-01",6.9
"147","2007-08-02",7.2
"148","2007-08-03",7.1
"149","2007-08-06",6.7
"150","2007-08-07",6.8
"151","2007-08-08",6.8
"152","2007-08-09",6.4
"153","2007-08-10",6.1
"154","2007-08-13",6
"155","2007-08-14",5.8
"156","2007-08-15",6.2
"157","2007-08-16",6
"158","2007-08-17",6.1
"159","2007-08-20",6.1
"160","2007-08-21",6.2
"161","2007-08-22",6.2
"162","2007-08-23",6.1
"163","2007-08-24",6.2
"164","2007-08-27",6.2
"165","2007-08-28",6.2
"166","2007-08-29",6
"167","2007-08-30",6.2
"168","2007-08-31",6.2
"169","2007-09-04",6.3
"170","2007-09-05",6.7
"171","2007-09-06",7.5
"172","2007-09-07",7.4
"173","2007-09-10",6.9
"174","2007-09-11",6.7
"175","2007-09-12",6.8
"176","2007-09-13",6.7
"177","2007-09-14",6.7
"178","2007-09-17",6.7
"179","2007-09-18",6.8
"180","2007-09-19",6.6
"181","2007-09-20",6.7
"182","2007-09-21",7
"183","2007-09-24",6.9
"184","2007-09-25",7
"185","2007-09-26",6.8
"186","2007-09-27",7
"187","2007-09-28",6.9
"188","2007-10-01",7
"189","2007-10-02",6.6
"190","2007-10-03",7
"191","2007-10-04",7.2
"192","2007-10-05",8.5
"193","2007-10-08",9.4
"194","2007-10-09",9
"195","2007-10-10",9.5
"196","2007-10-11",8.8
"197","2007-10-12",9.4
"198","2007-10-15",10.2
"199","2007-10-16",9.4
"200","2007-10-17",9.4
"201","2007-10-18",9.5
"202","2007-10-19",9.4
"203","2007-10-22",9.6
"204","2007-10-23",9.6
"205","2007-10-24",9.6
"206","2007-10-25",9.3
"207","2007-10-26",9.2
"208","2007-10-29",9.6
"209","2007-10-30",9.1
"210","2007-10-31",8.6
"211","2007-11-01",8
"212","2007-11-02",8.9
"213","2007-11-05",8.9
"214","2007-11-06",8.8
"215","2007-11-07",8.6
"216","2007-11-08",8.2
"217","2007-11-09",8.9
"218","2007-11-12",8.9
"219","2007-11-13",9.4
"220","2007-11-14",10.4
"221","2007-11-15",10.2
"222","2007-11-16",10.1
"223","2007-11-19",9.7
"224","2007-11-20",9.2
"225","2007-11-21",8.9
"226","2007-11-23",8.7
"227","2007-11-26",9
"228","2007-11-27",9.2
"229","2007-11-28",9
"230","2007-11-29",8.9
"231","2007-11-30",8.9
"232","2007-12-03",9.4
"233","2007-12-04",9
"234","2007-12-05",9.1
"235","2007-12-06",9.4
"236","2007-12-07",9.4
"237","2007-12-10",9.5
"238","2007-12-11",9.6
