"","date","AWK"
"1","2008-04-23",20.6
"2","2008-04-24",20.809999
"3","2008-04-25",21.17
"4","2008-04-28",21
"5","2008-04-29",21.07
"6","2008-04-30",21.15
"7","2008-05-01",21.91
"8","2008-05-02",22.01
"9","2008-05-05",21.91
"10","2008-05-06",21.549999
"11","2008-05-07",21.209999
"12","2008-05-08",21.25
"13","2008-05-09",21.67
"14","2008-05-12",21.5
"15","2008-05-13",21.32
"16","2008-05-14",21.299999
"17","2008-05-15",21.16
"18","2008-05-16",21.620001
"19","2008-05-19",21.75
"20","2008-05-20",21.65
"21","2008-05-21",21.16
"22","2008-05-22",21.35
"23","2008-05-23",21.139999
"24","2008-05-27",21.23
"25","2008-05-28",21.41
"26","2008-05-29",21.059999
"27","2008-05-30",21.5
"28","2008-06-02",21.6
"29","2008-06-03",21.32
"30","2008-06-04",21.57
"31","2008-06-05",21.799999
"32","2008-06-06",22.1
"33","2008-06-09",22.33
"34","2008-06-10",21.85
"35","2008-06-11",21.709999
"36","2008-06-12",21.85
"37","2008-06-13",22.389999
"38","2008-06-16",22.75
"39","2008-06-17",23.18
"40","2008-06-18",23.040001
"41","2008-06-19",22.889999
"42","2008-06-20",23
"43","2008-06-23",22.75
"44","2008-06-24",22.879999
"45","2008-06-25",23.370001
"46","2008-06-26",22.620001
"47","2008-06-27",22.52
"48","2008-06-30",22.18
"49","2008-07-01",22.879999
"50","2008-07-02",22.65
"51","2008-07-03",21.799999
"52","2008-07-07",21.49
"53","2008-07-08",21.700001
"54","2008-07-09",21.59
"55","2008-07-10",21.26
"56","2008-07-11",20.030001
"57","2008-07-14",19.709999
"58","2008-07-15",18.91
"59","2008-07-16",19.4
"60","2008-07-17",19.700001
"61","2008-07-18",19.549999
"62","2008-07-21",19.719999
"63","2008-07-22",19.93
"64","2008-07-23",19.690001
"65","2008-07-24",18.870001
"66","2008-07-25",19.15
"67","2008-07-28",18.629999
"68","2008-07-29",19
"69","2008-07-30",19.459999
"70","2008-07-31",19.25
"71","2008-08-01",19.290001
"72","2008-08-04",19.6
"73","2008-08-05",20.34
"74","2008-08-06",20.1
"75","2008-08-07",20.15
"76","2008-08-08",20.07
"77","2008-08-11",20.77
"78","2008-08-12",20.870001
"79","2008-08-13",21.09
"80","2008-08-14",20.98
"81","2008-08-15",20.75
"82","2008-08-18",21.15
"83","2008-08-19",21.92
"84","2008-08-20",21.9
"85","2008-08-21",21.9
"86","2008-08-22",21.950001
"87","2008-08-25",21.77
"88","2008-08-26",21.610001
"89","2008-08-27",21.719999
"90","2008-08-28",22.110001
"91","2008-08-29",22.950001
"92","2008-09-02",22.799999
"93","2008-09-03",21.870001
"94","2008-09-04",21.469999
"95","2008-09-05",20.969999
"96","2008-09-08",20.91
"97","2008-09-09",20.65
"98","2008-09-10",21.08
"99","2008-09-11",21.07
"100","2008-09-12",21.030001
"101","2008-09-15",20.299999
"102","2008-09-16",20.360001
"103","2008-09-17",19.91
"104","2008-09-18",20.25
"105","2008-09-19",20
"106","2008-09-22",19.66
"107","2008-09-23",19.34
"108","2008-09-24",19.6
"109","2008-09-25",20
"110","2008-09-26",19.15
"111","2008-09-29",20.1
"112","2008-09-30",21.5
"113","2008-10-01",20.17
"114","2008-10-02",20.120001
"115","2008-10-03",19.93
"116","2008-10-06",19.52
"117","2008-10-07",19.620001
"118","2008-10-08",19.07
"119","2008-10-09",18.690001
"120","2008-10-10",18.299999
"121","2008-10-13",19.4
"122","2008-10-14",19.129999
"123","2008-10-15",18.1
"124","2008-10-16",18.42
"125","2008-10-17",19.129999
"126","2008-10-20",19.76
"127","2008-10-21",19.690001
"128","2008-10-22",18.969999
"129","2008-10-23",18.75
"130","2008-10-24",18.01
"131","2008-10-27",17.16
"132","2008-10-28",19.35
"133","2008-10-29",18.66
"134","2008-10-30",19.870001
"135","2008-10-31",20.280001
"136","2008-11-03",20.309999
"137","2008-11-04",20.15
"138","2008-11-05",19.48
"139","2008-11-06",18.93
"140","2008-11-07",19.35
"141","2008-11-10",19.43
"142","2008-11-11",19.790001
"143","2008-11-12",18.93
"144","2008-11-13",20.879999
"145","2008-11-14",19.5
"146","2008-11-17",19.549999
"147","2008-11-18",19.93
"148","2008-11-19",19.299999
"149","2008-11-20",18.9
"150","2008-11-21",20
"151","2008-11-24",20.690001
"152","2008-11-25",20.82
"153","2008-11-26",20.1
"154","2008-11-28",20.280001
"155","2008-12-01",19.07
"156","2008-12-02",18.969999
"157","2008-12-03",20.209999
"158","2008-12-04",20.27
"159","2008-12-05",20.49
"160","2008-12-08",20.959999
"161","2008-12-09",20.719999
"162","2008-12-10",20.67
"163","2008-12-11",20.700001
"164","2008-12-12",20.41
"165","2008-12-15",20.639999
