"","date","PD"
"1","2019-04-11",38.25
"2","2019-04-12",39.5
"3","2019-04-15",39.169998
"4","2019-04-16",38.049999
"5","2019-04-17",40
"6","2019-04-18",39.150002
"7","2019-04-22",39.389999
"8","2019-04-23",39.880001
"9","2019-04-24",40.200001
"10","2019-04-25",39.5
"11","2019-04-26",43.200001
"12","2019-04-29",46.5
"13","2019-04-30",46.900002
"14","2019-05-01",46.82
"15","2019-05-02",45.740002
"16","2019-05-03",46.400002
"17","2019-05-06",49.040001
"18","2019-05-07",49.040001
"19","2019-05-08",49.080002
"20","2019-05-09",49.23
"21","2019-05-10",51.82
"22","2019-05-13",49.450001
"23","2019-05-14",52.59
"24","2019-05-15",53.450001
"25","2019-05-16",55.639999
"26","2019-05-17",54.689999
"27","2019-05-20",55.060001
"28","2019-05-21",54.869999
"29","2019-05-22",53.990002
"30","2019-05-23",51.98
"31","2019-05-24",53.209999
"32","2019-05-28",52.48
"33","2019-05-29",51.900002
"34","2019-05-30",51.810001
"35","2019-05-31",51.400002
"36","2019-06-03",46.209999
"37","2019-06-04",44.66
"38","2019-06-05",47.580002
"39","2019-06-06",47.560001
"40","2019-06-07",48.900002
"41","2019-06-10",49.849998
"42","2019-06-11",50.240002
"43","2019-06-12",55.310001
"44","2019-06-13",54.099998
"45","2019-06-14",57.369999
"46","2019-06-17",55.27
"47","2019-06-18",54.450001
"48","2019-06-19",54.360001
"49","2019-06-20",53.790001
"50","2019-06-21",53.41
"51","2019-06-24",49.279999
"52","2019-06-25",47.52
"53","2019-06-26",46.48
"54","2019-06-27",47.779999
"55","2019-06-28",47.049999
"56","2019-07-01",46.080002
"57","2019-07-02",46.259998
"58","2019-07-03",47.029999
"59","2019-07-05",47.689999
"60","2019-07-08",47.68
"61","2019-07-09",49.700001
"62","2019-07-10",50.52
"63","2019-07-11",49.400002
"64","2019-07-12",48.580002
"65","2019-07-15",49.650002
"66","2019-07-16",48.540001
"67","2019-07-17",47.689999
"68","2019-07-18",44.91
"69","2019-07-19",46.290001
"70","2019-07-22",46.650002
"71","2019-07-23",44.150002
"72","2019-07-24",44.939999
"73","2019-07-25",43.5
"74","2019-07-26",45.68
"75","2019-07-29",44.049999
"76","2019-07-30",44.959999
"77","2019-07-31",44.200001
"78","2019-08-01",41.700001
"79","2019-08-02",39.43
"80","2019-08-05",37.610001
"81","2019-08-06",36.900002
"82","2019-08-07",37.59
"83","2019-08-08",40.07
"84","2019-08-09",37.599998
"85","2019-08-12",36.560001
"86","2019-08-13",36.200001
"87","2019-08-14",35.75
"88","2019-08-15",33.75
"89","2019-08-16",34.68
"90","2019-08-19",35.419998
"91","2019-08-20",34.5
"92","2019-08-21",35.029999
"93","2019-08-22",35.82
"94","2019-08-23",34.860001
"95","2019-08-26",35.599998
"96","2019-08-27",35.52
"97","2019-08-28",35.950001
"98","2019-08-29",38.41
"99","2019-08-30",39.27
"100","2019-09-03",37.57
"101","2019-09-04",38.040001
"102","2019-09-05",36.599998
"103","2019-09-06",32.470001
"104","2019-09-09",28.25
"105","2019-09-10",27.450001
"106","2019-09-11",31.469999
"107","2019-09-12",31.35
"108","2019-09-13",29.950001
"109","2019-09-16",30.690001
"110","2019-09-17",30.629999
"111","2019-09-18",30.440001
"112","2019-09-19",29.280001
"113","2019-09-20",29.75
"114","2019-09-23",31.780001
"115","2019-09-24",29
"116","2019-09-25",28.15
"117","2019-09-26",29.290001
"118","2019-09-27",28.24
"119","2019-09-30",28.25
"120","2019-10-01",28.25
"121","2019-10-02",27.25
"122","2019-10-03",27.92
"123","2019-10-04",27.700001
"124","2019-10-07",26.74
"125","2019-10-08",26.389999
"126","2019-10-09",26.530001
"127","2019-10-10",26
"128","2019-10-11",26.09
"129","2019-10-14",26.450001
"130","2019-10-15",27.43
"131","2019-10-16",27.07
"132","2019-10-17",26.51
"133","2019-10-18",25.450001
"134","2019-10-21",24.92
"135","2019-10-22",24.280001
"136","2019-10-23",23.620001
"137","2019-10-24",24.620001
"138","2019-10-25",24.690001
"139","2019-10-28",23.43
"140","2019-10-29",22.52
"141","2019-10-30",22.879999
"142","2019-10-31",22.99
"143","2019-11-01",22.959999
"144","2019-11-04",23.5
"145","2019-11-05",23.219999
"146","2019-11-06",23.700001
"147","2019-11-07",22.370001
"148","2019-11-08",22.34
"149","2019-11-11",22.309999
"150","2019-11-12",22.82
"151","2019-11-13",22.049999
"152","2019-11-14",22.33
"153","2019-11-15",23.52
"154","2019-11-18",24.219999
"155","2019-11-19",25.25
"156","2019-11-20",26.02
"157","2019-11-21",26.360001
"158","2019-11-22",26.879999
"159","2019-11-25",26.280001
"160","2019-11-26",26.68
"161","2019-11-27",26.07
"162","2019-11-29",26.049999
"163","2019-12-02",24.389999
"164","2019-12-03",25.559999
"165","2019-12-04",25.65
"166","2019-12-05",24.99
"167","2019-12-06",21.809999
"168","2019-12-09",23.42
"169","2019-12-10",22.540001
"170","2019-12-11",22.370001
"171","2019-12-12",22.219999
"172","2019-12-13",23.09
"173","2019-12-16",23.07
"174","2019-12-17",24.24
"175","2019-12-18",24.82
"176","2019-12-19",24.6
"177","2019-12-20",24.65
"178","2019-12-23",23.67
"179","2019-12-24",23.77
"180","2019-12-26",23.99
"181","2019-12-27",23.309999
"182","2019-12-30",23.469999
"183","2019-12-31",23.389999
"184","2020-01-02",24.34
"185","2020-01-03",24.379999
"186","2020-01-06",24.639999
"187","2020-01-07",24.719999
"188","2020-01-08",25.27
"189","2020-01-09",24.65
"190","2020-01-10",24.209999
"191","2020-01-13",24.92
"192","2020-01-14",24.709999
"193","2020-01-15",24.42
"194","2020-01-16",25.370001
"195","2020-01-17",25.23
"196","2020-01-21",24.76
"197","2020-01-22",25.379999
"198","2020-01-23",24.16
"199","2020-01-24",23.719999
"200","2020-01-27",23.1
"201","2020-01-28",23.66
"202","2020-01-29",24.35
"203","2020-01-30",24.610001
"204","2020-01-31",23.32
"205","2020-02-03",23.48
"206","2020-02-04",24.07
"207","2020-02-05",22.91
"208","2020-02-06",22.889999
"209","2020-02-07",22.5
"210","2020-02-10",22.889999
"211","2020-02-11",22.360001
"212","2020-02-12",22.049999
"213","2020-02-13",21.07
"214","2020-02-14",21.299999
"215","2020-02-18",21.66
"216","2020-02-19",21.99
"217","2020-02-20",21.299999
"218","2020-02-21",21.040001
"219","2020-02-24",20.6
"220","2020-02-25",19.82
"221","2020-02-26",19.5
