"","date","EPIX"
"1","2015-03-13",88.400002
"2","2015-03-16",87.800003
"3","2015-03-17",87.800003
"4","2015-03-18",87.800003
"5","2015-03-19",92.599998
"6","2015-03-20",107.599998
"7","2015-03-23",107.599998
"8","2015-03-24",107.599998
"9","2015-03-25",107.599998
"10","2015-03-26",107.599998
"11","2015-03-27",107.599998
"12","2015-03-30",107.599998
"13","2015-03-31",107.599998
"14","2015-04-01",107.599998
"15","2015-04-02",129.800003
"16","2015-04-06",146
"17","2015-04-07",146
"18","2015-04-08",146
"19","2015-04-09",146
"20","2015-04-10",146
"21","2015-04-13",153
"22","2015-04-14",153
"23","2015-04-15",153
"24","2015-04-16",153
"25","2015-04-17",153
"26","2015-04-20",153
"27","2015-04-21",153
"28","2015-04-22",153
"29","2015-04-23",153
"30","2015-04-24",152
"31","2015-04-27",152
"32","2015-04-28",152
"33","2015-04-29",152
"34","2015-04-30",151.600006
"35","2015-05-01",151.600006
"36","2015-05-04",151.600006
"37","2015-05-05",151.600006
"38","2015-05-06",151.600006
"39","2015-05-07",151.600006
"40","2015-05-08",151.600006
"41","2015-05-11",151.600006
"42","2015-05-12",151.600006
"43","2015-05-13",151.600006
"44","2015-05-14",151.600006
"45","2015-05-15",151.600006
"46","2015-05-18",151.600006
"47","2015-05-19",151.600006
"48","2015-05-20",151.600006
"49","2015-05-21",151.600006
"50","2015-05-22",151.600006
"51","2015-05-26",151.600006
"52","2015-05-27",147.199997
"53","2015-05-28",147.199997
"54","2015-05-29",147.199997
"55","2015-06-01",147.199997
"56","2015-06-02",150
"57","2015-06-03",150
"58","2015-06-04",150
"59","2015-06-05",150
"60","2015-06-08",150
"61","2015-06-09",150
"62","2015-06-10",150
"63","2015-06-11",150
"64","2015-06-12",150
"65","2015-06-15",150
"66","2015-06-16",150
"67","2015-06-17",150
"68","2015-06-18",239.800003
"69","2015-06-19",239.800003
"70","2015-06-22",245
"71","2015-06-23",245
"72","2015-06-24",245
"73","2015-06-25",245
"74","2015-06-26",236.800003
"75","2015-06-29",231
"76","2015-06-30",227.399994
"77","2015-07-01",227.399994
