"","date","IGMS"
"1","2019-09-18",24.299999
"2","2019-09-19",20.66
"3","2019-09-20",21.4
"4","2019-09-23",21
"5","2019-09-24",20.700001
"6","2019-09-25",19.83
"7","2019-09-26",18.120001
"8","2019-09-27",17.91
"9","2019-09-30",17.75
"10","2019-10-01",17.68
"11","2019-10-02",17.5
"12","2019-10-03",18.17
"13","2019-10-04",18.17
"14","2019-10-07",18.18
"15","2019-10-08",17.889999
"16","2019-10-09",17.82
"17","2019-10-10",17.43
"18","2019-10-11",17.25
"19","2019-10-14",18.389999
"20","2019-10-15",18.950001
"21","2019-10-16",18.58
"22","2019-10-17",18.83
"23","2019-10-18",19
"24","2019-10-21",19.030001
"25","2019-10-22",18.85
"26","2019-10-23",20.91
"27","2019-10-24",21.77
"28","2019-10-25",23.030001
"29","2019-10-28",23.65
"30","2019-10-29",23.799999
"31","2019-10-30",23.700001
"32","2019-10-31",23.200001
"33","2019-11-01",22.48
"34","2019-11-04",23.99
"35","2019-11-05",23.799999
"36","2019-11-06",23.59
"37","2019-11-07",23.35
"38","2019-11-08",23.879999
"39","2019-11-11",23.98
"40","2019-11-12",23.99
"41","2019-11-13",25.450001
"42","2019-11-14",26.9
"43","2019-11-15",28.15
"44","2019-11-18",25.57
"45","2019-11-19",24.51
"46","2019-11-20",24.26
"47","2019-11-21",20.73
"48","2019-11-22",20.059999
"49","2019-11-25",22.52
"50","2019-11-26",23.059999
"51","2019-11-27",22.84
"52","2019-11-29",22.610001
"53","2019-12-02",20.02
"54","2019-12-03",19.9
"55","2019-12-04",22.209999
"56","2019-12-05",21.52
"57","2019-12-06",22.719999
"58","2019-12-09",25.75
"59","2019-12-10",27.360001
"60","2019-12-11",26.33
"61","2019-12-12",28.07
"62","2019-12-13",29.08
"63","2019-12-16",30.139999
"64","2019-12-17",30.290001
"65","2019-12-18",34.389999
"66","2019-12-19",36.689999
"67","2019-12-20",42.189999
"68","2019-12-23",46.080002
"69","2019-12-24",46.529999
"70","2019-12-26",49.509998
"71","2019-12-27",40.91
"72","2019-12-30",42.48
"73","2019-12-31",38.16
"74","2020-01-02",36.34
"75","2020-01-03",33.290001
"76","2020-01-06",33.07
"77","2020-01-07",32.82
"78","2020-01-08",33.150002
"79","2020-01-09",34.290001
"80","2020-01-10",34.360001
"81","2020-01-13",32.419998
"82","2020-01-14",32.02
"83","2020-01-15",32.5
"84","2020-01-16",33.549999
"85","2020-01-17",35.93
"86","2020-01-21",36.209999
"87","2020-01-22",39.110001
"88","2020-01-23",40.040001
"89","2020-01-24",39.830002
"90","2020-01-27",39.669998
"91","2020-01-28",39.950001
"92","2020-01-29",36.84
"93","2020-01-30",35.41
"94","2020-01-31",33.990002
"95","2020-02-03",38.889999
"96","2020-02-04",39.759998
"97","2020-02-05",40.27
"98","2020-02-06",40.5
"99","2020-02-07",40.27
"100","2020-02-10",39.639999
"101","2020-02-11",42.959999
"102","2020-02-12",42.77
"103","2020-02-13",45.330002
"104","2020-02-14",43.240002
"105","2020-02-18",45.27
"106","2020-02-19",47.900002
"107","2020-02-20",50.470001
"108","2020-02-21",60.689999
"109","2020-02-24",54.5
