"","date","ALUS"
"1","2020-01-10",9.82
"2","2020-01-13",9.82
"3","2020-01-14",9.84
"4","2020-01-15",9.92
"5","2020-01-16",9.9
"6","2020-01-17",9.94
"7","2020-01-21",9.88
"8","2020-01-22",9.87
"9","2020-01-23",9.88
"10","2020-01-24",9.89
"11","2020-01-27",9.88
"12","2020-01-28",9.88
"13","2020-01-29",9.89
"14","2020-01-30",9.89
"15","2020-01-31",9.94
"16","2020-02-03",9.94
"17","2020-02-04",9.95
"18","2020-02-05",9.95
"19","2020-02-06",9.927
"20","2020-02-07",9.927
"21","2020-02-10",9.93
"22","2020-02-11",9.92
"23","2020-02-12",9.93
"24","2020-02-13",9.92
"25","2020-02-14",9.91
"26","2020-02-18",9.91
"27","2020-02-19",9.925
"28","2020-02-20",9.95
"29","2020-02-21",9.95
"30","2020-02-24",9.93
"31","2020-02-25",9.91
"32","2020-02-26",9.91
"33","2020-02-27",9.92
"34","2020-02-28",9.92
"35","2020-03-02",9.93
"36","2020-03-03",9.88
"37","2020-03-04",9.88
"38","2020-03-05",9.9
"39","2020-03-06",9.88
"40","2020-03-09",9.89
"41","2020-03-10",9.86
"42","2020-03-11",9.85
"43","2020-03-12",9.75
"44","2020-03-13",9.67
"45","2020-03-16",9.55
"46","2020-03-17",9.4
"47","2020-03-18",9.25
"48","2020-03-19",9.26
"49","2020-03-20",9.5
"50","2020-03-23",9.4
"51","2020-03-24",9.37
"52","2020-03-25",9.45
"53","2020-03-26",9.51
"54","2020-03-27",9.51
"55","2020-03-30",9.7
"56","2020-03-31",9.6
"57","2020-04-01",9.61
"58","2020-04-02",9.7
"59","2020-04-03",9.63
"60","2020-04-06",9.7
"61","2020-04-07",9.7
"62","2020-04-08",9.66
"63","2020-04-09",9.7
"64","2020-04-13",9.7
"65","2020-04-14",9.75
"66","2020-04-15",9.7
"67","2020-04-16",9.65
"68","2020-04-17",9.69
"69","2020-04-20",9.67
"70","2020-04-21",9.68
"71","2020-04-22",9.7
"72","2020-04-23",9.7
"73","2020-04-24",9.69
"74","2020-04-27",9.67
