"","date","ONCY"
"1","2007-01-03",21.945
"2","2007-01-04",22.325001
"3","2007-01-05",22.23
"4","2007-01-08",23.370001
"5","2007-01-09",24.51
"6","2007-01-10",25.459999
"7","2007-01-11",25.555
"8","2007-01-12",25.27
"9","2007-01-16",25.459999
"10","2007-01-17",25.745001
"11","2007-01-18",25.27
"12","2007-01-19",24.605
"13","2007-01-22",23.655001
"14","2007-01-23",24.035
"15","2007-01-24",24.51
"16","2007-01-25",26.030001
"17","2007-01-26",26.885
"18","2007-01-29",27.549999
"19","2007-01-30",27.17
"20","2007-01-31",26.030001
"21","2007-02-01",26.030001
"22","2007-02-02",26.030001
"23","2007-02-05",25.934999
"24","2007-02-06",22.514999
"25","2007-02-07",22.895
"26","2007-02-08",22.42
"27","2007-02-09",21.375
"28","2007-02-12",20.805
"29","2007-02-13",20.52
"30","2007-02-14",20.615
"31","2007-02-15",20.33
"32","2007-02-16",20.139999
"33","2007-02-20",20.235001
"34","2007-02-21",20.424999
"35","2007-02-22",20.52
"36","2007-02-23",20.33
"37","2007-02-26",20.235001
"38","2007-02-27",19.190001
"39","2007-02-28",19
"40","2007-03-01",17.955
"41","2007-03-02",19.094999
"42","2007-03-05",17.955
"43","2007-03-06",19.57
"44","2007-03-07",19.665001
"45","2007-03-08",19.475
"46","2007-03-09",19.379999
"47","2007-03-12",19.094999
"48","2007-03-13",18.525
"49","2007-03-14",18.24
"50","2007-03-15",18.049999
"51","2007-03-16",17.860001
"52","2007-03-19",18.620001
"53","2007-03-20",18.24
"54","2007-03-21",18.809999
"55","2007-03-22",19.285
"56","2007-03-23",19
"57","2007-03-26",18.24
"58","2007-03-27",18.24
"59","2007-03-28",17.764999
"60","2007-03-29",17.764999
"61","2007-03-30",17.290001
"62","2007-04-02",18.809999
"63","2007-04-03",18.620001
"64","2007-04-04",18.43
"65","2007-04-05",18.334999
"66","2007-04-09",18.049999
"67","2007-04-10",17.860001
"68","2007-04-11",18.334999
"69","2007-04-12",18.43
"70","2007-04-13",18.43
"71","2007-04-16",18.525
"72","2007-04-17",21.66
"73","2007-04-18",21.09
"74","2007-04-19",20.709999
"75","2007-04-20",20.139999
"76","2007-04-23",19.285
"77","2007-04-24",20.709999
"78","2007-04-25",20.139999
"79","2007-04-26",19.475
"80","2007-04-27",19.57
"81","2007-04-30",20.235001
"82","2007-05-01",19.094999
"83","2007-05-02",19.76
"84","2007-05-03",19.190001
"85","2007-05-04",19.190001
"86","2007-05-07",19.57
"87","2007-05-08",19.190001
"88","2007-05-09",19.665001
"89","2007-05-10",19.57
"90","2007-05-11",19.190001
"91","2007-05-14",19.855
"92","2007-05-15",19.76
"93","2007-05-16",19.76
"94","2007-05-17",19.475
"95","2007-05-18",20.139999
"96","2007-05-21",19.950001
"97","2007-05-22",20.33
"98","2007-05-23",19.379999
"99","2007-05-24",19.379999
"100","2007-05-25",19.285
"101","2007-05-29",20.235001
"102","2007-05-30",19.475
"103","2007-05-31",19.57
"104","2007-06-01",20.33
"105","2007-06-04",19.76
"106","2007-06-05",21.469999
"107","2007-06-06",20.805
"108","2007-06-07",20.615
"109","2007-06-08",20.615
"110","2007-06-11",20.33
"111","2007-06-12",19.665001
"112","2007-06-13",19.285
"113","2007-06-14",19.094999
"114","2007-06-15",19
"115","2007-06-18",19.190001
"116","2007-06-19",19.190001
"117","2007-06-20",19
"118","2007-06-21",19
"119","2007-06-22",18.905001
"120","2007-06-25",18.334999
"121","2007-06-26",18.620001
"122","2007-06-27",18.809999
"123","2007-06-28",19.665001
"124","2007-06-29",19.76
"125","2007-07-02",18.905001
"126","2007-07-03",19.094999
"127","2007-07-05",19.379999
"128","2007-07-06",18.905001
"129","2007-07-09",19
"130","2007-07-10",18.620001
"131","2007-07-11",18.334999
