"","date","QD"
"1","2017-10-18",29.18
"2","2017-10-19",34.900002
"3","2017-10-20",33
"4","2017-10-23",26.59
"5","2017-10-24",28.450001
"6","2017-10-25",26.389999
"7","2017-10-26",22.799999
"8","2017-10-27",23.27
"9","2017-10-30",22.190001
"10","2017-10-31",24.9
"11","2017-11-01",27.049999
"12","2017-11-02",25.27
"13","2017-11-03",25.02
"14","2017-11-06",27.1
"15","2017-11-07",27.52
"16","2017-11-08",26.01
"17","2017-11-09",25.469999
"18","2017-11-10",27.51
"19","2017-11-13",27.23
"20","2017-11-14",25.16
"21","2017-11-15",24.98
"22","2017-11-16",23.309999
"23","2017-11-17",21.200001
"24","2017-11-20",20.08
"25","2017-11-21",19.309999
"26","2017-11-22",16.15
"27","2017-11-24",12.22
"28","2017-11-27",13.51
"29","2017-11-28",13.76
"30","2017-11-29",14.12
"31","2017-11-30",13.6
"32","2017-12-01",13.78
"33","2017-12-04",12.45
"34","2017-12-05",11.85
"35","2017-12-06",11.49
"36","2017-12-07",11.83
"37","2017-12-08",13.65
"38","2017-12-11",14.05
"39","2017-12-12",13.19
"40","2017-12-13",13.98
"41","2017-12-14",12.73
"42","2017-12-15",12.93
"43","2017-12-18",13.27
"44","2017-12-19",12.86
"45","2017-12-20",12.44
"46","2017-12-21",12.54
"47","2017-12-22",13.07
"48","2017-12-26",12.35
"49","2017-12-27",12.44
"50","2017-12-28",12.41
"51","2017-12-29",12.54
"52","2018-01-02",12.58
"53","2018-01-03",12.5
"54","2018-01-04",12.05
"55","2018-01-05",13
"56","2018-01-08",12.83
"57","2018-01-09",12.27
"58","2018-01-10",11.98
"59","2018-01-11",12.18
"60","2018-01-12",12
"61","2018-01-16",12.31
"62","2018-01-17",12.19
"63","2018-01-18",12.35
"64","2018-01-19",12.4
"65","2018-01-22",12.64
"66","2018-01-23",13.05
"67","2018-01-24",13.96
"68","2018-01-25",14.47
"69","2018-01-26",13.34
"70","2018-01-29",13.77
"71","2018-01-30",13.92
"72","2018-01-31",13.99
"73","2018-02-01",14.21
"74","2018-02-02",13.78
"75","2018-02-05",13.35
"76","2018-02-06",13.26
"77","2018-02-07",13.04
"78","2018-02-08",13
"79","2018-02-09",13.04
