"","date","GCBC"
"1","2007-01-03",7.85
"2","2007-01-04",7.7
"3","2007-01-05",7.37
"4","2007-01-08",7.375
"5","2007-01-09",7.375
"6","2007-01-10",7.375
"7","2007-01-11",7.725
"8","2007-01-12",7.725
"9","2007-01-16",7.725
"10","2007-01-17",7.5
"11","2007-01-18",7.725
"12","2007-01-19",7.5
"13","2007-01-22",7.5
"14","2007-01-23",7.305
"15","2007-01-24",7.34
"16","2007-01-25",7.34
"17","2007-01-26",7.34
"18","2007-01-29",7.34
"19","2007-01-30",7.44
"20","2007-01-31",7.44
"21","2007-02-01",7.44
"22","2007-02-02",7.44
"23","2007-02-05",7.75
"24","2007-02-06",7.745
"25","2007-02-07",7.345
"26","2007-02-08",7.35
"27","2007-02-09",7.35
"28","2007-02-12",7.37
"29","2007-02-13",7.46
"30","2007-02-14",7.46
"31","2007-02-15",7.465
"32","2007-02-16",7.6
"33","2007-02-20",7.72
"34","2007-02-21",7.55
"35","2007-02-22",7.55
"36","2007-02-23",7.55
"37","2007-02-26",7.5
"38","2007-02-27",7.5
"39","2007-02-28",7.215
"40","2007-03-01",7.215
"41","2007-03-02",7.66
"42","2007-03-05",7.7
"43","2007-03-06",7.4
"44","2007-03-07",7.4
"45","2007-03-08",7.5
"46","2007-03-09",7.5
"47","2007-03-12",7.385
"48","2007-03-13",7.675
"49","2007-03-14",7.25
"50","2007-03-15",7.2
"51","2007-03-16",7.37
"52","2007-03-19",7.435
"53","2007-03-20",7.435
"54","2007-03-21",7.25
"55","2007-03-22",7.375
"56","2007-03-23",7.275
"57","2007-03-26",7.025
"58","2007-03-27",6.775
"59","2007-03-28",6.9
"60","2007-03-29",6.9
"61","2007-03-30",7.195
"62","2007-04-02",7.225
"63","2007-04-03",6.95
"64","2007-04-04",6.95
"65","2007-04-05",6.995
"66","2007-04-09",6.96
"67","2007-04-10",6.96
"68","2007-04-11",6.96
"69","2007-04-12",6.96
"70","2007-04-13",6.975
"71","2007-04-16",6.975
"72","2007-04-17",6.975
"73","2007-04-18",7.04
"74","2007-04-19",7.04
"75","2007-04-20",7.165
"76","2007-04-23",7.165
"77","2007-04-24",7.04
"78","2007-04-25",7.115
"79","2007-04-26",6.915
"80","2007-04-27",6.915
"81","2007-04-30",6.915
"82","2007-05-01",7.095
"83","2007-05-02",7.095
"84","2007-05-03",7.095
"85","2007-05-04",7.095
"86","2007-05-07",7.12
"87","2007-05-08",7.12
"88","2007-05-09",7.12
"89","2007-05-10",7.125
"90","2007-05-11",7.125
"91","2007-05-14",7.125
"92","2007-05-15",7.095
"93","2007-05-16",7.01
"94","2007-05-17",6.83
"95","2007-05-18",6.825
"96","2007-05-21",6.825
"97","2007-05-22",7.35
"98","2007-05-23",7.35
"99","2007-05-24",7.35
"100","2007-05-25",7.35
"101","2007-05-29",7.35
"102","2007-05-30",7.35
"103","2007-05-31",7.35
"104","2007-06-01",7.35
"105","2007-06-04",7.35
"106","2007-06-05",6.925
"107","2007-06-06",6.925
"108","2007-06-07",6.925
"109","2007-06-08",6.8
"110","2007-06-11",6.8
"111","2007-06-12",6.75
"112","2007-06-13",6.92
"113","2007-06-14",6.92
"114","2007-06-15",6.675
"115","2007-06-18",6.8
"116","2007-06-19",6.8
"117","2007-06-20",6.925
"118","2007-06-21",6.925
"119","2007-06-22",6.8
"120","2007-06-25",6.8
"121","2007-06-26",6.8
"122","2007-06-27",6.8
"123","2007-06-28",6.8
"124","2007-06-29",6.8
"125","2007-07-02",6.73
"126","2007-07-03",6.995
"127","2007-07-05",6.995
"128","2007-07-06",6.995
"129","2007-07-09",6.78
"130","2007-07-10",6.66
"131","2007-07-11",6.58
"132","2007-07-12",6.515
"133","2007-07-13",6.515
"134","2007-07-16",6.45
"135","2007-07-17",6.29
"136","2007-07-18",6.29
"137","2007-07-19",6.05
"138","2007-07-20",6.175
"139","2007-07-23",6.25
"140","2007-07-24",6.01
"141","2007-07-25",6.01
"142","2007-07-26",6.15
"143","2007-07-27",6.375
"144","2007-07-30",6.595
"145","2007-07-31",6.595
"146","2007-08-01",5.75
"147","2007-08-02",5.8
"148","2007-08-03",5.8
"149","2007-08-06",6
"150","2007-08-07",6
"151","2007-08-08",6
"152","2007-08-09",5.92
"153","2007-08-10",5.92
"154","2007-08-13",6.25
"155","2007-08-14",6.25
"156","2007-08-15",6.25
"157","2007-08-16",6.25
"158","2007-08-17",6.25
"159","2007-08-20",6
"160","2007-08-21",6.035
"161","2007-08-22",6.5
"162","2007-08-23",6.525
"163","2007-08-24",6.435
"164","2007-08-27",6.53
"165","2007-08-28",6.5
"166","2007-08-29",6.53
"167","2007-08-30",6.53
"168","2007-08-31",6.14
"169","2007-09-04",6.55
"170","2007-09-05",7.115
"171","2007-09-06",7.12
"172","2007-09-07",6.535
"173","2007-09-10",6.635
"174","2007-09-11",6.635
"175","2007-09-12",6.555
"176","2007-09-13",6.555
"177","2007-09-14",6.62
"178","2007-09-17",6.87
"179","2007-09-18",6.87
"180","2007-09-19",6.68
"181","2007-09-20",6.68
"182","2007-09-21",6.68
"183","2007-09-24",6.82
"184","2007-09-25",6.545
"185","2007-09-26",6.545
"186","2007-09-27",6.295
"187","2007-09-28",6.15
"188","2007-10-01",6.155
"189","2007-10-02",6.155
"190","2007-10-03",6.225
"191","2007-10-04",6.16
"192","2007-10-05",6.15
"193","2007-10-08",6.23
"194","2007-10-09",6.23
"195","2007-10-10",6.23
"196","2007-10-11",6.635
"197","2007-10-12",6.565
"198","2007-10-15",6.565
"199","2007-10-16",6.565
"200","2007-10-17",5.825
"201","2007-10-18",5.825
"202","2007-10-19",6
"203","2007-10-22",5.75
"204","2007-10-23",6.195
"205","2007-10-24",6.195
"206","2007-10-25",6.075
"207","2007-10-26",6
"208","2007-10-29",6
"209","2007-10-30",7.125
"210","2007-10-31",6.865
"211","2007-11-01",6.005
"212","2007-11-02",5.875
"213","2007-11-05",5.78
"214","2007-11-06",6
"215","2007-11-07",6
"216","2007-11-08",6.05
"217","2007-11-09",6.05
"218","2007-11-12",6.05
"219","2007-11-13",6
"220","2007-11-14",6
"221","2007-11-15",5.93
"222","2007-11-16",5.93
"223","2007-11-19",5.93
"224","2007-11-20",5.795
"225","2007-11-21",5.795
"226","2007-11-23",5.795
"227","2007-11-26",6
"228","2007-11-27",6.105
"229","2007-11-28",6.145
"230","2007-11-29",5.53
"231","2007-11-30",5.5
"232","2007-12-03",5.75
"233","2007-12-04",6.15
"234","2007-12-05",6.55
"235","2007-12-06",6.5
"236","2007-12-07",6.55
"237","2007-12-10",6.55
"238","2007-12-11",6.75
"239","2007-12-12",6.75
"240","2007-12-13",6.8
"241","2007-12-14",6.8
"242","2007-12-17",6.8
"243","2007-12-18",6.8
"244","2007-12-19",6.8
"245","2007-12-20",6.4
"246","2007-12-21",6.4
"247","2007-12-24",6.01
"248","2007-12-26",6.725
"249","2007-12-27",6.725
"250","2007-12-28",6.005
"251","2007-12-31",6.025
"252","2008-01-02",6.025
"253","2008-01-03",6.025
"254","2008-01-04",6.04
"255","2008-01-07",6.04
"256","2008-01-08",6.01
"257","2008-01-09",6.01
"258","2008-01-10",6.05
"259","2008-01-11",6.05
"260","2008-01-14",6.05
"261","2008-01-15",6
"262","2008-01-16",6
"263","2008-01-17",6.125
"264","2008-01-18",6.11
"265","2008-01-22",6.11
"266","2008-01-23",6.11
"267","2008-01-24",6.125
"268","2008-01-25",6
"269","2008-01-28",6.245
"270","2008-01-29",6
"271","2008-01-30",6.7
"272","2008-01-31",6.01
"273","2008-02-01",6.01
"274","2008-02-04",6.3
"275","2008-02-05",6.125
"276","2008-02-06",6.125
"277","2008-02-07",6.15
"278","2008-02-08",6.15
"279","2008-02-11",6.225
"280","2008-02-12",6.21
"281","2008-02-13",6.125
"282","2008-02-14",6.16
"283","2008-02-15",6.375
"284","2008-02-19",6.005
"285","2008-02-20",5.925
"286","2008-02-21",6
"287","2008-02-22",6
"288","2008-02-25",6.24
"289","2008-02-26",6.375
"290","2008-02-27",6.62
"291","2008-02-28",6.325
"292","2008-02-29",6.325
"293","2008-03-03",6.325
"294","2008-03-04",6.5
"295","2008-03-05",6.625
"296","2008-03-06",6.495
"297","2008-03-07",6.325
"298","2008-03-10",6.5
"299","2008-03-11",6.55
"300","2008-03-12",6.55
"301","2008-03-13",6.6
"302","2008-03-14",6.345
"303","2008-03-17",6.345
"304","2008-03-18",6.345
"305","2008-03-19",6.125
"306","2008-03-20",5.875
"307","2008-03-24",6.01
"308","2008-03-25",6.01
"309","2008-03-26",6
"310","2008-03-27",6
"311","2008-03-28",6
"312","2008-03-31",6.465
"313","2008-04-01",6.5
"314","2008-04-02",6.5
"315","2008-04-03",6.5
"316","2008-04-04",6.5
"317","2008-04-07",6.5
"318","2008-04-08",6.495
"319","2008-04-09",6.495
