"","date","VCYT"
"1","2013-10-30",13.25
"2","2013-10-31",12.39
"3","2013-11-01",12.3
"4","2013-11-04",12.8
"5","2013-11-05",12.4
"6","2013-11-06",11.5
"7","2013-11-07",11.15
"8","2013-11-08",11.41
"9","2013-11-11",12.1
"10","2013-11-12",12.43
"11","2013-11-13",12.24
"12","2013-11-14",12.15
"13","2013-11-15",12.15
"14","2013-11-18",12.65
"15","2013-11-19",12.47
"16","2013-11-20",12.89
"17","2013-11-21",12.76
"18","2013-11-22",12.16
"19","2013-11-25",11.36
"20","2013-11-26",12.86
"21","2013-11-27",13.01
"22","2013-11-29",12.98
"23","2013-12-02",12.99
"24","2013-12-03",12.96
"25","2013-12-04",12.89
"26","2013-12-05",13.49
"27","2013-12-06",13.71
"28","2013-12-09",13.93
"29","2013-12-10",13.89
"30","2013-12-11",13.51
"31","2013-12-12",13.07
"32","2013-12-13",13.16
"33","2013-12-16",14
"34","2013-12-17",14.04
"35","2013-12-18",13.92
"36","2013-12-19",13.98
"37","2013-12-20",14
"38","2013-12-23",13.99
"39","2013-12-24",13.92
"40","2013-12-26",14.28
"41","2013-12-27",14.15
"42","2013-12-30",13.78
"43","2013-12-31",14.5
"44","2014-01-02",14.67
"45","2014-01-03",15.31
"46","2014-01-06",15.79
"47","2014-01-07",15.74
"48","2014-01-08",15.62
"49","2014-01-09",15.9
"50","2014-01-10",16.18
"51","2014-01-13",15.88
"52","2014-01-14",16.02
"53","2014-01-15",16.049999
"54","2014-01-16",16.059999
"55","2014-01-17",16.299999
"56","2014-01-21",16.23
"57","2014-01-22",15.94
"58","2014-01-23",15.85
"59","2014-01-24",15.92
"60","2014-01-27",15.16
"61","2014-01-28",14.97
"62","2014-01-29",14.87
"63","2014-01-30",14.82
"64","2014-01-31",14.65
"65","2014-02-03",14.67
"66","2014-02-04",14.46
"67","2014-02-05",14.93
"68","2014-02-06",15.01
"69","2014-02-07",15.04
"70","2014-02-10",14.96
"71","2014-02-11",14.92
"72","2014-02-12",14.85
"73","2014-02-13",14.95
"74","2014-02-14",14.52
"75","2014-02-18",14.84
"76","2014-02-19",14.34
"77","2014-02-20",14.76
"78","2014-02-21",14.96
"79","2014-02-24",14.76
"80","2014-02-25",14.4
"81","2014-02-26",14.88
"82","2014-02-27",15.69
"83","2014-02-28",16.01
"84","2014-03-03",16.559999
"85","2014-03-04",17.799999
"86","2014-03-05",17.549999
"87","2014-03-06",17.52
"88","2014-03-07",17.629999
"89","2014-03-10",18.24
"90","2014-03-11",18.01
"91","2014-03-12",17.309999
