"","date","OBAS"
"1","2007-01-03",18.85
"2","2007-01-04",18.75
"3","2007-01-05",18.9
"4","2007-01-08",19.4
"5","2007-01-09",19.200001
"6","2007-01-10",18.85
"7","2007-01-11",18.5
"8","2007-01-12",18.85
"9","2007-01-16",18.799999
"10","2007-01-17",18.25
"11","2007-01-18",18
"12","2007-01-19",17.700001
"13","2007-01-22",17.200001
"14","2007-01-23",18.5
"15","2007-01-24",18.799999
"16","2007-01-25",18.700001
"17","2007-01-26",19.65
"18","2007-01-29",19.85
"19","2007-01-30",19.65
"20","2007-01-31",19
"21","2007-02-01",18.950001
"22","2007-02-02",19.5
"23","2007-02-05",19.1
"24","2007-02-06",19.25
"25","2007-02-07",19.4
"26","2007-02-08",19.4
"27","2007-02-09",19.35
"28","2007-02-12",19.1
"29","2007-02-13",19
"30","2007-02-14",19.1
"31","2007-02-15",19.25
"32","2007-02-16",19.25
"33","2007-02-20",19.35
"34","2007-02-21",19.6
"35","2007-02-22",19.6
"36","2007-02-23",19.9
"37","2007-02-26",20.700001
"38","2007-02-27",20
"39","2007-02-28",19.65
"40","2007-03-01",19.6
"41","2007-03-02",19.9
"42","2007-03-05",19.200001
"43","2007-03-06",19.1
"44","2007-03-07",19.450001
"45","2007-03-08",19.450001
"46","2007-03-09",19.65
"47","2007-03-12",20.5
"48","2007-03-13",20
"49","2007-03-14",20.200001
"50","2007-03-15",20.1
"51","2007-03-16",20.450001
"52","2007-03-19",20.25
"53","2007-03-20",21.6
"54","2007-03-21",21.299999
"55","2007-03-22",21
"56","2007-03-23",21.1
"57","2007-03-26",20.549999
"58","2007-03-27",20.35
"59","2007-03-28",21.049999
"60","2007-03-29",21
"61","2007-03-30",20.15
"62","2007-04-02",19.950001
"63","2007-04-03",20.15
"64","2007-04-04",19.950001
"65","2007-04-05",20.049999
"66","2007-04-09",20
"67","2007-04-10",19.950001
"68","2007-04-11",19.65
"69","2007-04-12",19.700001
"70","2007-04-13",19.700001
