"","date","JBL"
"1","2007-01-03",24.98
"2","2007-01-04",25.23
"3","2007-01-05",25.030001
"4","2007-01-08",25.040001
"5","2007-01-09",24.639999
"6","2007-01-10",24.48
"7","2007-01-11",24.450001
"8","2007-01-12",24.92
"9","2007-01-16",25.08
"10","2007-01-17",24.809999
"11","2007-01-18",24.469999
"12","2007-01-19",24.209999
"13","2007-01-22",23.98
"14","2007-01-23",24.17
"15","2007-01-24",24.290001
"16","2007-01-25",24.41
"17","2007-01-26",24.610001
"18","2007-01-29",23.950001
"19","2007-01-30",23.82
"20","2007-01-31",23.99
"21","2007-02-01",24.24
"22","2007-02-02",24.469999
"23","2007-02-05",24.469999
"24","2007-02-06",24.77
"25","2007-02-07",25.51
"26","2007-02-08",25.700001
"27","2007-02-09",25.870001
"28","2007-02-12",26.08
"29","2007-02-13",26.030001
"30","2007-02-14",26.389999
"31","2007-02-15",26.889999
"32","2007-02-16",26.49
"33","2007-02-20",26.34
"34","2007-02-21",26.84
"35","2007-02-22",27.35
"36","2007-02-23",27.639999
"37","2007-02-26",27.450001
"38","2007-02-27",26.700001
"39","2007-02-28",26.719999
"40","2007-03-01",26.52
"41","2007-03-02",26.35
"42","2007-03-05",26.450001
"43","2007-03-06",26.51
"44","2007-03-07",25.9
"45","2007-03-08",26.540001
"46","2007-03-09",26.290001
"47","2007-03-12",25.940001
"48","2007-03-13",25.52
"49","2007-03-14",26.200001
"50","2007-03-15",26.299999
"51","2007-03-16",26.09
"52","2007-03-19",25.940001
"53","2007-03-20",25.790001
"54","2007-03-21",26
"55","2007-03-22",24.93
"56","2007-03-23",22.26
"57","2007-03-26",22.1
"58","2007-03-27",22.24
"59","2007-03-28",22.040001
"60","2007-03-29",21.389999
"61","2007-03-30",21.41
"62","2007-04-02",21.35
"63","2007-04-03",21.48
"64","2007-04-04",21.389999
"65","2007-04-05",21.33
"66","2007-04-09",21.25
"67","2007-04-10",21.35
"68","2007-04-11",21.459999
"69","2007-04-12",21.530001
"70","2007-04-13",21.85
"71","2007-04-16",22.370001
"72","2007-04-17",22.120001
"73","2007-04-18",22.309999
"74","2007-04-19",22.5
"75","2007-04-20",22.809999
"76","2007-04-23",23
"77","2007-04-24",23.15
"78","2007-04-25",23.360001
"79","2007-04-26",23.92
"80","2007-04-27",23.6
"81","2007-04-30",23.299999
"82","2007-05-01",23.42
"83","2007-05-02",23.74
"84","2007-05-03",24.200001
"85","2007-05-04",23.870001
"86","2007-05-07",23.690001
"87","2007-05-08",24.07
"88","2007-05-09",23.950001
"89","2007-05-10",23.139999
"90","2007-05-11",23.4
"91","2007-05-14",23.15
"92","2007-05-15",22.84
"93","2007-05-16",22.799999
"94","2007-05-17",22.48
"95","2007-05-18",22.57
"96","2007-05-21",22.610001
"97","2007-05-22",23.18
"98","2007-05-23",23.459999
"99","2007-05-24",22.99
"100","2007-05-25",23.120001
"101","2007-05-29",22.860001
"102","2007-05-30",23.040001
"103","2007-05-31",23
"104","2007-06-01",22.610001
"105","2007-06-04",22.25
"106","2007-06-05",21.620001
"107","2007-06-06",21
"108","2007-06-07",20.450001
"109","2007-06-08",20.530001
"110","2007-06-11",20.379999
"111","2007-06-12",20.07
"112","2007-06-13",20.200001
"113","2007-06-14",20.280001
"114","2007-06-15",20.58
"115","2007-06-18",20.33
"116","2007-06-19",20.16
"117","2007-06-20",20.629999
"118","2007-06-21",21.200001
"119","2007-06-22",23.129999
"120","2007-06-25",22.870001
"121","2007-06-26",22.67
"122","2007-06-27",22.68
"123","2007-06-28",22.52
"124","2007-06-29",22.07
"125","2007-07-02",22.16
"126","2007-07-03",22.370001
"127","2007-07-05",22.209999
"128","2007-07-06",22.309999
"129","2007-07-09",22.219999
