"","date","NGL"
"1","2011-05-16",20.889999
"2","2011-05-17",21
"3","2011-05-18",21.290001
"4","2011-05-19",21.75
"5","2011-05-20",21.68
"6","2011-05-23",21.459999
"7","2011-05-24",21.200001
"8","2011-05-25",20.74
"9","2011-05-26",20.690001
"10","2011-05-27",20.5
"11","2011-05-31",20.940001
"12","2011-06-01",20.629999
"13","2011-06-02",20.76
"14","2011-06-03",20.290001
"15","2011-06-06",19.370001
"16","2011-06-07",18.75
"17","2011-06-08",19.49
"18","2011-06-09",20.110001
"19","2011-06-10",20.15
"20","2011-06-13",19.889999
"21","2011-06-14",20.120001
"22","2011-06-15",19.200001
"23","2011-06-16",18.620001
"24","2011-06-17",18.65
"25","2011-06-20",18.9
"26","2011-06-21",19.99
"27","2011-06-22",19.99
"28","2011-06-23",19.58
"29","2011-06-24",19.719999
"30","2011-06-27",19.950001
"31","2011-06-28",20
"32","2011-06-29",20.49
"33","2011-06-30",19.940001
"34","2011-07-01",20
"35","2011-07-05",20.34
"36","2011-07-06",20.049999
"37","2011-07-07",20.700001
"38","2011-07-08",20.549999
"39","2011-07-11",20.25
"40","2011-07-12",19.75
"41","2011-07-13",19.309999
"42","2011-07-14",19.700001
"43","2011-07-15",19.84
"44","2011-07-18",20.02
"45","2011-07-19",20.4
"46","2011-07-20",20.1
"47","2011-07-21",20.299999
"48","2011-07-22",20
"49","2011-07-25",19.82
"50","2011-07-26",19.799999
"51","2011-07-27",19.75
"52","2011-07-28",20.32
"53","2011-07-29",19.799999
"54","2011-08-01",20.1
"55","2011-08-02",19.5
"56","2011-08-03",19.200001
"57","2011-08-04",18.690001
"58","2011-08-05",19.27
"59","2011-08-08",18.52
"60","2011-08-09",18.59
"61","2011-08-10",18.48
"62","2011-08-11",18.4
"63","2011-08-12",18.68
"64","2011-08-15",19.549999
"65","2011-08-16",19.610001
"66","2011-08-17",20.700001
"67","2011-08-18",20.34
"68","2011-08-19",20.4
"69","2011-08-22",20.1
"70","2011-08-23",20.200001
"71","2011-08-24",20.4
"72","2011-08-25",20.16
"73","2011-08-26",20.35
"74","2011-08-29",20.620001
"75","2011-08-30",20.4
"76","2011-08-31",21.4
"77","2011-09-01",21.690001
"78","2011-09-02",22.07
"79","2011-09-06",22.48
"80","2011-09-07",22.700001
"81","2011-09-08",22.15
"82","2011-09-09",22.15
"83","2011-09-12",21.82
"84","2011-09-13",22.049999
"85","2011-09-14",22.030001
"86","2011-09-15",22.07
"87","2011-09-16",21.9
"88","2011-09-19",21.9
"89","2011-09-20",21.92
"90","2011-09-21",21.950001
"91","2011-09-22",21.51
"92","2011-09-23",21.309999
"93","2011-09-26",21.450001
"94","2011-09-27",21.700001
"95","2011-09-28",21.110001
"96","2011-09-29",21.98
"97","2011-09-30",21.5
"98","2011-10-03",20.469999
"99","2011-10-04",19.879999
"100","2011-10-05",20.52
"101","2011-10-06",21.08
"102","2011-10-07",21.190001
"103","2011-10-10",21.09
"104","2011-10-11",21.1
"105","2011-10-12",21.549999
"106","2011-10-13",21.950001
"107","2011-10-14",21.610001
"108","2011-10-17",21.09
"109","2011-10-18",21.73
"110","2011-10-19",21.66
"111","2011-10-20",21.950001
"112","2011-10-21",22.049999
"113","2011-10-24",21.639999
"114","2011-10-25",21.17
"115","2011-10-26",22
"116","2011-10-27",21.799999
"117","2011-10-28",21.209999
"118","2011-10-31",21.440001
"119","2011-11-01",21.07
"120","2011-11-02",21.549999
"121","2011-11-03",21.65
"122","2011-11-04",21.66
"123","2011-11-07",21.280001
"124","2011-11-08",21.299999
"125","2011-11-09",21.299999
"126","2011-11-10",21.549999
"127","2011-11-11",21.139999
"128","2011-11-14",21.65
"129","2011-11-15",21.5
"130","2011-11-16",21.52
"131","2011-11-17",21.67
"132","2011-11-18",21.66
"133","2011-11-21",20.959999
"134","2011-11-22",20.92
"135","2011-11-23",21.08
"136","2011-11-25",21.610001
"137","2011-11-28",21.799999
"138","2011-11-29",21.51
"139","2011-11-30",21.620001
"140","2011-12-01",21.549999
"141","2011-12-02",21.65
"142","2011-12-05",21.76
"143","2011-12-06",21.65
"144","2011-12-07",21.190001
"145","2011-12-08",20.1
"146","2011-12-09",20.049999
"147","2011-12-12",20.65
"148","2011-12-13",20.91
"149","2011-12-14",20.73
"150","2011-12-15",20.299999
"151","2011-12-16",20.610001
"152","2011-12-19",20.530001
"153","2011-12-20",20.82
"154","2011-12-21",20.639999
"155","2011-12-22",20.51
"156","2011-12-23",20.52
"157","2011-12-27",20.41
"158","2011-12-28",20.290001
"159","2011-12-29",20.549999
"160","2011-12-30",20.629999
"161","2012-01-03",20.6
"162","2012-01-04",21.17
"163","2012-01-05",21.42
"164","2012-01-06",21.780001
"165","2012-01-09",21.870001
"166","2012-01-10",21.9
