"","date","HEBT"
"1","2016-12-27",5.85
"2","2016-12-28",5.68
"3","2016-12-29",5.4
"4","2016-12-30",4.95
"5","2017-01-03",4.677
"6","2017-01-04",5.93
"7","2017-01-05",5
"8","2017-01-06",5.12
"9","2017-01-09",4.68
"10","2017-01-10",4.21
"11","2017-01-11",4.25
"12","2017-01-12",4.27
"13","2017-01-13",4.15
"14","2017-01-17",4.36
"15","2017-01-18",4.2
"16","2017-01-19",4.05
"17","2017-01-20",4.06
"18","2017-01-23",4.09
"19","2017-01-24",4.177
"20","2017-01-25",4.03
"21","2017-01-26",4.05
"22","2017-01-27",3.96
"23","2017-01-30",3.8
"24","2017-01-31",3.7
"25","2017-02-01",3.96
"26","2017-02-02",3.7
"27","2017-02-03",3.95
"28","2017-02-06",4.025
"29","2017-02-07",4.04
"30","2017-02-08",4.07
"31","2017-02-09",4.09
"32","2017-02-10",4.02
"33","2017-02-13",4.07
"34","2017-02-14",4.06
"35","2017-02-15",4.034
"36","2017-02-16",4.06
"37","2017-02-17",4.2
"38","2017-02-21",4.14
"39","2017-02-22",4.04
"40","2017-02-23",4.04
"41","2017-02-24",4.02
"42","2017-02-27",3.96
"43","2017-02-28",3.78
"44","2017-03-01",3.82
"45","2017-03-02",3.3
"46","2017-03-03",3.46
"47","2017-03-06",3.35
"48","2017-03-07",3.69
"49","2017-03-08",3.93
"50","2017-03-09",3.99
"51","2017-03-10",4.07
"52","2017-03-13",3.99
"53","2017-03-14",3.99
"54","2017-03-15",3.9
"55","2017-03-16",3.89
"56","2017-03-17",3.67
"57","2017-03-20",3.52
"58","2017-03-21",3.45
"59","2017-03-22",3.41
"60","2017-03-23",3.36
"61","2017-03-24",3.35
"62","2017-03-27",3.36
"63","2017-03-28",3.45
"64","2017-03-29",3.44
"65","2017-03-30",3.36
"66","2017-03-31",3.26
"67","2017-04-03",3.19
"68","2017-04-04",3.18
"69","2017-04-05",3.31
"70","2017-04-06",3.32
"71","2017-04-07",3.35
"72","2017-04-10",3.35
"73","2017-04-11",3.4
"74","2017-04-12",3.47
"75","2017-04-13",3.54
"76","2017-04-17",3.56
"77","2017-04-18",3.66
"78","2017-04-19",3.67
"79","2017-04-20",3.74
"80","2017-04-21",3.75
"81","2017-04-24",3.94
"82","2017-04-25",4.06
"83","2017-04-26",4.08
"84","2017-04-27",4.06
"85","2017-04-28",4.05
"86","2017-05-01",4.06
"87","2017-05-02",3.78
"88","2017-05-03",4.026
"89","2017-05-04",4.043
"90","2017-05-05",4.04
"91","2017-05-08",4.02
"92","2017-05-09",4.03
"93","2017-05-10",4.12
"94","2017-05-11",4.24
"95","2017-05-12",4.23
"96","2017-05-15",4.19
"97","2017-05-16",4.03
"98","2017-05-17",3.93
"99","2017-05-18",3.745
"100","2017-05-19",3.709
"101","2017-05-22",3.9
"102","2017-05-23",3.95
"103","2017-05-24",4.01
"104","2017-05-25",4.24
"105","2017-05-26",3.99
"106","2017-05-30",3.92
"107","2017-05-31",3.8
"108","2017-06-01",3.8
"109","2017-06-02",3.68
"110","2017-06-05",3.7
"111","2017-06-06",3.7
"112","2017-06-07",3.61
"113","2017-06-08",3.62
"114","2017-06-09",3.49
"115","2017-06-12",3.4
"116","2017-06-13",3.5
"117","2017-06-14",3.53
"118","2017-06-15",3.45
"119","2017-06-16",3.31
"120","2017-06-19",3.31
"121","2017-06-20",3.26
"122","2017-06-21",3.27
"123","2017-06-22",3.19
"124","2017-06-23",3.09
"125","2017-06-26",2.81
"126","2017-06-27",2.92
"127","2017-06-28",2.66
"128","2017-06-29",2.53
"129","2017-06-30",2.66
"130","2017-07-03",2.73
"131","2017-07-05",2.7
"132","2017-07-06",2.54
"133","2017-07-07",2.7
"134","2017-07-10",3.05
"135","2017-07-11",3.03
"136","2017-07-12",3.03
"137","2017-07-13",3.03
"138","2017-07-14",2.896
"139","2017-07-17",2.92
"140","2017-07-18",2.92
"141","2017-07-19",2.9
"142","2017-07-20",2.853
"143","2017-07-21",3.22
"144","2017-07-24",3.9
"145","2017-07-25",3.61
"146","2017-07-26",3.29
"147","2017-07-27",3.415
"148","2017-07-28",3.4
"149","2017-07-31",3.53
"150","2017-08-01",3.49
"151","2017-08-02",3.49
"152","2017-08-03",3.31
"153","2017-08-04",3.34
"154","2017-08-07",3.36
"155","2017-08-08",3.322
"156","2017-08-09",3.32
"157","2017-08-10",3.4
"158","2017-08-11",3.259
"159","2017-08-14",3.14
"160","2017-08-15",3.2
"161","2017-08-16",3.17
"162","2017-08-17",3.18
"163","2017-08-18",3.24
"164","2017-08-21",3.33
