"","date","FBM"
"1","2017-02-10",15.5
"2","2017-02-13",16
"3","2017-02-14",16
"4","2017-02-15",15.82
"5","2017-02-16",15.56
"6","2017-02-17",15.52
"7","2017-02-21",15.5
"8","2017-02-22",15.2
"9","2017-02-23",15.5
"10","2017-02-24",15.92
"11","2017-02-27",16.219999
"12","2017-02-28",16.34
"13","2017-03-01",17.02
"14","2017-03-02",16.73
"15","2017-03-03",16.59
"16","2017-03-06",16.51
"17","2017-03-07",16.48
"18","2017-03-08",16.23
"19","2017-03-09",15.95
"20","2017-03-10",15.93
"21","2017-03-13",16.34
"22","2017-03-14",15.44
"23","2017-03-15",15.75
"24","2017-03-16",16.17
"25","2017-03-17",16.16
"26","2017-03-20",16.190001
"27","2017-03-21",16.059999
"28","2017-03-22",16.549999
"29","2017-03-23",17.200001
"30","2017-03-24",16.77
"31","2017-03-27",16.049999
"32","2017-03-28",16.02
"33","2017-03-29",15.56
"34","2017-03-30",16.35
"35","2017-03-31",15.97
"36","2017-04-03",15.67
"37","2017-04-04",15.62
"38","2017-04-05",15.73
"39","2017-04-06",16.02
"40","2017-04-07",16.200001
"41","2017-04-10",16.469999
"42","2017-04-11",16.360001
"43","2017-04-12",16.02
"44","2017-04-13",15.94
"45","2017-04-17",16.23
"46","2017-04-18",16.139999
"47","2017-04-19",16.1
"48","2017-04-20",16.15
"49","2017-04-21",16.110001
"50","2017-04-24",16.07
"51","2017-04-25",16.219999
"52","2017-04-26",16.379999
"53","2017-04-27",16.27
"54","2017-04-28",16.190001
"55","2017-05-01",16.559999
"56","2017-05-02",16.309999
"57","2017-05-03",16.09
"58","2017-05-04",16.18
"59","2017-05-05",16.209999
"60","2017-05-08",16.07
"61","2017-05-09",16.379999
"62","2017-05-10",15.83
"63","2017-05-11",15.65
"64","2017-05-12",15.28
"65","2017-05-15",15.28
"66","2017-05-16",15.1
"67","2017-05-17",14.47
"68","2017-05-18",14.41
"69","2017-05-19",14.18
"70","2017-05-22",14.18
"71","2017-05-23",14.23
"72","2017-05-24",14.04
"73","2017-05-25",14.04
"74","2017-05-26",14
"75","2017-05-30",13.81
"76","2017-05-31",13.5
"77","2017-06-01",13.6
"78","2017-06-02",13.82
"79","2017-06-05",13.69
"80","2017-06-06",13.96
"81","2017-06-07",14.32
"82","2017-06-08",14.3
"83","2017-06-09",14.15
"84","2017-06-12",14.13
"85","2017-06-13",14.23
"86","2017-06-14",14.25
"87","2017-06-15",14
"88","2017-06-16",13.75
"89","2017-06-19",13.83
"90","2017-06-20",13.88
"91","2017-06-21",13.62
"92","2017-06-22",13.64
