"","date","EXTN"
"1","2015-10-27",18
"2","2015-10-28",18
"3","2015-10-29",18
"4","2015-10-30",18
"5","2015-11-02",18.01
"6","2015-11-03",18.200001
"7","2015-11-04",15.37
"8","2015-11-05",13.91
"9","2015-11-06",14.71
"10","2015-11-09",14.71
"11","2015-11-10",16.879999
"12","2015-11-11",18.139999
"13","2015-11-12",18.209999
"14","2015-11-13",17.16
"15","2015-11-16",17.4
"16","2015-11-17",16.57
"17","2015-11-18",16.67
"18","2015-11-19",16.27
"19","2015-11-20",16.25
"20","2015-11-23",16.309999
"21","2015-11-24",16.32
"22","2015-11-25",16.01
"23","2015-11-27",16.040001
"24","2015-11-30",16.370001
"25","2015-12-01",16.440001
"26","2015-12-02",15.92
"27","2015-12-03",16.389999
"28","2015-12-04",16.51
"29","2015-12-07",15.29
"30","2015-12-08",15.12
"31","2015-12-09",15.25
"32","2015-12-10",15.18
"33","2015-12-11",13.93
"34","2015-12-14",13.48
"35","2015-12-15",13.82
"36","2015-12-16",14.53
"37","2015-12-17",13.97
"38","2015-12-18",14.13
"39","2015-12-21",14.55
"40","2015-12-22",15.54
"41","2015-12-23",16.040001
"42","2015-12-24",15.79
"43","2015-12-28",15.64
"44","2015-12-29",15.99
"45","2015-12-30",16.02
"46","2015-12-31",16.049999
"47","2016-01-04",16.41
"48","2016-01-05",16.370001
"49","2016-01-06",16.219999
"50","2016-01-07",16.33
"51","2016-01-08",16.370001
"52","2016-01-11",15.25
"53","2016-01-12",14.75
"54","2016-01-13",14.07
"55","2016-01-14",15.1
"56","2016-01-15",14.16
"57","2016-01-19",13.86
"58","2016-01-20",13.5
"59","2016-01-21",14.17
"60","2016-01-22",15.16
"61","2016-01-25",14.8
"62","2016-01-26",15.13
"63","2016-01-27",15.05
"64","2016-01-28",15.14
"65","2016-01-29",16.52
"66","2016-02-01",15.49
"67","2016-02-02",14.53
"68","2016-02-03",14.49
"69","2016-02-04",14.88
"70","2016-02-05",14.78
"71","2016-02-08",14.91
"72","2016-02-09",13.96
"73","2016-02-10",13.87
"74","2016-02-11",13.37
"75","2016-02-12",13.59
"76","2016-02-16",14.03
"77","2016-02-17",14.68
"78","2016-02-18",14.58
"79","2016-02-19",14.47
"80","2016-02-22",14.98
"81","2016-02-23",14.45
"82","2016-02-24",14.48
"83","2016-02-25",13
"84","2016-02-26",13.21
"85","2016-02-29",13.64
"86","2016-03-01",14.26
"87","2016-03-02",14.94
"88","2016-03-03",15.6
"89","2016-03-04",15.46
"90","2016-03-07",15.5
"91","2016-03-08",15.25
"92","2016-03-09",16
"93","2016-03-10",16.01
"94","2016-03-11",16.9
"95","2016-03-14",16.67
"96","2016-03-15",15.95
"97","2016-03-16",16.02
"98","2016-03-17",16.559999
"99","2016-03-18",16.219999
"100","2016-03-21",16.52
"101","2016-03-22",16.5
"102","2016-03-23",15.48
"103","2016-03-24",15.71
"104","2016-03-28",15.72
"105","2016-03-29",15.98
"106","2016-03-30",15.82
"107","2016-03-31",15.46
"108","2016-04-01",15.08
"109","2016-04-04",15.26
"110","2016-04-05",14.51
"111","2016-04-06",14.44
"112","2016-04-07",14.14
"113","2016-04-08",14.39
"114","2016-04-11",15.12
"115","2016-04-12",15.22
"116","2016-04-13",15.64
"117","2016-04-14",15.43
"118","2016-04-15",15.2
"119","2016-04-18",16.049999
"120","2016-04-19",16.33
"121","2016-04-20",16.459999
"122","2016-04-21",16.17
"123","2016-04-22",16.959999
"124","2016-04-25",16.309999
"125","2016-04-26",16.4
"126","2016-04-27",16.360001
"127","2016-04-28",15.01
"128","2016-04-29",15.3
"129","2016-05-02",15.38
"130","2016-05-03",15.19
"131","2016-05-04",15.12
"132","2016-05-05",14.62
"133","2016-05-06",15.02
"134","2016-05-09",13.92
"135","2016-05-10",14.28
"136","2016-05-11",13.77
"137","2016-05-12",13.93
"138","2016-05-13",13.76
"139","2016-05-16",13.79
"140","2016-05-17",13.94
"141","2016-05-18",13.48
"142","2016-05-19",12.85
"143","2016-05-20",13.11
"144","2016-05-23",13.01
"145","2016-05-24",12.65
"146","2016-05-25",13.2
"147","2016-05-26",12.75
"148","2016-05-27",12.68
"149","2016-05-31",12.53
"150","2016-06-01",12.33
"151","2016-06-02",12.35
"152","2016-06-03",12.63
