"","date","OXSQ"
"1","2007-01-03",16
"2","2007-01-04",16.219999
"3","2007-01-05",15.87
"4","2007-01-08",16.110001
"5","2007-01-09",16.09
"6","2007-01-10",16.18
"7","2007-01-11",16.24
"8","2007-01-12",16.200001
"9","2007-01-16",16.4
"10","2007-01-17",16.33
"11","2007-01-18",16.190001
"12","2007-01-19",16.459999
"13","2007-01-22",16.280001
"14","2007-01-23",16.25
"15","2007-01-24",16.41
"16","2007-01-25",16.110001
"17","2007-01-26",16.18
"18","2007-01-29",16.41
"19","2007-01-30",16.65
"20","2007-01-31",16.700001
"21","2007-02-01",16.85
"22","2007-02-02",16.889999
"23","2007-02-05",16.799999
"24","2007-02-06",16.83
"25","2007-02-07",16.84
"26","2007-02-08",17.01
"27","2007-02-09",16.82
"28","2007-02-12",16.75
"29","2007-02-13",16.82
"30","2007-02-14",16.91
"31","2007-02-15",16.74
"32","2007-02-16",17
"33","2007-02-20",17.01
"34","2007-02-21",17.030001
"35","2007-02-22",17.040001
"36","2007-02-23",16.92
"37","2007-02-26",16.41
"38","2007-02-27",15.81
"39","2007-02-28",16.370001
"40","2007-03-01",16.139999
"41","2007-03-02",15.87
"42","2007-03-05",15.63
"43","2007-03-06",16.209999
"44","2007-03-07",16.41
"45","2007-03-08",16.48
"46","2007-03-09",16.790001
"47","2007-03-12",16.9
"48","2007-03-13",16.370001
"49","2007-03-14",16.860001
"50","2007-03-15",16.99
"51","2007-03-16",16.860001
"52","2007-03-19",16.91
"53","2007-03-20",17
"54","2007-03-21",17.040001
"55","2007-03-22",17.1
"56","2007-03-23",17.09
"57","2007-03-26",17.26
"58","2007-03-27",17.389999
"59","2007-03-28",17.27
"60","2007-03-29",17.469999
"61","2007-03-30",16.91
"62","2007-04-02",17.1
"63","2007-04-03",17.299999
"64","2007-04-04",17.24
"65","2007-04-05",17.27
"66","2007-04-09",16.959999
"67","2007-04-10",17
"68","2007-04-11",17.15
"69","2007-04-12",17.040001
"70","2007-04-13",17.030001
"71","2007-04-16",17.139999
"72","2007-04-17",17.15
"73","2007-04-18",17.030001
"74","2007-04-19",16.969999
"75","2007-04-20",17.190001
"76","2007-04-23",17.059999
"77","2007-04-24",17.120001
"78","2007-04-25",17.24
"79","2007-04-26",17.299999
"80","2007-04-27",17.200001
"81","2007-04-30",16.91
"82","2007-05-01",16.959999
"83","2007-05-02",17.299999
"84","2007-05-03",17.1
"85","2007-05-04",17.25
"86","2007-05-07",17.25
"87","2007-05-08",16.98
"88","2007-05-09",16.83
"89","2007-05-10",16.42
"90","2007-05-11",16.610001
"91","2007-05-14",16.620001
"92","2007-05-15",16.389999
"93","2007-05-16",16.48
"94","2007-05-17",16.42
"95","2007-05-18",16.309999
"96","2007-05-21",16.85
"97","2007-05-22",16.9
"98","2007-05-23",16.719999
"99","2007-05-24",16.799999
"100","2007-05-25",16.719999
"101","2007-05-29",16.9
"102","2007-05-30",17.01
"103","2007-05-31",17.219999
"104","2007-06-01",17.290001
"105","2007-06-04",17.25
"106","2007-06-05",17.02
"107","2007-06-06",16.790001
"108","2007-06-07",16.25
"109","2007-06-08",16.610001
"110","2007-06-11",16.709999
"111","2007-06-12",16.299999
"112","2007-06-13",16.5
"113","2007-06-14",16.450001
"114","2007-06-15",16.75
"115","2007-06-18",16.610001
"116","2007-06-19",16.540001
"117","2007-06-20",16.709999
"118","2007-06-21",16.34
"119","2007-06-22",16.27
"120","2007-06-25",16.110001
"121","2007-06-26",15.68
"122","2007-06-27",16.17
"123","2007-06-28",16.120001
"124","2007-06-29",15.79
"125","2007-07-02",15.93
