"","date","MYFW"
"1","2018-07-19",19.700001
"2","2018-07-20",19.1
"3","2018-07-23",19.09
"4","2018-07-24",18.870001
"5","2018-07-25",18.51
"6","2018-07-26",18.42
"7","2018-07-27",18
"8","2018-07-30",18.110001
"9","2018-07-31",17.76
"10","2018-08-01",16.360001
"11","2018-08-02",17.059999
"12","2018-08-03",17.299999
"13","2018-08-06",17
"14","2018-08-07",17.98
"15","2018-08-08",18.15
"16","2018-08-09",17.83
"17","2018-08-10",17.24
"18","2018-08-13",17.459999
"19","2018-08-14",17.1
"20","2018-08-15",17.690001
"21","2018-08-16",17.5
"22","2018-08-17",17.6
"23","2018-08-20",17.75
"24","2018-08-21",17.17
"25","2018-08-22",17.48
"26","2018-08-23",18
"27","2018-08-24",17.83
"28","2018-08-27",17.700001
"29","2018-08-28",17.52
"30","2018-08-29",17.1
"31","2018-08-30",17.4
"32","2018-08-31",18.4
"33","2018-09-04",18.200001
"34","2018-09-05",18.299999
"35","2018-09-06",17.969999
"36","2018-09-07",17.959999
"37","2018-09-10",17.950001
"38","2018-09-11",17.889999
"39","2018-09-12",17.33
"40","2018-09-13",17.65
"41","2018-09-14",17.309999
"42","2018-09-17",17.9
"43","2018-09-18",17.9
"44","2018-09-19",17.549999
"45","2018-09-20",17.6
"46","2018-09-21",16.530001
"47","2018-09-24",17
"48","2018-09-25",17.5
"49","2018-09-26",17.610001
"50","2018-09-27",17.52
"51","2018-09-28",17.49
"52","2018-10-01",16.559999
"53","2018-10-02",16.540001
"54","2018-10-03",16.48
"55","2018-10-04",16.6
"56","2018-10-05",16.559999
"57","2018-10-08",16.559999
"58","2018-10-09",16
"59","2018-10-10",15.85
"60","2018-10-11",15.85
"61","2018-10-12",15.99
"62","2018-10-15",15.93
"63","2018-10-16",15.8
"64","2018-10-17",15.85
"65","2018-10-18",15.7
"66","2018-10-19",15.01
"67","2018-10-22",15.4
"68","2018-10-23",15.12
"69","2018-10-24",14.55
"70","2018-10-25",15.05
"71","2018-10-26",14.7
"72","2018-10-29",14.75
"73","2018-10-30",13.5
"74","2018-10-31",13.39
"75","2018-11-01",12.89
"76","2018-11-02",12.81
"77","2018-11-05",12.25
"78","2018-11-06",12.95
"79","2018-11-07",12.6
"80","2018-11-08",12.25
"81","2018-11-09",12.6
"82","2018-11-12",12.58
"83","2018-11-13",12.71
"84","2018-11-14",12.9
"85","2018-11-15",12.84
"86","2018-11-16",12.22
"87","2018-11-19",12.54
"88","2018-11-20",12.7
"89","2018-11-21",12.7
"90","2018-11-23",12.7
"91","2018-11-26",13
"92","2018-11-27",13
"93","2018-11-28",12.9
"94","2018-11-29",12.92
"95","2018-11-30",13.08
"96","2018-12-03",12.92
"97","2018-12-04",12.61
"98","2018-12-06",12.27
"99","2018-12-07",12.22
"100","2018-12-10",12.15
"101","2018-12-11",12.15
"102","2018-12-12",12.1
"103","2018-12-13",12.3
"104","2018-12-14",12.15
"105","2018-12-17",12.15
"106","2018-12-18",11.87
"107","2018-12-19",11.52
"108","2018-12-20",11.32
"109","2018-12-21",11.35
"110","2018-12-24",10.96
"111","2018-12-26",11.16
"112","2018-12-27",11.01
"113","2018-12-28",11.13
"114","2018-12-31",11.71
"115","2019-01-02",11.94
"116","2019-01-03",11.94
"117","2019-01-04",11.75
"118","2019-01-07",11.75
"119","2019-01-08",11.66
"120","2019-01-09",11.72
"121","2019-01-10",12.15
"122","2019-01-11",12.65
"123","2019-01-14",13
"124","2019-01-15",13.31
"125","2019-01-16",13.5
"126","2019-01-17",13.75
"127","2019-01-18",13.75
"128","2019-01-22",13.75
"129","2019-01-23",14.25
"130","2019-01-24",13.85
"131","2019-01-25",13.94
"132","2019-01-28",13.7
"133","2019-01-29",13.75
"134","2019-01-30",13.78
"135","2019-01-31",14
"136","2019-02-01",14.55
"137","2019-02-04",14.25
"138","2019-02-05",14.25
"139","2019-02-06",14
"140","2019-02-07",14
"141","2019-02-08",13.89
"142","2019-02-11",13.5
"143","2019-02-12",13.25
"144","2019-02-13",13.42
"145","2019-02-14",13.47
"146","2019-02-15",13.5
"147","2019-02-19",13.75
