"","date","CXDC"
"1","2007-10-04",18.615
"2","2007-10-05",6.205
"3","2007-10-08",6.205
"4","2007-10-09",6.205
"5","2007-10-10",1.241
"6","2007-10-11",31.025
"7","2007-10-12",24.82
"8","2007-10-15",24.82
"9","2007-10-16",24.82
"10","2007-10-17",24.82
"11","2007-10-18",24.82
"12","2007-10-19",14.892
"13","2007-10-22",14.892
"14","2007-10-23",12.41
"15","2007-10-24",12.41
"16","2007-10-25",12.41
"17","2007-10-26",12.41
"18","2007-10-29",12.41
"19","2007-10-30",12.41
"20","2007-10-31",12.41
"21","2007-11-01",12.41
"22","2007-11-02",12.41
"23","2007-11-05",12.41
"24","2007-11-06",8.687
"25","2007-11-07",8.687
"26","2007-11-08",8.687
"27","2007-11-09",8.687
"28","2007-11-12",8.687
"29","2007-11-13",8.687
"30","2007-11-14",8.687
"31","2007-11-15",8.687
"32","2007-11-16",8.687
"33","2007-11-19",8.687
"34","2007-11-20",8.687
"35","2007-11-21",8.687
"36","2007-11-23",8.687
"37","2007-11-26",8.687
"38","2007-11-27",8.687
"39","2007-11-28",8.687
"40","2007-11-29",8.687
"41","2007-11-30",8.687
"42","2007-12-03",8.687
"43","2007-12-04",8.687
"44","2007-12-05",8.687
"45","2007-12-06",8.687
"46","2007-12-07",8.687
"47","2007-12-10",8.687
"48","2007-12-11",6.205
"49","2007-12-12",6.205
"50","2007-12-13",6.205
"51","2007-12-14",6.205
"52","2007-12-17",6.205
"53","2007-12-18",6.205
"54","2007-12-19",6.205
"55","2007-12-20",6.205
"56","2007-12-21",6.205
"57","2007-12-24",6.205
"58","2007-12-26",6.205
"59","2007-12-27",6.205
"60","2007-12-28",6.205
"61","2007-12-31",6.205
"62","2008-01-02",6.205
"63","2008-01-03",6.205
"64","2008-01-04",6.205
"65","2008-01-07",6.205
"66","2008-01-08",6.205
"67","2008-01-09",6.205
"68","2008-01-10",6.205
"69","2008-01-11",6.205
"70","2008-01-14",6.205
"71","2008-01-15",6.205
"72","2008-01-16",6.205
"73","2008-01-17",6.205
"74","2008-01-18",6.205
"75","2008-01-22",6.205
"76","2008-01-23",6.205
"77","2008-01-24",6.205
"78","2008-01-25",6.205
"79","2008-01-28",6.205
"80","2008-01-29",6.205
"81","2008-01-30",6.205
"82","2008-01-31",6.205
"83","2008-02-01",6.205
"84","2008-02-04",6.205
"85","2008-02-05",6.205
"86","2008-02-06",6.205
"87","2008-02-07",6.205
"88","2008-02-08",6.205
"89","2008-02-11",6.205
"90","2008-02-12",6.205
"91","2008-02-13",6.205
"92","2008-02-14",6.205
"93","2008-02-15",6.205
"94","2008-02-19",6.205
"95","2008-02-20",6.205
"96","2008-02-21",6.205
"97","2008-02-22",6.205
"98","2008-02-25",6.205
"99","2008-02-26",6.205
"100","2008-02-27",6.205
"101","2008-02-28",6.205
"102","2008-02-29",6.205
"103","2008-03-03",6.205
"104","2008-03-04",6.205
"105","2008-03-05",6.205
"106","2008-03-06",6.205
"107","2008-03-07",6.205
"108","2008-03-10",6.205
"109","2008-03-11",6.205
"110","2008-03-12",6.205
"111","2008-03-13",6.205
"112","2008-03-14",7.446
"113","2008-03-17",7.446
"114","2008-03-18",7.446
"115","2008-03-19",7.446
"116","2008-03-20",7.446
"117","2008-03-24",7.446
"118","2008-03-25",7.446
"119","2008-03-26",6.205
"120","2008-03-27",6.205
"121","2008-03-28",6.205
"122","2008-03-31",6.205
"123","2008-04-01",6.205
"124","2008-04-02",6.205
"125","2008-04-03",6.205
"126","2008-04-04",6.205
"127","2008-04-07",6.205
"128","2008-04-08",6.205
"129","2008-04-09",6.205
"130","2008-04-10",6.205
"131","2008-04-11",6.205
"132","2008-04-14",6.205
"133","2008-04-15",2.482
"134","2008-04-16",2.482
"135","2008-04-17",2.482
"136","2008-04-18",2.482
"137","2008-04-21",2.482
"138","2008-04-22",2.482
"139","2008-04-23",2.482
"140","2008-04-24",2.482
"141","2008-04-25",2.482
"142","2008-04-28",2.482
"143","2008-04-29",2.482
"144","2008-04-30",2.482
"145","2008-05-01",2.482
"146","2008-05-02",2.482
"147","2008-05-05",2.482
"148","2008-05-06",2.482
"149","2008-05-07",2.482
"150","2008-05-08",2.482
"151","2008-05-09",2.482
"152","2008-05-12",2.482
"153","2008-05-13",2.482
"154","2008-05-14",2.482
"155","2008-05-15",2.482
"156","2008-05-16",2.482
"157","2008-05-19",2.482
"158","2008-05-20",2.482
"159","2008-05-21",2.482
"160","2008-05-22",2.482
