"","date","AAN"
"1","2007-01-03",17
"2","2007-01-04",17.166666
"3","2007-01-05",16.913334
"4","2007-01-08",17.133333
"5","2007-01-09",17.006666
"6","2007-01-10",17.006666
"7","2007-01-11",17.333334
"8","2007-01-12",17.333334
"9","2007-01-16",17.473333
"10","2007-01-17",17.393333
"11","2007-01-18",17.266666
"12","2007-01-19",17.6
"13","2007-01-22",17.233334
"14","2007-01-23",17.559999
"15","2007-01-24",17.639999
"16","2007-01-25",17.360001
"17","2007-01-26",17.453333
"18","2007-01-29",17.66
"19","2007-01-30",17.333334
"20","2007-01-31",17.66
"21","2007-02-01",17.5
"22","2007-02-02",17.639999
"23","2007-02-05",17.566668
"24","2007-02-06",17.9
"25","2007-02-07",18.346666
"26","2007-02-08",18
"27","2007-02-09",17.506666
"28","2007-02-12",17.48
"29","2007-02-13",17.666666
"30","2007-02-14",17.68
"31","2007-02-15",17.68
"32","2007-02-16",17.780001
"33","2007-02-20",17.940001
"34","2007-02-21",16.84
"35","2007-02-22",16.673334
"36","2007-02-23",16.673334
"37","2007-02-26",16.753334
"38","2007-02-27",16.5
"39","2007-02-28",15.92
"40","2007-03-01",16
"41","2007-03-02",15.773334
"42","2007-03-05",15.773334
"43","2007-03-06",16.166666
"44","2007-03-07",15.873333
"45","2007-03-08",15.866667
"46","2007-03-09",16.073334
"47","2007-03-12",16.013334
"48","2007-03-13",15.933333
"49","2007-03-14",15.873333
"50","2007-03-15",16.073334
"51","2007-03-16",16.26
"52","2007-03-19",16.26
"53","2007-03-20",16.26
"54","2007-03-21",16
"55","2007-03-22",16
"56","2007-03-23",16
"57","2007-03-26",16.566668
"58","2007-03-27",16.306667
"59","2007-03-28",16.233334
"60","2007-03-29",16.013334
"61","2007-03-30",16.013334
"62","2007-04-02",15.986667
"63","2007-04-03",15.986667
"64","2007-04-04",15.986667
"65","2007-04-05",15.986667
"66","2007-04-09",15.693334
"67","2007-04-10",16.066668
"68","2007-04-11",16.066668
"69","2007-04-12",15.866667
"70","2007-04-13",15.866667
"71","2007-04-16",15.866667
