"","date","CNK"
"1","2007-04-24",18.91
"2","2007-04-25",19.08
"3","2007-04-26",19.51
"4","2007-04-27",19
"5","2007-04-30",18.9
"6","2007-05-01",18.85
"7","2007-05-02",18.43
"8","2007-05-03",18.1
"9","2007-05-04",18.6
"10","2007-05-07",19.120001
"11","2007-05-08",19.02
"12","2007-05-09",19
"13","2007-05-10",19
"14","2007-05-11",19.110001
"15","2007-05-14",19.23
"16","2007-05-15",19.48
"17","2007-05-16",19.25
"18","2007-05-17",19
"19","2007-05-18",19.33
"20","2007-05-21",19.700001
"21","2007-05-22",19.540001
"22","2007-05-23",19.309999
"23","2007-05-24",19.23
"24","2007-05-25",19.18
"25","2007-05-29",18.950001
"26","2007-05-30",19.17
"27","2007-05-31",19.35
"28","2007-06-01",19.459999
"29","2007-06-04",19.32
"30","2007-06-05",19.129999
"31","2007-06-06",19.030001
"32","2007-06-07",18.799999
"33","2007-06-08",18.700001
"34","2007-06-11",18.530001
"35","2007-06-12",18.59
"36","2007-06-13",18.5
"37","2007-06-14",18.57
"38","2007-06-15",18.700001
"39","2007-06-18",18.700001
"40","2007-06-19",18.459999
"41","2007-06-20",18.51
"42","2007-06-21",18.549999
"43","2007-06-22",17.42
"44","2007-06-25",17.040001
"45","2007-06-26",17.370001
"46","2007-06-27",17.58
"47","2007-06-28",17.93
"48","2007-06-29",17.889999
"49","2007-07-02",17.530001
"50","2007-07-03",16.940001
"51","2007-07-05",16.790001
"52","2007-07-06",16.860001
"53","2007-07-09",17.01
"54","2007-07-10",16.76
"55","2007-07-11",16.790001
"56","2007-07-12",17.08
"57","2007-07-13",17.25
"58","2007-07-16",17.99
"59","2007-07-17",17.75
"60","2007-07-18",17.9
"61","2007-07-19",17.809999
"62","2007-07-20",17.389999
"63","2007-07-23",17.299999
"64","2007-07-24",16.92
"65","2007-07-25",17.02
"66","2007-07-26",16.99
"67","2007-07-27",16.34
"68","2007-07-30",16.75
"69","2007-07-31",16.35
"70","2007-08-01",16.42
"71","2007-08-02",15.94
"72","2007-08-03",15.7
"73","2007-08-06",15.94
"74","2007-08-07",16.33
"75","2007-08-08",17.4
"76","2007-08-09",17
"77","2007-08-10",16.98
"78","2007-08-13",16.98
"79","2007-08-14",16.66
"80","2007-08-15",16.5
"81","2007-08-16",17.379999
"82","2007-08-17",17.58
"83","2007-08-20",17.799999
"84","2007-08-21",17.780001
"85","2007-08-22",17.719999
"86","2007-08-23",17.65
"87","2007-08-24",17.99
"88","2007-08-27",18.379999
"89","2007-08-28",17.98
"90","2007-08-29",18.33
"91","2007-08-30",18.41
"92","2007-08-31",17.98
"93","2007-09-04",17.91
"94","2007-09-05",17.559999
"95","2007-09-06",18.33
"96","2007-09-07",18.219999
"97","2007-09-10",17.65
"98","2007-09-11",17.68
"99","2007-09-12",17.6
"100","2007-09-13",17.940001
"101","2007-09-14",18.01
"102","2007-09-17",17.959999
"103","2007-09-18",18.379999
"104","2007-09-19",18.219999
"105","2007-09-20",18.49
"106","2007-09-21",18.49
"107","2007-09-24",18.5
"108","2007-09-25",18.52
"109","2007-09-26",18.780001
"110","2007-09-27",18.799999
"111","2007-09-28",18.559999
"112","2007-10-01",19.33
"113","2007-10-02",19.42
"114","2007-10-03",19.200001
"115","2007-10-04",19.129999
"116","2007-10-05",19.280001
"117","2007-10-08",19.25
"118","2007-10-09",19.27
"119","2007-10-10",19.5
"120","2007-10-11",18.65
"121","2007-10-12",18.75
"122","2007-10-15",18.280001
"123","2007-10-16",18.27
"124","2007-10-17",18.5
"125","2007-10-18",18.200001
"126","2007-10-19",17.719999
"127","2007-10-22",17.49
"128","2007-10-23",17.280001
"129","2007-10-24",17.1
"130","2007-10-25",17.309999
"131","2007-10-26",17.98
"132","2007-10-29",17.42
"133","2007-10-30",17.200001
"134","2007-10-31",17.209999
"135","2007-11-01",16.9
"136","2007-11-02",17.23
"137","2007-11-05",17.17
"138","2007-11-06",17.299999
"139","2007-11-07",17.290001
"140","2007-11-08",17.219999
"141","2007-11-09",17.08
"142","2007-11-12",17.620001
