"","date","DLPN"
"1","2007-01-03",1530
"2","2007-01-04",6000
"3","2007-01-05",7500
"4","2007-01-08",7500
"5","2007-01-09",7500
"6","2007-01-10",4500
"7","2007-01-11",4500
"8","2007-01-12",4500
"9","2007-01-16",4500
"10","2007-01-17",4500
"11","2007-01-18",810
"12","2007-01-19",4500
"13","2007-01-22",4500
"14","2007-01-23",720
"15","2007-01-24",480
"16","2007-01-25",600
"17","2007-01-26",600
"18","2007-01-29",870
"19","2007-01-30",870
"20","2007-01-31",540
"21","2007-02-01",450
"22","2007-02-02",450
"23","2007-02-05",360
"24","2007-02-06",360
"25","2007-02-07",360
"26","2007-02-08",360
"27","2007-02-09",360
"28","2007-02-12",300
"29","2007-02-13",300
"30","2007-02-14",300
"31","2007-02-15",750
"32","2007-02-16",450
"33","2007-02-20",600
"34","2007-02-21",600
"35","2007-02-22",900
"36","2007-02-23",900
"37","2007-02-26",900
"38","2007-02-27",780
"39","2007-02-28",780
"40","2007-03-01",780
"41","2007-03-02",780
"42","2007-03-05",780
"43","2007-03-06",780
"44","2007-03-07",780
"45","2007-03-08",780
"46","2007-03-09",780
"47","2007-03-12",780
"48","2007-03-13",540
"49","2007-03-14",450
"50","2007-03-15",450
"51","2007-03-16",450
"52","2007-03-19",450
"53","2007-03-20",360
"54","2007-03-21",300
"55","2007-03-22",240
"56","2007-03-23",240
"57","2007-03-26",240
"58","2007-03-27",240
"59","2007-03-28",240
"60","2007-03-29",240
"61","2007-03-30",240
"62","2007-04-02",240
"63","2007-04-03",240
"64","2007-04-04",240
"65","2007-04-05",240
"66","2007-04-09",240
"67","2007-04-10",240
"68","2007-04-11",240
"69","2007-04-12",240
"70","2007-04-13",150
"71","2007-04-16",150
"72","2007-04-17",150
"73","2007-04-18",150
"74","2007-04-19",150
"75","2007-04-20",150
"76","2007-04-23",150
"77","2007-04-24",150
"78","2007-04-25",150
"79","2007-04-26",300
"80","2007-04-27",300
"81","2007-04-30",300
"82","2007-05-01",300
"83","2007-05-02",300
"84","2007-05-03",300
"85","2007-05-04",240
"86","2007-05-07",240
"87","2007-05-08",240
"88","2007-05-09",240
"89","2007-05-10",240
"90","2007-05-11",240
"91","2007-05-14",270
"92","2007-05-15",300
"93","2007-05-16",300
"94","2007-05-17",330
"95","2007-05-18",300
"96","2007-05-21",300
"97","2007-05-22",250
"98","2007-05-23",328
"99","2007-05-24",300
"100","2007-05-25",300
"101","2007-05-29",350
"102","2007-05-30",420
"103","2007-05-31",550
"104","2007-06-01",570
"105","2007-06-04",590
"106","2007-06-05",610
"107","2007-06-06",650
"108","2007-06-07",600
"109","2007-06-08",650
"110","2007-06-11",656
"111","2007-06-12",600
"112","2007-06-13",630
"113","2007-06-14",650
"114","2007-06-15",650
"115","2007-06-18",650
"116","2007-06-19",600
"117","2007-06-20",600
"118","2007-06-21",370
"119","2007-06-22",370
"120","2007-06-25",500
"121","2007-06-26",500
"122","2007-06-27",570
"123","2007-06-28",570
"124","2007-06-29",570
"125","2007-07-02",570
"126","2007-07-03",570
"127","2007-07-05",262
"128","2007-07-06",360
"129","2007-07-09",320
"130","2007-07-10",340
"131","2007-07-11",310
"132","2007-07-12",590
"133","2007-07-13",540
"134","2007-07-16",550
"135","2007-07-17",590
"136","2007-07-18",540
"137","2007-07-19",480
"138","2007-07-20",460
"139","2007-07-23",500
"140","2007-07-24",520
"141","2007-07-25",460
"142","2007-07-26",480
"143","2007-07-27",270
"144","2007-07-30",420
"145","2007-07-31",420
"146","2007-08-01",400
"147","2007-08-02",400
"148","2007-08-03",420
"149","2007-08-06",400
"150","2007-08-07",390
"151","2007-08-08",390
"152","2007-08-09",390
"153","2007-08-10",390
"154","2007-08-13",390
"155","2007-08-14",390
"156","2007-08-15",280
"157","2007-08-16",308
"158","2007-08-17",290
"159","2007-08-20",270
"160","2007-08-21",240
"161","2007-08-22",240
"162","2007-08-23",240
"163","2007-08-24",300
"164","2007-08-27",240
"165","2007-08-28",260
"166","2007-08-29",220
"167","2007-08-30",220
"168","2007-08-31",220
"169","2007-09-04",190
"170","2007-09-05",130
"171","2007-09-06",210
"172","2007-09-07",210
"173","2007-09-10",250
"174","2007-09-11",210
"175","2007-09-12",210
"176","2007-09-13",200
"177","2007-09-14",200
"178","2007-09-17",200
"179","2007-09-18",200
"180","2007-09-19",200
"181","2007-09-20",200
"182","2007-09-21",220
"183","2007-09-24",140
"184","2007-09-25",140
"185","2007-09-26",200
"186","2007-09-27",200
"187","2007-09-28",200
"188","2007-10-01",200
"189","2007-10-02",202
"190","2007-10-03",202
"191","2007-10-04",250
"192","2007-10-05",360
"193","2007-10-08",300
"194","2007-10-09",300
"195","2007-10-10",300
"196","2007-10-11",220
"197","2007-10-12",220
"198","2007-10-15",240
"199","2007-10-16",200
"200","2007-10-17",230
"201","2007-10-18",260
"202","2007-10-19",260
"203","2007-10-22",280
"204","2007-10-23",280
"205","2007-10-24",290
"206","2007-10-25",302
"207","2007-10-26",302
"208","2007-10-29",340
"209","2007-10-30",362
"210","2007-10-31",400
"211","2007-11-01",400
"212","2007-11-02",350
"213","2007-11-05",350
"214","2007-11-06",400
"215","2007-11-07",420
"216","2007-11-08",400
"217","2007-11-09",370
"218","2007-11-12",320
"219","2007-11-13",270
"220","2007-11-14",378
"221","2007-11-15",300
"222","2007-11-16",300
"223","2007-11-19",300
"224","2007-11-20",300
"225","2007-11-21",300
"226","2007-11-23",270
"227","2007-11-26",280
"228","2007-11-27",360
"229","2007-11-28",270
"230","2007-11-29",270
"231","2007-11-30",300
"232","2007-12-03",300
"233","2007-12-04",300
"234","2007-12-05",300
"235","2007-12-06",300
"236","2007-12-07",280
"237","2007-12-10",280
"238","2007-12-11",360
"239","2007-12-12",370
"240","2007-12-13",330
"241","2007-12-14",340
"242","2007-12-17",340
"243","2007-12-18",300
"244","2007-12-19",330
"245","2007-12-20",320
"246","2007-12-21",280
"247","2007-12-24",340
"248","2007-12-26",282
"249","2007-12-27",330
"250","2007-12-28",282
"251","2007-12-31",290
"252","2008-01-02",338
"253","2008-01-03",296
"254","2008-01-04",280
"255","2008-01-07",280
"256","2008-01-08",280
"257","2008-01-09",280
"258","2008-01-10",280
"259","2008-01-11",280
"260","2008-01-14",280
"261","2008-01-15",280
"262","2008-01-16",300
"263","2008-01-17",260
"264","2008-01-18",280
"265","2008-01-22",278
"266","2008-01-23",278
"267","2008-01-24",250
"268","2008-01-25",270
"269","2008-01-28",220
"270","2008-01-29",270
"271","2008-01-30",268
"272","2008-01-31",210
"273","2008-02-01",250
"274","2008-02-04",240
"275","2008-02-05",268
