"","date","WKEY"
"1","2019-01-11",19.225
"2","2019-01-14",18.35
"3","2019-01-15",18.35
"4","2019-01-16",18.35
"5","2019-01-17",18.35
"6","2019-01-18",18.35
"7","2019-01-22",17.5
"8","2019-01-23",17.5
"9","2019-01-24",17.5
"10","2019-01-25",17.5
"11","2019-01-28",17.5
"12","2019-01-29",17.5
"13","2019-01-30",17.5
"14","2019-01-31",17.5
"15","2019-02-01",17.5
"16","2019-02-04",17.5
"17","2019-02-05",16
"18","2019-02-06",16
"19","2019-02-07",16
"20","2019-02-08",16
"21","2019-02-11",16
"22","2019-02-12",16
"23","2019-02-13",16
"24","2019-02-14",16
"25","2019-02-15",16
"26","2019-02-19",16
"27","2019-02-20",17.25
"28","2019-02-21",17.25
"29","2019-02-22",17.25
"30","2019-02-25",17.25
"31","2019-02-26",17.25
"32","2019-02-27",17.25
"33","2019-02-28",17.25
"34","2019-03-01",17.25
"35","2019-03-04",17.25
"36","2019-03-05",17.25
"37","2019-03-06",17.25
"38","2019-03-07",17.25
"39","2019-03-08",17.25
"40","2019-03-11",17.25
"41","2019-03-12",17.25
"42","2019-03-13",17.25
"43","2019-03-14",17.25
"44","2019-03-15",17.25
"45","2019-03-18",17.25
"46","2019-03-19",17.25
"47","2019-03-20",17.25
"48","2019-03-21",17.25
"49","2019-03-22",17.25
"50","2019-03-25",17.25
"51","2019-03-26",17.25
"52","2019-03-27",17.25
"53","2019-03-28",17.25
"54","2019-03-29",17.25
"55","2019-04-01",17.25
"56","2019-04-02",17.25
"57","2019-04-03",14.5
"58","2019-04-04",14.5
"59","2019-04-05",14.5
"60","2019-04-08",15.5
"61","2019-04-09",15.5
"62","2019-04-10",15.5
"63","2019-04-11",15.5
"64","2019-04-12",15.5
"65","2019-04-15",15.5
"66","2019-04-16",15.5
"67","2019-04-17",15.5
"68","2019-04-18",15.5
"69","2019-04-22",15.5
"70","2019-04-23",15.5
"71","2019-04-24",15.5
"72","2019-04-25",15.5
"73","2019-04-26",15.5
"74","2019-04-29",15.5
"75","2019-04-30",15.5
"76","2019-05-01",15.5
"77","2019-05-02",15.5
"78","2019-05-03",15.5
"79","2019-05-06",15.5
"80","2019-05-07",15.5
"81","2019-05-08",15.5
"82","2019-05-09",15.5
"83","2019-05-10",15.5
"84","2019-05-13",15.5
"85","2019-05-14",15.5
"86","2019-05-15",15.5
"87","2019-05-16",15.5
"88","2019-05-17",15.5
"89","2019-05-20",15.5
"90","2019-05-21",15.5
"91","2019-05-22",15.5
"92","2019-05-23",15.5
"93","2019-05-24",15.5
"94","2019-05-28",15.5
"95","2019-05-29",15.5
"96","2019-05-30",15.5
"97","2019-05-31",15.5
"98","2019-06-03",15.5
"99","2019-06-04",15.5
"100","2019-06-05",15.5
"101","2019-06-06",15.5
"102","2019-06-07",15.5
"103","2019-06-10",15.5
"104","2019-06-11",15.5
"105","2019-06-12",15.5
"106","2019-06-13",15.5
"107","2019-06-14",15.5
"108","2019-06-17",15.5
"109","2019-06-18",15.5
"110","2019-06-19",15.5
"111","2019-06-20",15.5
"112","2019-06-21",15.5
"113","2019-06-24",15.5
"114","2019-06-25",15.5
"115","2019-06-26",15.5
"116","2019-06-27",15.5
"117","2019-06-28",15.5
"118","2019-07-01",15.5
"119","2019-07-02",15.5
"120","2019-07-03",15.5
"121","2019-07-05",15.5
"122","2019-07-08",15.5
"123","2019-07-09",15.5
"124","2019-07-10",15.5
"125","2019-07-11",15.5
"126","2019-07-12",15.5
"127","2019-07-15",15.5
"128","2019-07-16",15.5
"129","2019-07-17",15.5
"130","2019-07-18",15.5
"131","2019-07-19",15.5
"132","2019-07-22",15.5
"133","2019-07-23",15.625
"134","2019-07-24",15.625
"135","2019-07-25",15.625
"136","2019-07-26",15.625
"137","2019-07-29",15.625
"138","2019-07-30",15.625
"139","2019-07-31",15.625
"140","2019-08-01",15.625
"141","2019-08-02",15.625
"142","2019-08-05",15.625
"143","2019-08-06",15.625
"144","2019-08-07",15.625
"145","2019-08-08",15.625
"146","2019-08-09",15.625
"147","2019-08-12",15.625
"148","2019-08-13",15.625
"149","2019-08-14",15.625
"150","2019-08-15",15.625
"151","2019-08-16",15.625
"152","2019-08-19",15.625
"153","2019-08-20",15.625
"154","2019-08-21",15.625
"155","2019-08-22",15.625
"156","2019-08-23",15.625
"157","2019-08-26",15.625
"158","2019-08-27",15.625
"159","2019-08-28",15.625
"160","2019-08-29",15.625
"161","2019-08-30",15.625
"162","2019-09-03",15.3
"163","2019-09-04",15.3
"164","2019-09-05",15.3
"165","2019-09-06",15.3
"166","2019-09-09",15.3
"167","2019-09-10",15.3
"168","2019-09-11",15.3
"169","2019-09-12",15.3
"170","2019-09-13",15.3
"171","2019-09-16",15.3
"172","2019-09-17",15.3
"173","2019-09-18",15.3
"174","2019-09-19",15.3
"175","2019-09-20",15.3
"176","2019-09-23",15.3
"177","2019-09-24",15.3
"178","2019-09-25",15.3
"179","2019-09-26",15.3
"180","2019-09-27",15.3
"181","2019-09-30",15.3
"182","2019-10-01",15.3
"183","2019-10-02",15.3
"184","2019-10-03",15.3
"185","2019-10-04",15.3
"186","2019-10-07",15.3
"187","2019-10-08",15.3
"188","2019-10-09",15.3
"189","2019-10-10",15.3
"190","2019-10-11",15.3
"191","2019-10-14",15.3
"192","2019-10-15",15.3
"193","2019-10-16",15.3
"194","2019-10-17",15.3
"195","2019-10-18",15.3
"196","2019-10-21",15.3
"197","2019-10-22",15.3
"198","2019-10-23",15.3
"199","2019-10-24",15.3
"200","2019-10-25",15.3
"201","2019-10-28",15.3
"202","2019-10-29",15.3
"203","2019-10-30",15.3
"204","2019-10-31",15.3
"205","2019-11-01",10.85
"206","2019-11-04",10.85
"207","2019-11-05",10.85
"208","2019-11-06",10.85
"209","2019-11-07",10.85
"210","2019-11-08",10.85
"211","2019-11-11",10.85
"212","2019-11-12",10.85
"213","2019-11-13",10.85
"214","2019-11-14",10.85
"215","2019-11-15",10.85
"216","2019-11-18",10.85
"217","2019-11-19",10.85
"218","2019-11-20",10.85
"219","2019-11-21",10.85
"220","2019-11-22",10.85
"221","2019-11-25",10.85
"222","2019-11-26",10.85
"223","2019-11-27",10.85
"224","2019-11-29",10.85
"225","2019-12-02",10.85
"226","2019-12-03",10.85
"227","2019-12-04",10.85
"228","2019-12-05",10.85
"229","2019-12-06",10.85
"230","2019-12-09",10.85
"231","2019-12-10",10.85
"232","2019-12-11",10.85
"233","2019-12-12",10.85
"234","2019-12-13",10.85
"235","2019-12-16",10.85
"236","2019-12-17",10.85
"237","2019-12-18",10.85
"238","2019-12-19",10.85
"239","2019-12-20",10.85
"240","2019-12-23",10.85
"241","2019-12-24",10.85
"242","2019-12-26",10.85
"243","2019-12-27",12
"244","2019-12-30",11.25
"245","2019-12-31",11.74
"246","2020-01-02",11.24
"247","2020-01-03",11.24
"248","2020-01-06",11.24
"249","2020-01-07",11.24
"250","2020-01-08",11.24
"251","2020-01-09",11.24
"252","2020-01-10",11.24
"253","2020-01-13",11.24
