"","date","IBKR"
"1","2007-05-04",31.299999
"2","2007-05-07",29.75
"3","2007-05-08",28.5
"4","2007-05-09",28.32
"5","2007-05-10",27.690001
"6","2007-05-11",27.23
"7","2007-05-14",27.65
"8","2007-05-15",27.98
"9","2007-05-16",28.27
"10","2007-05-17",27.32
"11","2007-05-18",26.620001
"12","2007-05-21",27.09
"13","2007-05-22",27.549999
"14","2007-05-23",27.120001
"15","2007-05-24",27
"16","2007-05-25",27.290001
"17","2007-05-29",27.549999
"18","2007-05-30",25.91
"19","2007-05-31",25.5
"20","2007-06-01",26.540001
"21","2007-06-04",26.1
"22","2007-06-05",26.27
"23","2007-06-06",26.959999
"24","2007-06-07",26.799999
"25","2007-06-08",27.74
"26","2007-06-11",28.24
"27","2007-06-12",28.700001
"28","2007-06-13",27.91
"29","2007-06-14",27.459999
"30","2007-06-15",27.950001
"31","2007-06-18",27.6
"32","2007-06-19",27.32
"33","2007-06-20",27.059999
"34","2007-06-21",26.85
"35","2007-06-22",26.41
"36","2007-06-25",26.129999
"37","2007-06-26",26.879999
"38","2007-06-27",27.23
"39","2007-06-28",27.219999
"40","2007-06-29",27.129999
"41","2007-07-02",27.26
"42","2007-07-03",27.23
"43","2007-07-05",27.110001
"44","2007-07-06",24.969999
"45","2007-07-09",24.35
"46","2007-07-10",23.49
"47","2007-07-11",23.709999
"48","2007-07-12",24.24
"49","2007-07-13",23.98
"50","2007-07-16",23.540001
"51","2007-07-17",23.41
"52","2007-07-18",23.01
"53","2007-07-19",22.809999
"54","2007-07-20",23.120001
"55","2007-07-23",23.07
"56","2007-07-24",21.99
"57","2007-07-25",21.799999
"58","2007-07-26",21.98
"59","2007-07-27",22.93
"60","2007-07-30",24.690001
"61","2007-07-31",24.280001
"62","2007-08-01",24.110001
"63","2007-08-02",24.540001
"64","2007-08-03",23.5
"65","2007-08-06",23.18
"66","2007-08-07",24.02
"67","2007-08-08",24.57
"68","2007-08-09",25.07
"69","2007-08-10",25.129999
"70","2007-08-13",25.25
"71","2007-08-14",24.860001
"72","2007-08-15",24.059999
"73","2007-08-16",23.91
"74","2007-08-17",24.690001
"75","2007-08-20",24.75
"76","2007-08-21",25.33
"77","2007-08-22",26.59
"78","2007-08-23",26.530001
"79","2007-08-24",26.75
"80","2007-08-27",26.52
"81","2007-08-28",26.26
"82","2007-08-29",26.809999
"83","2007-08-30",26.610001
"84","2007-08-31",26.76
"85","2007-09-04",27.01
"86","2007-09-05",26.49
"87","2007-09-06",26.290001
"88","2007-09-07",26.040001
"89","2007-09-10",25.65
"90","2007-09-11",25.370001
"91","2007-09-12",26.01
"92","2007-09-13",26.120001
"93","2007-09-14",26.120001
"94","2007-09-17",26.17
"95","2007-09-18",27.02
"96","2007-09-19",27.43
"97","2007-09-20",27.48
"98","2007-09-21",27.75
"99","2007-09-24",27.33
"100","2007-09-25",26.950001
"101","2007-09-26",27.02
"102","2007-09-27",26.790001
"103","2007-09-28",26.26
"104","2007-10-01",27.58
"105","2007-10-02",27.5
"106","2007-10-03",27.370001
"107","2007-10-04",27.299999
"108","2007-10-05",27.6
"109","2007-10-08",27.309999
"110","2007-10-09",27.450001
"111","2007-10-10",28.32
"112","2007-10-11",27.790001
"113","2007-10-12",27.93
"114","2007-10-15",28.9
"115","2007-10-16",28.75
"116","2007-10-17",29.18
"117","2007-10-18",29.5
"118","2007-10-19",28.610001
"119","2007-10-22",28.950001
"120","2007-10-23",29.91
"121","2007-10-24",30.110001
"122","2007-10-25",30.940001
"123","2007-10-26",30.110001
