"","date","CHNR"
"1","2007-01-03",10.27
"2","2007-01-04",10.51
"3","2007-01-05",9.74
"4","2007-01-08",10.3
"5","2007-01-09",9.9
"6","2007-01-10",9.78
"7","2007-01-11",9.73
"8","2007-01-12",9.8
"9","2007-01-16",9.74
"10","2007-01-17",9.89
"11","2007-01-18",9.72
"12","2007-01-19",9.82
"13","2007-01-22",9.61
"14","2007-01-23",9.07
"15","2007-01-24",8.96
"16","2007-01-25",9.1
"17","2007-01-26",9.1
"18","2007-01-29",8.95
"19","2007-01-30",8.88
"20","2007-01-31",8.76
"21","2007-02-01",8.84
"22","2007-02-02",8.76
"23","2007-02-05",8.76
"24","2007-02-06",8.46
"25","2007-02-07",8.53
"26","2007-02-08",8.57
"27","2007-02-09",8.52
"28","2007-02-12",8.35
"29","2007-02-13",8.33
"30","2007-02-14",8.35
"31","2007-02-15",8.34
"32","2007-02-16",8.55
"33","2007-02-20",8.37
"34","2007-02-21",8.19
"35","2007-02-22",8.27
"36","2007-02-23",8.68
"37","2007-02-26",8.51
"38","2007-02-27",7.75
"39","2007-02-28",7.56
"40","2007-03-01",7.1
"41","2007-03-02",6.84
"42","2007-03-05",6.5
"43","2007-03-06",7.3
"44","2007-03-07",7.34
"45","2007-03-08",7.31
"46","2007-03-09",7.15
"47","2007-03-12",7.33
"48","2007-03-13",7.2
"49","2007-03-14",7.05
"50","2007-03-15",7.31
"51","2007-03-16",7.3
"52","2007-03-19",7.56
"53","2007-03-20",7.51
"54","2007-03-21",7.71
"55","2007-03-22",7.72
"56","2007-03-23",7.71
"57","2007-03-26",7.78
"58","2007-03-27",7.58
"59","2007-03-28",7.5
"60","2007-03-29",7.54
"61","2007-03-30",7.64
"62","2007-04-02",7.55
"63","2007-04-03",7.37
"64","2007-04-04",7.51
"65","2007-04-05",7.47
"66","2007-04-09",7.3
"67","2007-04-10",7.41
"68","2007-04-11",7.3
"69","2007-04-12",7.52
"70","2007-04-13",7.35
"71","2007-04-16",7.6
"72","2007-04-17",7.5
"73","2007-04-18",7.49
"74","2007-04-19",7.25
"75","2007-04-20",7.35
"76","2007-04-23",7.56
"77","2007-04-24",7.46
"78","2007-04-25",7.29
"79","2007-04-26",7.36
"80","2007-04-27",7.47
"81","2007-04-30",7.43
"82","2007-05-01",7.34
"83","2007-05-02",8.56
"84","2007-05-03",8.08
"85","2007-05-04",8
"86","2007-05-07",7.77
"87","2007-05-08",7.46
"88","2007-05-09",7.52
"89","2007-05-10",7.39
"90","2007-05-11",7.61
"91","2007-05-14",7.51
"92","2007-05-15",7.25
"93","2007-05-16",7.2
"94","2007-05-17",7.1
"95","2007-05-18",7.08
"96","2007-05-21",7.24
"97","2007-05-22",7.23
"98","2007-05-23",7.3
"99","2007-05-24",7.09
"100","2007-05-25",7.1
"101","2007-05-29",7.15
"102","2007-05-30",7.01
"103","2007-05-31",7.01
"104","2007-06-01",7.2
"105","2007-06-04",7.16
"106","2007-06-05",7.16
"107","2007-06-06",7.1
"108","2007-06-07",7.11
"109","2007-06-08",7.11
"110","2007-06-11",7.1
"111","2007-06-12",7.1
"112","2007-06-13",7.05
"113","2007-06-14",7.15
"114","2007-06-15",7.37
"115","2007-06-18",7.5
"116","2007-06-19",8.03
"117","2007-06-20",7.53
"118","2007-06-21",7.74
"119","2007-06-22",7.74
"120","2007-06-25",7.79
"121","2007-06-26",7.36
"122","2007-06-27",7.33
"123","2007-06-28",7.39
"124","2007-06-29",7.35
"125","2007-07-02",7.77
"126","2007-07-03",7.8
"127","2007-07-05",8.32
"128","2007-07-06",9.95
"129","2007-07-09",11.39
"130","2007-07-10",10.57
"131","2007-07-11",10.24
"132","2007-07-12",9.85
"133","2007-07-13",10.71
"134","2007-07-16",10.05
"135","2007-07-17",9.23
"136","2007-07-18",9.86
"137","2007-07-19",9.6
"138","2007-07-20",9.26
"139","2007-07-23",9.05
"140","2007-07-24",8.7
"141","2007-07-25",8.38
"142","2007-07-26",8.8
"143","2007-07-27",8.66
"144","2007-07-30",8.55
"145","2007-07-31",8.51
"146","2007-08-01",8.65
"147","2007-08-02",8.98
"148","2007-08-03",8.57
"149","2007-08-06",8.4
"150","2007-08-07",8.95
"151","2007-08-08",8.5
"152","2007-08-09",8.5
"153","2007-08-10",8.5
"154","2007-08-13",8.51
"155","2007-08-14",8.53
"156","2007-08-15",8.6
"157","2007-08-16",8.5
"158","2007-08-17",8.6
"159","2007-08-20",8.96
"160","2007-08-21",9.38
"161","2007-08-22",9.73
"162","2007-08-23",9.75
"163","2007-08-24",10
"164","2007-08-27",10.77
"165","2007-08-28",10.62
"166","2007-08-29",11.05
"167","2007-08-30",10.78
"168","2007-08-31",10.63
"169","2007-09-04",10.17
"170","2007-09-05",11.58
"171","2007-09-06",11.22
"172","2007-09-07",10.83
"173","2007-09-10",10.96
"174","2007-09-11",10.32
"175","2007-09-12",10.13
"176","2007-09-13",10.25
"177","2007-09-14",10.58
"178","2007-09-17",10.75
"179","2007-09-18",10.63
"180","2007-09-19",10.63
"181","2007-09-20",10.32
"182","2007-09-21",10.19
"183","2007-09-24",14.4
"184","2007-09-25",14.56
"185","2007-09-26",14.27
"186","2007-09-27",13.35
"187","2007-09-28",13.3
"188","2007-10-01",15.95
"189","2007-10-02",27.85
"190","2007-10-03",39.25
"191","2007-10-04",44.259998
"192","2007-10-05",39.75
"193","2007-10-08",35.349998
"194","2007-10-09",36.650002
"195","2007-10-10",42.5
"196","2007-10-11",39
"197","2007-10-12",39.75
"198","2007-10-15",38.84
"199","2007-10-16",37
"200","2007-10-17",35.740002
"201","2007-10-18",37.25
"202","2007-10-19",34.099998
"203","2007-10-22",34.720001
"204","2007-10-23",35.259998
"205","2007-10-24",32.970001
