"","date","VKTX"
"1","2015-04-28",8
"2","2015-04-29",8.96
"3","2015-04-30",8.8
"4","2015-05-01",9.1
"5","2015-05-04",9.49
"6","2015-05-05",9.5
"7","2015-05-06",9.7
"8","2015-05-07",9.15
"9","2015-05-08",9.39
"10","2015-05-11",9.39
"11","2015-05-12",9
"12","2015-05-13",8.97
"13","2015-05-14",9.37
"14","2015-05-15",9.42
"15","2015-05-18",9.08
"16","2015-05-19",8.96
"17","2015-05-20",9.01
"18","2015-05-21",9.13
"19","2015-05-22",9.06
"20","2015-05-26",8.48
"21","2015-05-27",8.37
"22","2015-05-28",8.22
"23","2015-05-29",8.23
"24","2015-06-01",7.58
"25","2015-06-02",7.83
"26","2015-06-03",7.87
"27","2015-06-04",7.94
"28","2015-06-05",7.89
"29","2015-06-08",8.02
"30","2015-06-09",7.81
"31","2015-06-10",7.8
"32","2015-06-11",7.86
"33","2015-06-12",7.67
"34","2015-06-15",7.68
"35","2015-06-16",7.28
"36","2015-06-17",7.36
"37","2015-06-18",7.52
"38","2015-06-19",6.73
"39","2015-06-22",7.25
"40","2015-06-23",7.42
"41","2015-06-24",7.25
"42","2015-06-25",7.09
"43","2015-06-26",7.08
"44","2015-06-29",7.06
"45","2015-06-30",7.14
"46","2015-07-01",6.93
"47","2015-07-02",7.13
"48","2015-07-06",7.08
"49","2015-07-07",6.88
"50","2015-07-08",7.14
"51","2015-07-09",7.05
"52","2015-07-10",6.95
"53","2015-07-13",6.95
"54","2015-07-14",7.05
"55","2015-07-15",7.28
"56","2015-07-16",6.95
"57","2015-07-17",7.07
"58","2015-07-20",6.64
"59","2015-07-21",6.76
"60","2015-07-22",6.46
"61","2015-07-23",6.02
"62","2015-07-24",6.57
"63","2015-07-27",6.4
"64","2015-07-28",6.32
"65","2015-07-29",6.47
"66","2015-07-30",6.42
"67","2015-07-31",6.09
"68","2015-08-03",6.535
"69","2015-08-04",5.9
"70","2015-08-05",6.1
"71","2015-08-06",5.89
"72","2015-08-07",6.45
"73","2015-08-10",6.14
"74","2015-08-11",6.45
"75","2015-08-12",6.2
"76","2015-08-13",7.31
"77","2015-08-14",7.27
"78","2015-08-17",7.73
"79","2015-08-18",7.32
"80","2015-08-19",7.14
"81","2015-08-20",6.99
"82","2015-08-21",6.17
"83","2015-08-24",6.5
"84","2015-08-25",6.79
"85","2015-08-26",6.1
"86","2015-08-27",6.14
"87","2015-08-28",6.29
"88","2015-08-31",6.15
"89","2015-09-01",6.26
"90","2015-09-02",6.06
"91","2015-09-03",6.51
"92","2015-09-04",6.3
"93","2015-09-08",6.45
"94","2015-09-09",6.11
"95","2015-09-10",5.99
"96","2015-09-11",6.25
"97","2015-09-14",6.25
"98","2015-09-15",5.9
"99","2015-09-16",5.83
"100","2015-09-17",5.95
"101","2015-09-18",5.78
"102","2015-09-21",5.53
"103","2015-09-22",5.61
"104","2015-09-23",5.54
"105","2015-09-24",5.57
"106","2015-09-25",5.89
"107","2015-09-28",5.5
"108","2015-09-29",5.78
"109","2015-09-30",5.86
"110","2015-10-01",5.641
"111","2015-10-02",5.56
"112","2015-10-05",5.29
"113","2015-10-06",5.67
"114","2015-10-07",5.31
"115","2015-10-08",6.8
"116","2015-10-09",6.5
"117","2015-10-12",6.87
"118","2015-10-13",6.76
"119","2015-10-14",6.9
"120","2015-10-15",6.4
"121","2015-10-16",6
"122","2015-10-19",6.21
"123","2015-10-20",6.4
"124","2015-10-21",6.23
"125","2015-10-22",6
"126","2015-10-23",6.2
"127","2015-10-26",6.26
"128","2015-10-27",6.33
"129","2015-10-28",5.7
"130","2015-10-29",5.87
"131","2015-10-30",5.64
"132","2015-11-02",5.45
"133","2015-11-03",5.2
"134","2015-11-04",5.65
"135","2015-11-05",5.015
"136","2015-11-06",5.09
"137","2015-11-09",5.21
"138","2015-11-10",4.73
"139","2015-11-11",4.74
"140","2015-11-12",4.71
"141","2015-11-13",4.82
"142","2015-11-16",5
"143","2015-11-17",5
"144","2015-11-18",4.76
"145","2015-11-19",4.65
"146","2015-11-20",4.44
"147","2015-11-23",4.39
"148","2015-11-24",3.398
"149","2015-11-25",3.3
"150","2015-11-27",3.3
"151","2015-11-30",3.2
"152","2015-12-01",3.157
"153","2015-12-02",3.06
"154","2015-12-03",3.06
"155","2015-12-04",2.89
"156","2015-12-07",2.89
"157","2015-12-08",2.88
"158","2015-12-09",2.71
"159","2015-12-10",2.56
"160","2015-12-11",2.52
"161","2015-12-14",2.4
"162","2015-12-15",2.295
"163","2015-12-16",2.13
"164","2015-12-17",2.09
"165","2015-12-18",2.02
"166","2015-12-21",2.09
"167","2015-12-22",2.27
"168","2015-12-23",2.27
"169","2015-12-24",2.18
"170","2015-12-28",4.35
"171","2015-12-29",3.8
"172","2015-12-30",3.62
"173","2015-12-31",3.41
"174","2016-01-04",3.33
"175","2016-01-05",3.39
"176","2016-01-06",3.22
"177","2016-01-07",3.01
"178","2016-01-08",2.93
"179","2016-01-11",2.88
"180","2016-01-12",2.58
"181","2016-01-13",2.63
"182","2016-01-14",2.59
"183","2016-01-15",2.39
"184","2016-01-19",2.54
"185","2016-01-20",2.11
"186","2016-01-21",2.07
"187","2016-01-22",2.18
"188","2016-01-25",2.12
"189","2016-01-26",2.08
"190","2016-01-27",2.04
"191","2016-01-28",2.14
"192","2016-01-29",2.08
"193","2016-02-01",1.91
"194","2016-02-02",1.75
"195","2016-02-03",1.78
"196","2016-02-04",1.86
"197","2016-02-05",1.72
"198","2016-02-08",1.81
"199","2016-02-09",1.65
"200","2016-02-10",1.6
"201","2016-02-11",1.59
"202","2016-02-12",1.66
"203","2016-02-16",1.66
"204","2016-02-17",1.72
"205","2016-02-18",1.82
"206","2016-02-19",1.85
"207","2016-02-22",1.92
"208","2016-02-23",1.72
"209","2016-02-24",1.74
"210","2016-02-25",1.68
"211","2016-02-26",1.79
"212","2016-02-29",1.81
"213","2016-03-01",1.86
"214","2016-03-02",1.88
"215","2016-03-03",2
"216","2016-03-04",2.15
"217","2016-03-07",2.15
"218","2016-03-08",2.15
"219","2016-03-09",1.92
"220","2016-03-10",1.98
"221","2016-03-11",1.86
"222","2016-03-14",1.88
"223","2016-03-15",1.8
"224","2016-03-16",1.79
"225","2016-03-17",1.78
"226","2016-03-18",1.69
"227","2016-03-21",1.61
"228","2016-03-22",1.65
"229","2016-03-23",1.71
"230","2016-03-24",1.63
"231","2016-03-28",1.47
"232","2016-03-29",1.42
"233","2016-03-30",1.48
"234","2016-03-31",1.42
"235","2016-04-01",1.46
"236","2016-04-04",1.49
"237","2016-04-05",1.36
"238","2016-04-06",1.43
"239","2016-04-07",1.93
"240","2016-04-08",1.21
"241","2016-04-11",1.34
"242","2016-04-12",1.35
"243","2016-04-13",1.25
"244","2016-04-14",1.23
"245","2016-04-15",1.24
"246","2016-04-18",1.22
"247","2016-04-19",1.21
"248","2016-04-20",1.32
"249","2016-04-21",1.36
"250","2016-04-22",1.47
"251","2016-04-25",1.7
"252","2016-04-26",1.58
"253","2016-04-27",1.49
"254","2016-04-28",1.43
"255","2016-04-29",1.45
"256","2016-05-02",1.31
"257","2016-05-03",1.34
"258","2016-05-04",1.31
"259","2016-05-05",1.25
"260","2016-05-06",1.24
"261","2016-05-09",1.18
"262","2016-05-10",1.27
"263","2016-05-11",1.25
"264","2016-05-12",1.22
"265","2016-05-13",1.18
"266","2016-05-16",1.2
"267","2016-05-17",1.18
"268","2016-05-18",1.2
"269","2016-05-19",1.19
"270","2016-05-20",1.28
"271","2016-05-23",1.32
"272","2016-05-24",1.26
"273","2016-05-25",1.28
"274","2016-05-26",1.28
"275","2016-05-27",1.3
"276","2016-05-31",1.38
"277","2016-06-01",1.6
"278","2016-06-02",1.47
"279","2016-06-03",1.45
"280","2016-06-06",1.34
"281","2016-06-07",1.29
"282","2016-06-08",1.28
"283","2016-06-09",1.22
"284","2016-06-10",1.32
"285","2016-06-13",1.25
"286","2016-06-14",1.23
"287","2016-06-15",1.23
"288","2016-06-16",1.32
"289","2016-06-17",1.33
"290","2016-06-20",1.33
"291","2016-06-21",1.25
"292","2016-06-22",1.23
"293","2016-06-23",1.23
"294","2016-06-24",1.24
"295","2016-06-27",1.18
"296","2016-06-28",1.18
"297","2016-06-29",1.2
"298","2016-06-30",1.26
"299","2016-07-01",1.29
"300","2016-07-05",1.3
"301","2016-07-06",1.29
"302","2016-07-07",1.26
"303","2016-07-08",1.23
"304","2016-07-11",1.27
"305","2016-07-12",1.3
"306","2016-07-13",1.29
"307","2016-07-14",1.32
"308","2016-07-15",1.33
"309","2016-07-18",1.292
"310","2016-07-19",1.285
"311","2016-07-20",1.31
"312","2016-07-21",1.31
"313","2016-07-22",1.3
"314","2016-07-25",1.28
"315","2016-07-26",1.36
"316","2016-07-27",1.42
"317","2016-07-28",1.46
"318","2016-07-29",1.4
"319","2016-08-01",1.47
"320","2016-08-02",1.4
"321","2016-08-03",1.45
"322","2016-08-04",1.413
"323","2016-08-05",1.4
"324","2016-08-08",1.36
"325","2016-08-09",1.32
"326","2016-08-10",1.27
"327","2016-08-11",1.273
"328","2016-08-12",1.31
"329","2016-08-15",1.27
"330","2016-08-16",1.27
"331","2016-08-17",1.27
"332","2016-08-18",1.29
"333","2016-08-19",1.26
"334","2016-08-22",1.3
"335","2016-08-23",1.28
"336","2016-08-24",1.31
"337","2016-08-25",1.31
"338","2016-08-26",1.39
"339","2016-08-29",1.38
"340","2016-08-30",1.33
"341","2016-08-31",1.34
"342","2016-09-01",1.3
"343","2016-09-02",1.35
"344","2016-09-06",1.32
"345","2016-09-07",1.3
"346","2016-09-08",1.39
"347","2016-09-09",1.35
"348","2016-09-12",1.31
"349","2016-09-13",1.31
"350","2016-09-14",1.32
"351","2016-09-15",1.29
"352","2016-09-16",1.28
"353","2016-09-19",1.28
"354","2016-09-20",1.3
"355","2016-09-21",1.29
"356","2016-09-22",1.26
"357","2016-09-23",1.29
"358","2016-09-26",1.32
"359","2016-09-27",1.351
"360","2016-09-28",1.35
"361","2016-09-29",1.36
"362","2016-09-30",1.401
"363","2016-10-03",1.43
"364","2016-10-04",1.378
"365","2016-10-05",1.43
"366","2016-10-06",1.37
"367","2016-10-07",1.3
"368","2016-10-10",1.29
"369","2016-10-11",1.28
"370","2016-10-12",1.2
"371","2016-10-13",1.16
"372","2016-10-14",1.1
"373","2016-10-17",1.11
"374","2016-10-18",1.15
"375","2016-10-19",1.15
"376","2016-10-20",1.15
"377","2016-10-21",1.11
"378","2016-10-24",1.06
"379","2016-10-25",1
"380","2016-10-26",1.05
"381","2016-10-27",1.09
"382","2016-10-28",1.09
"383","2016-10-31",1.07
"384","2016-11-01",1.06
"385","2016-11-02",1.05
"386","2016-11-03",0.954
"387","2016-11-04",0.98
"388","2016-11-07",1
"389","2016-11-08",0.98
"390","2016-11-09",1
"391","2016-11-10",1.16
"392","2016-11-11",1.1
"393","2016-11-14",1.16
"394","2016-11-15",1.18
"395","2016-11-16",1.17
"396","2016-11-17",1.17
"397","2016-11-18",1.15
"398","2016-11-21",1.16
"399","2016-11-22",1.15
"400","2016-11-23",1.18
"401","2016-11-25",1.14
"402","2016-11-28",1.16
"403","2016-11-29",1.12
"404","2016-11-30",1.08
"405","2016-12-01",1.02
"406","2016-12-02",1.03
"407","2016-12-05",1.1
"408","2016-12-06",1.21
"409","2016-12-07",1.15
"410","2016-12-08",1.11
"411","2016-12-09",1.12
"412","2016-12-12",1.1
"413","2016-12-13",1.09
"414","2016-12-14",1.07
"415","2016-12-15",1.02
"416","2016-12-16",1.08
"417","2016-12-19",1.09
"418","2016-12-20",1.14
"419","2016-12-21",1.049
"420","2016-12-22",1.03
"421","2016-12-23",1.06
"422","2016-12-27",1.12
"423","2016-12-28",1.08
"424","2016-12-29",1.09
"425","2016-12-30",1.19
"426","2017-01-03",1.19
"427","2017-01-04",1.26
"428","2017-01-05",1.23
"429","2017-01-06",1.26
"430","2017-01-09",1.69
"431","2017-01-10",1.56
"432","2017-01-11",1.465
"433","2017-01-12",1.42
"434","2017-01-13",1.37
"435","2017-01-17",1.37
"436","2017-01-18",1.35
"437","2017-01-19",1.335
"438","2017-01-20",1.34
"439","2017-01-23",1.39
"440","2017-01-24",1.44
