"","date","STE"
"1","2007-01-03",25.639999
"2","2007-01-04",25.540001
"3","2007-01-05",24.99
"4","2007-01-08",24.879999
"5","2007-01-09",24.950001
"6","2007-01-10",24.84
"7","2007-01-11",25.370001
"8","2007-01-12",25.5
"9","2007-01-16",25.35
"10","2007-01-17",25.4
"11","2007-01-18",25.52
"12","2007-01-19",25.629999
"13","2007-01-22",25.32
"14","2007-01-23",25.35
"15","2007-01-24",25.68
"16","2007-01-25",25.209999
"17","2007-01-26",25.299999
"18","2007-01-29",25.629999
"19","2007-01-30",25.709999
"20","2007-01-31",25.84
"21","2007-02-01",26.02
"22","2007-02-02",26.299999
"23","2007-02-05",26.120001
"24","2007-02-06",26.27
"25","2007-02-07",26.4
"26","2007-02-08",26.48
"27","2007-02-09",26.26
"28","2007-02-12",26.48
"29","2007-02-13",26.77
"30","2007-02-14",26.809999
"31","2007-02-15",26.889999
"32","2007-02-16",27.02
"33","2007-02-20",27.120001
"34","2007-02-21",26.85
"35","2007-02-22",27.15
"36","2007-02-23",27.200001
"37","2007-02-26",27.120001
"38","2007-02-27",26.08
"39","2007-02-28",25.879999
"40","2007-03-01",25.870001
"41","2007-03-02",25.34
"42","2007-03-05",24.65
"43","2007-03-06",25.01
"44","2007-03-07",25.24
"45","2007-03-08",25.32
"46","2007-03-09",25.549999
"47","2007-03-12",25.540001
"48","2007-03-13",25.040001
"49","2007-03-14",25.370001
"50","2007-03-15",25.65
"51","2007-03-16",25.700001
"52","2007-03-19",25.9
"53","2007-03-20",26.07
"54","2007-03-21",26.5
"55","2007-03-22",26.68
"56","2007-03-23",26.629999
"57","2007-03-26",26.790001
"58","2007-03-27",26.610001
"59","2007-03-28",26.370001
"60","2007-03-29",26.49
"61","2007-03-30",26.559999
"62","2007-04-02",26.77
"63","2007-04-03",27.17
"64","2007-04-04",27.290001
"65","2007-04-05",27.290001
"66","2007-04-09",27.07
"67","2007-04-10",27.27
"68","2007-04-11",26.65
"69","2007-04-12",26.780001
"70","2007-04-13",26.790001
"71","2007-04-16",27.219999
"72","2007-04-17",27.1
"73","2007-04-18",26.48
"74","2007-04-19",26.49
"75","2007-04-20",26.59
"76","2007-04-23",26.52
"77","2007-04-24",26.549999
"78","2007-04-25",26.73
"79","2007-04-26",26.68
"80","2007-04-27",26.48
"81","2007-04-30",25.559999
"82","2007-05-01",25.75
"83","2007-05-02",26.43
"84","2007-05-03",26.23
"85","2007-05-04",26.450001
"86","2007-05-07",26.809999
"87","2007-05-08",26.9
"88","2007-05-09",27.58
"89","2007-05-10",27.610001
"90","2007-05-11",27.860001
"91","2007-05-14",27.469999
"92","2007-05-15",27.43
"93","2007-05-16",27.780001
"94","2007-05-17",27.59
"95","2007-05-18",27.99
"96","2007-05-21",28.42
"97","2007-05-22",28.85
"98","2007-05-23",28.959999
"99","2007-05-24",29
"100","2007-05-25",29.01
"101","2007-05-29",29.85
"102","2007-05-30",29.969999
"103","2007-05-31",30.07
"104","2007-06-01",30.280001
"105","2007-06-04",30.1
"106","2007-06-05",29.67
"107","2007-06-06",29.73
"108","2007-06-07",29.35
"109","2007-06-08",29.690001
"110","2007-06-11",29.5
"111","2007-06-12",29.42
"112","2007-06-13",29.879999
"113","2007-06-14",29.959999
"114","2007-06-15",30.290001
"115","2007-06-18",30.440001
"116","2007-06-19",30.74
"117","2007-06-20",30.709999
"118","2007-06-21",30.700001
"119","2007-06-22",30.52
"120","2007-06-25",30.209999
"121","2007-06-26",30.370001
"122","2007-06-27",31.209999
"123","2007-06-28",31.17
"124","2007-06-29",30.6
"125","2007-07-02",30.98
