"","date","NEXT"
"1","2015-06-16",9.97
"2","2015-06-17",9.97
"3","2015-06-18",9.97
"4","2015-06-19",9.97
"5","2015-06-22",9.97
"6","2015-06-23",9.97
"7","2015-06-24",9.97
"8","2015-06-25",9.85
"9","2015-06-26",9.85
"10","2015-06-29",9.85
"11","2015-06-30",9.85
"12","2015-07-01",9.85
"13","2015-07-02",9.85
"14","2015-07-06",9.85
"15","2015-07-07",9.85
"16","2015-07-08",9.85
"17","2015-07-09",9.85
"18","2015-07-10",9.96
"19","2015-07-13",9.91
"20","2015-07-14",9.91
"21","2015-07-15",9.95
"22","2015-07-16",9.95
"23","2015-07-17",5.5426
"24","2015-07-20",9.9
"25","2015-07-21",9.9
"26","2015-07-22",9.9
"27","2015-07-23",9.9
"28","2015-07-24",9.9
"29","2015-07-27",9.9
"30","2015-07-28",9.9
"31","2015-07-29",9.9
"32","2015-07-30",9.9
"33","2015-07-31",9.9
"34","2015-08-03",9.9
"35","2015-08-04",9.9
"36","2015-08-05",9.9
"37","2015-08-06",9.9
"38","2015-08-07",9.9
"39","2015-08-10",9.9
"40","2015-08-11",9.9
"41","2015-08-12",9.9
"42","2015-08-13",9.9
"43","2015-08-14",9.9
"44","2015-08-17",9.9
"45","2015-08-18",9.9
"46","2015-08-19",9.9
"47","2015-08-20",9.9
"48","2015-08-21",9.9
"49","2015-08-24",9.9
"50","2015-08-25",9.9
"51","2015-08-26",9.9
"52","2015-08-27",9.9
"53","2015-08-28",9.9
"54","2015-08-31",9.9
"55","2015-09-01",9.9
"56","2015-09-02",9.9
"57","2015-09-03",9.9
"58","2015-09-04",9.9
"59","2015-09-08",9.9
"60","2015-09-09",9.9
"61","2015-09-10",9.9
"62","2015-09-11",9.9
"63","2015-09-14",9.9
"64","2015-09-15",9.9
"65","2015-09-16",9.9
"66","2015-09-17",9.9
"67","2015-09-18",9.9
"68","2015-09-21",9.9
"69","2015-09-22",9.9
"70","2015-09-23",9.9
"71","2015-09-24",9.9
"72","2015-09-25",9.9
"73","2015-09-28",9.9
"74","2015-09-29",9.9
"75","2015-09-30",9.9
