"","date","WTRH"
"1","2016-08-18",9.7
"2","2016-08-19",9.7
"3","2016-08-22",9.7
"4","2016-08-23",9.7
"5","2016-08-24",9.7
"6","2016-08-25",9.7
"7","2016-08-26",9.7
"8","2016-08-29",9.7
"9","2016-08-30",9.7
"10","2016-08-31",9.7
"11","2016-09-01",9.7
"12","2016-09-02",9.7
"13","2016-09-06",9.7
"14","2016-09-07",9.7
"15","2016-09-08",9.7
"16","2016-09-09",9.7
"17","2016-09-12",9.7
"18","2016-09-13",9.739
"19","2016-09-14",9.739
"20","2016-09-15",9.75
"21","2016-09-16",9.75
"22","2016-09-19",9.75
"23","2016-09-20",9.77
"24","2016-09-21",9.77
"25","2016-09-22",9.77
"26","2016-09-23",9.75
"27","2016-09-26",9.849
"28","2016-09-27",9.849
"29","2016-09-28",9.65
"30","2016-09-29",9.65
"31","2016-09-30",9.77
"32","2016-10-03",9.77
"33","2016-10-04",9.77
"34","2016-10-05",9.8
"35","2016-10-06",9.8
"36","2016-10-07",9.8
"37","2016-10-10",9.8
"38","2016-10-11",9.75
"39","2016-10-12",9.75
"40","2016-10-13",9.75
"41","2016-10-14",9.75
"42","2016-10-17",9.75
"43","2016-10-18",9.82
"44","2016-10-19",9.82
"45","2016-10-20",9.82
"46","2016-10-21",9.82
"47","2016-10-24",9.82
"48","2016-10-25",9.75
"49","2016-10-26",9.75
"50","2016-10-27",9.75
"51","2016-10-28",9.75
"52","2016-10-31",9.75
"53","2016-11-01",9.75
"54","2016-11-02",9.75
"55","2016-11-03",9.8
"56","2016-11-04",9.8
"57","2016-11-07",9.8
"58","2016-11-08",9.8
"59","2016-11-09",9.8
"60","2016-11-10",9.8
"61","2016-11-11",9.8
"62","2016-11-14",9.8
"63","2016-11-15",9.8
"64","2016-11-16",9.8
"65","2016-11-17",9.8
"66","2016-11-18",9.8
"67","2016-11-21",9.8
"68","2016-11-22",9.8
"69","2016-11-23",9.8
"70","2016-11-25",9.8
"71","2016-11-28",9.8
"72","2016-11-29",9.8
"73","2016-11-30",9.8
"74","2016-12-01",9.8
"75","2016-12-02",9.8
"76","2016-12-05",9.8
"77","2016-12-06",9.8
"78","2016-12-07",9.8
"79","2016-12-08",9.8
"80","2016-12-09",9.8
"81","2016-12-12",9.8
"82","2016-12-13",9.8
"83","2016-12-14",9.8
"84","2016-12-15",9.8
"85","2016-12-16",9.8
"86","2016-12-19",9.8
"87","2016-12-20",9.8
"88","2016-12-21",9.8
"89","2016-12-22",9.73
"90","2016-12-23",9.73
"91","2016-12-27",9.73
"92","2016-12-28",9.78
"93","2016-12-29",9.78
"94","2016-12-30",9.78
"95","2017-01-03",9.78
"96","2017-01-04",9.84
"97","2017-01-05",9.84
