"","date","HYAC"
"1","2019-07-23",9.9
"2","2019-07-24",9.94
"3","2019-07-25",9.894
"4","2019-07-26",9.894
"5","2019-07-29",9.894
"6","2019-07-30",9.939
"7","2019-07-31",9.939
"8","2019-08-01",9.939
"9","2019-08-02",9.939
"10","2019-08-05",9.939
"11","2019-08-06",9.85
"12","2019-08-07",9.85
"13","2019-08-08",9.85
"14","2019-08-09",9.85
"15","2019-08-12",9.95
"16","2019-08-13",9.95
"17","2019-08-14",9.95
"18","2019-08-15",9.95
"19","2019-08-16",9.95
"20","2019-08-19",9.95
"21","2019-08-20",9.95
"22","2019-08-21",9.94
"23","2019-08-22",9.94
"24","2019-08-23",9.94
"25","2019-08-26",9.94
"26","2019-08-27",9.94
"27","2019-08-28",9.94
"28","2019-08-29",9.94
"29","2019-08-30",9.94
"30","2019-09-03",9.83
"31","2019-09-04",9.83
"32","2019-09-05",9.93
"33","2019-09-06",9.93
"34","2019-09-09",9.93
"35","2019-09-10",9.9
"36","2019-09-11",16.66
"37","2019-09-12",16.58
"38","2019-09-13",16.879999
"39","2019-09-16",16.309999
"40","2019-09-17",16.139999
"41","2019-09-18",16.219999
"42","2019-09-19",16.15
"43","2019-09-20",16.209999
"44","2019-09-23",16.43
"45","2019-09-24",16.09
"46","2019-09-25",16.200001
"47","2019-09-26",15.83
"48","2019-09-27",9.91
"49","2019-09-30",9.9
"50","2019-10-01",9.9
"51","2019-10-02",9.9
"52","2019-10-03",9.91
"53","2019-10-04",9.91
"54","2019-10-07",9.91
"55","2019-10-08",9.93
"56","2019-10-09",9.93
"57","2019-10-10",9.9
"58","2019-10-11",9.9
"59","2019-10-14",9.85
"60","2019-10-15",9.85
"61","2019-10-16",9.85
"62","2019-10-17",9.85
"63","2019-10-18",9.85
"64","2019-10-21",9.85
"65","2019-10-22",9.9
"66","2019-10-23",9.89
"67","2019-10-24",9.89
"68","2019-10-25",9.86
"69","2019-10-28",9.885
"70","2019-10-29",9.89
"71","2019-10-30",9.89
"72","2019-10-31",9.89
"73","2019-11-01",9.9
"74","2019-11-04",9.92
"75","2019-11-05",9.92
"76","2019-11-06",9.899
"77","2019-11-07",9.92
"78","2019-11-08",9.92
"79","2019-11-11",9.92
"80","2019-11-12",9.95
"81","2019-11-13",9.944
"82","2019-11-14",9.95
"83","2019-11-15",9.95
"84","2019-11-18",9.95
"85","2019-11-19",9.945
"86","2019-11-20",9.96
"87","2019-11-21",9.96
"88","2019-11-22",9.96
"89","2019-11-25",9.96
"90","2019-11-26",9.955
"91","2019-11-27",9.95
"92","2019-11-29",9.98
"93","2019-12-02",9.98
"94","2019-12-03",9.98
"95","2019-12-04",9.967
"96","2019-12-05",9.967
"97","2019-12-06",9.967
"98","2019-12-09",9.98
"99","2019-12-10",9.965
"100","2019-12-11",9.965
"101","2019-12-12",10.02
"102","2019-12-13",10.02
"103","2019-12-16",10
"104","2019-12-17",10
"105","2019-12-18",10
"106","2019-12-19",10
"107","2019-12-20",10
"108","2019-12-23",10
"109","2019-12-24",10
"110","2019-12-26",10.03
"111","2019-12-27",10.03
"112","2019-12-30",10.04
"113","2019-12-31",10.051
"114","2020-01-02",10.051
"115","2020-01-03",10.03
"116","2020-01-06",10.05
"117","2020-01-07",10.08
"118","2020-01-08",10.08
"119","2020-01-09",10.11
"120","2020-01-10",10.13
"121","2020-01-13",10.15
"122","2020-01-14",10.2
"123","2020-01-15",10.2
"124","2020-01-16",10.25
"125","2020-01-17",10.19
"126","2020-01-21",10.19
"127","2020-01-22",10.2
"128","2020-01-23",10.2
"129","2020-01-24",10.15
"130","2020-01-27",10.18
"131","2020-01-28",10.19
"132","2020-01-29",10.15
"133","2020-01-30",10.18
"134","2020-01-31",10.18
"135","2020-02-03",10.18
"136","2020-02-04",10.19
"137","2020-02-05",10.2
"138","2020-02-06",10.2
"139","2020-02-07",10.2
"140","2020-02-10",10.2
"141","2020-02-11",10.18
"142","2020-02-12",10.21
"143","2020-02-13",10.24
"144","2020-02-14",10.22
"145","2020-02-18",10.23
"146","2020-02-19",10.25
"147","2020-02-20",10.29
"148","2020-02-21",10.32
"149","2020-02-24",10.32
"150","2020-02-25",10.32
"151","2020-02-26",10.25
"152","2020-02-27",10.28
"153","2020-02-28",10.32
"154","2020-03-02",10.33
"155","2020-03-03",10.21
"156","2020-03-04",10.26
"157","2020-03-05",10.26
"158","2020-03-06",10.31
"159","2020-03-09",10.2
"160","2020-03-10",10.19
"161","2020-03-11",10.19
"162","2020-03-12",10.19
"163","2020-03-13",9.9
"164","2020-03-16",9.62
"165","2020-03-17",9.62
"166","2020-03-18",9.36
"167","2020-03-19",9.4
"168","2020-03-20",9.57
"169","2020-03-23",9.57
"170","2020-03-24",9.49
"171","2020-03-25",9.62
"172","2020-03-26",9.799
"173","2020-03-27",9.9
"174","2020-03-30",9.87
"175","2020-03-31",9.79
"176","2020-04-01",9.75
"177","2020-04-02",10
"178","2020-04-03",9.83
"179","2020-04-06",9.9
"180","2020-04-07",9.85
"181","2020-04-08",9.85
"182","2020-04-09",9.87
"183","2020-04-13",9.94
"184","2020-04-14",9.992
"185","2020-04-15",9.992
"186","2020-04-16",9.992
"187","2020-04-17",9.93
"188","2020-04-20",10
"189","2020-04-21",10
"190","2020-04-22",10
"191","2020-04-23",10
"192","2020-04-24",10
"193","2020-04-27",9.95
"194","2020-04-28",9.95
"195","2020-04-29",9.93
"196","2020-04-30",9.9
"197","2020-05-01",9.95
"198","2020-05-04",9.9
"199","2020-05-05",9.925
"200","2020-05-06",9.9
"201","2020-05-07",9.9
"202","2020-05-08",9.92
"203","2020-05-11",9.92
"204","2020-05-12",9.92
"205","2020-05-13",9.9
"206","2020-05-14",10.05
"207","2020-05-15",10.05
"208","2020-05-18",10.05
"209","2020-05-19",10.05
"210","2020-05-20",10.05
"211","2020-05-21",10.14
"212","2020-05-22",10.28
"213","2020-05-26",10.1
"214","2020-05-27",9.96
"215","2020-05-28",10.05
"216","2020-05-29",9.96
"217","2020-06-01",9.96
"218","2020-06-02",10.03
"219","2020-06-03",10.03
"220","2020-06-04",10.08
"221","2020-06-05",10.08
"222","2020-06-08",10
"223","2020-06-09",10.05
"224","2020-06-10",10.1
"225","2020-06-11",10.05
"226","2020-06-12",10.14
"227","2020-06-15",10.08
"228","2020-06-16",10.15
"229","2020-06-17",10.15
"230","2020-06-18",10.15
"231","2020-06-19",10.15
"232","2020-06-22",10.18
"233","2020-06-23",10.15
"234","2020-06-24",10.07
"235","2020-06-25",10.18
"236","2020-06-26",10.17
"237","2020-06-29",10.38
"238","2020-06-30",10.35
"239","2020-07-01",10.35
"240","2020-07-02",10.3
"241","2020-07-06",10.29
"242","2020-07-07",10.25
"243","2020-07-08",10.35
"244","2020-07-09",10.45
"245","2020-07-10",10.56
"246","2020-07-13",10.45
"247","2020-07-14",10.35
"248","2020-07-15",10.39
"249","2020-07-16",10.34
"250","2020-07-17",10.33
"251","2020-07-20",10.35
"252","2020-07-21",10.36
"253","2020-07-22",10.3
"254","2020-07-23",10.5
"255","2020-07-24",10.43
"256","2020-07-27",10.36
"257","2020-07-28",10.38
"258","2020-07-29",10.4
"259","2020-07-30",10.34
"260","2020-07-31",10.2
"261","2020-08-03",10.22
"262","2020-08-04",10.21
"263","2020-08-05",10.17
"264","2020-08-06",10.17
"265","2020-08-07",10.16
"266","2020-08-10",10.16
"267","2020-08-11",10.165
"268","2020-08-12",10.15
"269","2020-08-13",10.16
"270","2020-08-14",10.15
"271","2020-08-17",10.12
"272","2020-08-18",10.07
"273","2020-08-19",10.08
"274","2020-08-20",10.08
"275","2020-08-21",10.05
"276","2020-08-24",10.09
"277","2020-08-25",10.07
"278","2020-08-26",10.12
"279","2020-08-27",10.1
"280","2020-08-28",10.13
"281","2020-08-31",10.1
"282","2020-09-01",10.05
"283","2020-09-02",10.1
"284","2020-09-03",10.1
"285","2020-09-04",10.08
"286","2020-09-08",10.115
"287","2020-09-09",10.07
"288","2020-09-10",10.06
"289","2020-09-11",10.06
