"","date","FRPT"
"1","2014-11-07",19.110001
"2","2014-11-10",18.42
"3","2014-11-11",18.51
"4","2014-11-12",18.299999
"5","2014-11-13",18.209999
"6","2014-11-14",18.84
"7","2014-11-17",19.200001
"8","2014-11-18",19.450001
"9","2014-11-19",18.700001
"10","2014-11-20",17.59
"11","2014-11-21",17.200001
"12","2014-11-24",17.66
"13","2014-11-25",17.799999
"14","2014-11-26",17.09
"15","2014-11-28",16.709999
"16","2014-12-01",16.73
"17","2014-12-02",17.23
"18","2014-12-03",17.18
"19","2014-12-04",17
"20","2014-12-05",16.879999
"21","2014-12-08",17.370001
"22","2014-12-09",17.48
"23","2014-12-10",18.52
"24","2014-12-11",18.02
"25","2014-12-12",17.139999
"26","2014-12-15",16.93
"27","2014-12-16",16.950001
"28","2014-12-17",16.450001
"29","2014-12-18",16.219999
"30","2014-12-19",15.01
"31","2014-12-22",14.37
"32","2014-12-23",14.23
"33","2014-12-24",15.3
"34","2014-12-26",15.29
"35","2014-12-29",15.99
"36","2014-12-30",17.370001
"37","2014-12-31",17.059999
"38","2015-01-02",16.5
"39","2015-01-05",15.28
"40","2015-01-06",14.86
"41","2015-01-07",15.69
"42","2015-01-08",16.6
"43","2015-01-09",16.959999
"44","2015-01-12",16.959999
"45","2015-01-13",16.16
"46","2015-01-14",15.78
"47","2015-01-15",14.91
"48","2015-01-16",14.32
"49","2015-01-20",14.22
"50","2015-01-21",13.58
"51","2015-01-22",13.55
"52","2015-01-23",13.47
"53","2015-01-26",13.76
"54","2015-01-27",13.89
"55","2015-01-28",14.56
"56","2015-01-29",15.03
"57","2015-01-30",15.29
"58","2015-02-02",15.2
"59","2015-02-03",15.46
"60","2015-02-04",15.85
"61","2015-02-05",16.299999
"62","2015-02-06",16.690001
"63","2015-02-09",16.790001
"64","2015-02-10",16.77
"65","2015-02-11",16.889999
"66","2015-02-12",16.9
"67","2015-02-13",16.780001
"68","2015-02-17",16.42
"69","2015-02-18",16.43
"70","2015-02-19",16.120001
"71","2015-02-20",16.15
"72","2015-02-23",17.08
"73","2015-02-24",17.530001
"74","2015-02-25",17.860001
"75","2015-02-26",18.75
"76","2015-02-27",18.43
"77","2015-03-02",18.08
"78","2015-03-03",17.59
"79","2015-03-04",17.360001
"80","2015-03-05",17.48
"81","2015-03-06",17.85
"82","2015-03-09",18.75
"83","2015-03-10",17.52
"84","2015-03-11",17.440001
"85","2015-03-12",17.309999
"86","2015-03-13",17
"87","2015-03-16",17.98
"88","2015-03-17",18.66
"89","2015-03-18",18.75
"90","2015-03-19",18.469999
"91","2015-03-20",18.309999
"92","2015-03-23",18.870001
"93","2015-03-24",18.719999
"94","2015-03-25",18.690001
"95","2015-03-26",18.91
"96","2015-03-27",19.309999
"97","2015-03-30",20.049999
"98","2015-03-31",19.43
"99","2015-04-01",20.299999
"100","2015-04-02",21.860001
"101","2015-04-06",22.01
"102","2015-04-07",22.450001
"103","2015-04-08",24.24
"104","2015-04-09",25.459999
"105","2015-04-10",24.09
"106","2015-04-13",24.139999
"107","2015-04-14",23.68
"108","2015-04-15",24.040001
"109","2015-04-16",23.879999
"110","2015-04-17",23.950001
"111","2015-04-20",22.889999
"112","2015-04-21",23.389999
"113","2015-04-22",22.790001
"114","2015-04-23",22.709999
"115","2015-04-24",22.860001
"116","2015-04-27",23.27
"117","2015-04-28",22.879999
"118","2015-04-29",21.469999
"119","2015-04-30",21.68
"120","2015-05-01",22.77
"121","2015-05-04",23.75
"122","2015-05-05",22.629999
"123","2015-05-06",21.77
"124","2015-05-07",21.290001
"125","2015-05-08",19.870001
"126","2015-05-11",20.209999
"127","2015-05-12",20.01
"128","2015-05-13",19.58
"129","2015-05-14",19.66
"130","2015-05-15",19.18
"131","2015-05-18",19.219999
"132","2015-05-19",20.24
"133","2015-05-20",20.219999
"134","2015-05-21",19.809999
"135","2015-05-22",19.799999
"136","2015-05-26",19.049999
"137","2015-05-27",19.709999
"138","2015-05-28",19.790001
"139","2015-05-29",19.84
"140","2015-06-01",19.379999
"141","2015-06-02",18.75
"142","2015-06-03",18.76
"143","2015-06-04",18
"144","2015-06-05",18.469999
"145","2015-06-08",18.52
"146","2015-06-09",18.34
"147","2015-06-10",18.4
"148","2015-06-11",17.719999
"149","2015-06-12",17.809999
"150","2015-06-15",18.950001
"151","2015-06-16",19.049999
"152","2015-06-17",19.360001
"153","2015-06-18",20.26
"154","2015-06-19",20.35
"155","2015-06-22",20.620001
"156","2015-06-23",21
"157","2015-06-24",20.629999
"158","2015-06-25",21.450001
"159","2015-06-26",20.969999
"160","2015-06-29",19.08
"161","2015-06-30",18.6
"162","2015-07-01",17.809999
"163","2015-07-02",16.75
"164","2015-07-06",16.110001
"165","2015-07-07",17.42
"166","2015-07-08",16.99
"167","2015-07-09",17.09
"168","2015-07-10",17.77
"169","2015-07-13",18.129999
"170","2015-07-14",18.15
"171","2015-07-15",18.99
"172","2015-07-16",19.65
"173","2015-07-17",19.879999
"174","2015-07-20",18.190001
"175","2015-07-21",18.43
"176","2015-07-22",18.459999
