"","date","ZEUS"
"1","2007-01-03",21.65
"2","2007-01-04",21.99
"3","2007-01-05",21.74
"4","2007-01-08",21.540001
"5","2007-01-09",21.559999
"6","2007-01-10",21.82
"7","2007-01-11",21.82
"8","2007-01-12",22.120001
"9","2007-01-16",22.209999
"10","2007-01-17",22.209999
"11","2007-01-18",22.129999
"12","2007-01-19",22.719999
"13","2007-01-22",23.690001
"14","2007-01-23",25.59
"15","2007-01-24",26.040001
"16","2007-01-25",25.83
"17","2007-01-26",25.49
"18","2007-01-29",25.27
"19","2007-01-30",25.41
"20","2007-01-31",26.6
"21","2007-02-01",27.809999
"22","2007-02-02",27.85
"23","2007-02-05",27.559999
"24","2007-02-06",27.65
"25","2007-02-07",27.610001
"26","2007-02-08",27.700001
"27","2007-02-09",27.360001
"28","2007-02-12",27.540001
"29","2007-02-13",27.77
"30","2007-02-14",28.700001
"31","2007-02-15",28.219999
"32","2007-02-16",28.93
"33","2007-02-20",28.709999
"34","2007-02-21",29.41
"35","2007-02-22",28.889999
"36","2007-02-23",29.1
"37","2007-02-26",28.969999
"38","2007-02-27",27
"39","2007-02-28",29.440001
"40","2007-03-01",28.889999
"41","2007-03-02",27.709999
"42","2007-03-05",27.219999
"43","2007-03-06",29.15
"44","2007-03-07",28.91
"45","2007-03-08",29.6
"46","2007-03-09",30.1
"47","2007-03-12",29.58
"48","2007-03-13",27.98
"49","2007-03-14",28.879999
"50","2007-03-15",28.76
"51","2007-03-16",28.549999
"52","2007-03-19",28.860001
"53","2007-03-20",29.879999
"54","2007-03-21",31.35
"55","2007-03-22",31.190001
"56","2007-03-23",31.209999
"57","2007-03-26",30.98
"58","2007-03-27",30.41
"59","2007-03-28",29.83
"60","2007-03-29",30.99
"61","2007-03-30",30.99
"62","2007-04-02",31.440001
"63","2007-04-03",31.559999
"64","2007-04-04",31.639999
"65","2007-04-05",31.870001
"66","2007-04-09",32.380001
"67","2007-04-10",32.139999
"68","2007-04-11",32.240002
"69","2007-04-12",32.23
"70","2007-04-13",32.369999
"71","2007-04-16",32.939999
"72","2007-04-17",31.790001
"73","2007-04-18",31.02
"74","2007-04-19",31.040001
"75","2007-04-20",31.360001
"76","2007-04-23",33.060001
"77","2007-04-24",31.620001
"78","2007-04-25",32.470001
"79","2007-04-26",32.419998
"80","2007-04-27",33.939999
"81","2007-04-30",33.279999
"82","2007-05-01",32.630001
"83","2007-05-02",32.75
"84","2007-05-03",32.779999
"85","2007-05-04",32.709999
"86","2007-05-07",34.130001
"87","2007-05-08",34.950001
"88","2007-05-09",34.009998
"89","2007-05-10",33.110001
"90","2007-05-11",33.48
"91","2007-05-14",32.759998
"92","2007-05-15",32.73
"93","2007-05-16",31.860001
"94","2007-05-17",32.009998
"95","2007-05-18",32.580002
"96","2007-05-21",33.349998
"97","2007-05-22",32.619999
"98","2007-05-23",32.580002
"99","2007-05-24",31.58
"100","2007-05-25",32.419998
"101","2007-05-29",33.380001
"102","2007-05-30",33.799999
"103","2007-05-31",33.549999
"104","2007-06-01",34.139999
"105","2007-06-04",34.049999
"106","2007-06-05",33.950001
"107","2007-06-06",32.950001
"108","2007-06-07",32.259998
"109","2007-06-08",32.700001
"110","2007-06-11",31.950001
"111","2007-06-12",31.23
"112","2007-06-13",32.029999
"113","2007-06-14",32.23
"114","2007-06-15",32.52
"115","2007-06-18",32.18
"116","2007-06-19",32.43
