"","date","FLT"
"1","2010-12-15",27.25
"2","2010-12-16",27.35
"3","2010-12-17",28.07
"4","2010-12-20",28.530001
"5","2010-12-21",29.75
"6","2010-12-22",29.08
"7","2010-12-23",30.809999
"8","2010-12-27",30.99
"9","2010-12-28",31.059999
"10","2010-12-29",31
"11","2010-12-30",30.799999
"12","2010-12-31",30.92
"13","2011-01-03",30.469999
"14","2011-01-04",29.98
"15","2011-01-05",30.4
"16","2011-01-06",30.030001
"17","2011-01-07",29.99
"18","2011-01-10",30
"19","2011-01-11",31.139999
"20","2011-01-12",30.940001
"21","2011-01-13",30.200001
"22","2011-01-14",30.25
"23","2011-01-18",30.23
"24","2011-01-19",30.190001
"25","2011-01-20",30.049999
"26","2011-01-21",30.5
"27","2011-01-24",31.57
"28","2011-01-25",31.049999
"29","2011-01-26",31.299999
"30","2011-01-27",30.200001
"31","2011-01-28",29.98
"32","2011-01-31",30
"33","2011-02-01",30.040001
"34","2011-02-02",30
"35","2011-02-03",30
"36","2011-02-04",29.99
"37","2011-02-07",30.51
"38","2011-02-08",31.16
"39","2011-02-09",31.280001
"40","2011-02-10",31.27
"41","2011-02-11",31.51
"42","2011-02-14",31
"43","2011-02-15",31
"44","2011-02-16",31.48
"45","2011-02-17",32.5
"46","2011-02-18",33.509998
"47","2011-02-22",31.959999
"48","2011-02-23",32
"49","2011-02-24",32.490002
"50","2011-02-25",32.060001
"51","2011-02-28",31.99
"52","2011-03-01",30.700001
"53","2011-03-02",30.07
"54","2011-03-03",30.700001
"55","2011-03-04",30.75
"56","2011-03-07",30.360001
"57","2011-03-08",30.440001
"58","2011-03-09",30.17
"59","2011-03-10",30.25
"60","2011-03-11",30.51
"61","2011-03-14",31.33
"62","2011-03-15",31.549999
"63","2011-03-16",31.43
"64","2011-03-17",31.35
"65","2011-03-18",31.58
"66","2011-03-21",33.150002
"67","2011-03-22",32.73
"68","2011-03-23",33.310001
"69","2011-03-24",33.169998
"70","2011-03-25",33.09
"71","2011-03-28",34.400002
"72","2011-03-29",32.700001
"73","2011-03-30",32.470001
"74","2011-03-31",32.66
"75","2011-04-01",34.080002
"76","2011-04-04",34
"77","2011-04-05",33.82
"78","2011-04-06",32.790001
"79","2011-04-07",33.330002
"80","2011-04-08",33.09
"81","2011-04-11",33.369999
"82","2011-04-12",33.290001
"83","2011-04-13",33.490002
"84","2011-04-14",33.669998
"85","2011-04-15",34.259998
"86","2011-04-18",33.759998
"87","2011-04-19",34.220001
"88","2011-04-20",34.82
"89","2011-04-21",34.639999
"90","2011-04-25",34.290001
"91","2011-04-26",34.630001
"92","2011-04-27",34.810001
"93","2011-04-28",36.790001
"94","2011-04-29",37.509998
"95","2011-05-02",36.130001
"96","2011-05-03",34.119999
"97","2011-05-04",34.09
"98","2011-05-05",34.720001
"99","2011-05-06",33.18
"100","2011-05-09",33.119999
"101","2011-05-10",33.779999
