"","date","GPP"
"1","2015-06-26",15
"2","2015-06-29",15.99
"3","2015-06-30",15.51
"4","2015-07-01",15.29
"5","2015-07-02",14.81
"6","2015-07-06",14.4
"7","2015-07-07",14.6
"8","2015-07-08",14.4
"9","2015-07-09",14.29
"10","2015-07-10",14.89
"11","2015-07-13",14.76
"12","2015-07-14",14.84
"13","2015-07-15",14.66
"14","2015-07-16",14.73
"15","2015-07-17",15.46
"16","2015-07-20",15.13
"17","2015-07-21",15.78
"18","2015-07-22",15.51
"19","2015-07-23",15.56
"20","2015-07-24",15.43
"21","2015-07-27",14.98
"22","2015-07-28",15.12
"23","2015-07-29",15.53
"24","2015-07-30",15.48
"25","2015-07-31",15.95
"26","2015-08-03",15.96
"27","2015-08-04",15.66
"28","2015-08-05",15.01
"29","2015-08-06",14.87
"30","2015-08-07",14.8
"31","2015-08-10",15.23
"32","2015-08-11",14.93
"33","2015-08-12",14.93
"34","2015-08-13",14.91
"35","2015-08-14",14.9
"36","2015-08-17",14.99
"37","2015-08-18",14.77
"38","2015-08-19",14.77
"39","2015-08-20",14.75
"40","2015-08-21",14.94
"41","2015-08-24",14.18
"42","2015-08-25",13.32
"43","2015-08-26",13.2
"44","2015-08-27",13.52
"45","2015-08-28",13.7
"46","2015-08-31",14.62
"47","2015-09-01",14.07
"48","2015-09-02",14.5
"49","2015-09-03",14.46
"50","2015-09-04",14.35
"51","2015-09-08",13.75
"52","2015-09-09",13.54
"53","2015-09-10",13.25
"54","2015-09-11",13.09
"55","2015-09-14",13.09
"56","2015-09-15",13.11
"57","2015-09-16",13.1
"58","2015-09-17",13.05
"59","2015-09-18",13.44
"60","2015-09-21",13.72
"61","2015-09-22",13.85
"62","2015-09-23",13.79
"63","2015-09-24",13.49
"64","2015-09-25",13.42
"65","2015-09-28",13.29
"66","2015-09-29",13.09
"67","2015-09-30",13.2
"68","2015-10-01",13.49
"69","2015-10-02",13.33
"70","2015-10-05",13.19
"71","2015-10-06",13.22
"72","2015-10-07",13.35
"73","2015-10-08",13.51
"74","2015-10-09",14.32
"75","2015-10-12",14.17
"76","2015-10-13",13.55
"77","2015-10-14",14.1
"78","2015-10-15",14.36
"79","2015-10-16",14.5
"80","2015-10-19",14.24
"81","2015-10-20",14.26
"82","2015-10-21",14.3
"83","2015-10-22",14.28
"84","2015-10-23",14.12
"85","2015-10-26",14.5
"86","2015-10-27",14.15
"87","2015-10-28",14.46
"88","2015-10-29",14.45
"89","2015-10-30",14.77
"90","2015-11-02",15
"91","2015-11-03",14.61
"92","2015-11-04",14.78
"93","2015-11-05",14.33
"94","2015-11-06",14.14
"95","2015-11-09",14.1
"96","2015-11-10",13.89
"97","2015-11-11",13.85
"98","2015-11-12",13.72
"99","2015-11-13",13.35
"100","2015-11-16",13.16
"101","2015-11-17",12.95
"102","2015-11-18",12.99
"103","2015-11-19",12.67
"104","2015-11-20",12.7
"105","2015-11-23",12.62
"106","2015-11-24",12.75
"107","2015-11-25",12.84
"108","2015-11-27",12.87
"109","2015-11-30",13.21
"110","2015-12-01",13.66
"111","2015-12-02",14.005
"112","2015-12-03",13.98
"113","2015-12-04",13.98
"114","2015-12-07",14.1
"115","2015-12-08",13.96
"116","2015-12-09",14.09
"117","2015-12-10",14.44
"118","2015-12-11",14.45
"119","2015-12-14",14.39
"120","2015-12-15",14.39
"121","2015-12-16",14.62
"122","2015-12-17",14.51
"123","2015-12-18",14.12
"124","2015-12-21",14.34
"125","2015-12-22",14.66
"126","2015-12-23",15.05
"127","2015-12-24",15.22
"128","2015-12-28",15.09
"129","2015-12-29",15.36
"130","2015-12-30",15.355
"131","2015-12-31",16.25
"132","2016-01-04",15.81
"133","2016-01-05",16
"134","2016-01-06",15.89
"135","2016-01-07",15.25
"136","2016-01-08",15
"137","2016-01-11",14.51
"138","2016-01-12",14.38
"139","2016-01-13",13.83
"140","2016-01-14",14.64
"141","2016-01-15",14.32
"142","2016-01-19",13.82
"143","2016-01-20",13.9
"144","2016-01-21",14.09
"145","2016-01-22",14.65
"146","2016-01-25",14.45
"147","2016-01-26",14.61
"148","2016-01-27",14.01
"149","2016-01-28",14.35
"150","2016-01-29",14.61
"151","2016-02-01",14.92
"152","2016-02-02",14.48
"153","2016-02-03",14.32
"154","2016-02-04",14.33
"155","2016-02-05",13.79
"156","2016-02-08",13.99
"157","2016-02-09",13.29
"158","2016-02-10",13.11
"159","2016-02-11",12.8
"160","2016-02-12",12.91
"161","2016-02-16",13.28
"162","2016-02-17",13.36
"163","2016-02-18",13.6
"164","2016-02-19",13.88
"165","2016-02-22",13.66
"166","2016-02-23",13.49
"167","2016-02-24",13.07
"168","2016-02-25",12.78
"169","2016-02-26",12.7
"170","2016-02-29",12.85
"171","2016-03-01",13.04
"172","2016-03-02",13.43
"173","2016-03-03",12.98
"174","2016-03-04",13.29
"175","2016-03-07",13.47
"176","2016-03-08",13.18
"177","2016-03-09",13.15
"178","2016-03-10",13.19
"179","2016-03-11",12.97
"180","2016-03-14",12.85
"181","2016-03-15",12.67
"182","2016-03-16",12.78
"183","2016-03-17",13.27
"184","2016-03-18",13.4
"185","2016-03-21",13.2
"186","2016-03-22",13.37
"187","2016-03-23",13.35
"188","2016-03-24",13.36
"189","2016-03-28",13.29
"190","2016-03-29",13.37
"191","2016-03-30",13.25
"192","2016-03-31",13.45
"193","2016-04-01",13.5
"194","2016-04-04",13.33
"195","2016-04-05",13.05
"196","2016-04-06",13.06
"197","2016-04-07",13.36
"198","2016-04-08",13.48
"199","2016-04-11",13.62
"200","2016-04-12",13.57
"201","2016-04-13",13.8
"202","2016-04-14",13.75
"203","2016-04-15",14.15
"204","2016-04-18",13.81
"205","2016-04-19",13.84
"206","2016-04-20",13.93
"207","2016-04-21",13.75
"208","2016-04-22",13.74
"209","2016-04-25",14.025
"210","2016-04-26",14.18
"211","2016-04-27",14
"212","2016-04-28",14.33
"213","2016-04-29",14.35
"214","2016-05-02",14.33
"215","2016-05-03",14.29
"216","2016-05-04",14.04
"217","2016-05-05",13.91
"218","2016-05-06",13.98
"219","2016-05-09",13.785
"220","2016-05-10",13.81
"221","2016-05-11",13.87
"222","2016-05-12",13.7
"223","2016-05-13",13.78
"224","2016-05-16",13.8
"225","2016-05-17",13.775
"226","2016-05-18",13.58
"227","2016-05-19",13.77
"228","2016-05-20",13.57
"229","2016-05-23",13.63
"230","2016-05-24",13.85
"231","2016-05-25",13.91
"232","2016-05-26",14.23
"233","2016-05-27",14
"234","2016-05-31",14.4
"235","2016-06-01",15.33
"236","2016-06-02",15.25
"237","2016-06-03",15.25
"238","2016-06-06",15.35
"239","2016-06-07",15.27
"240","2016-06-08",15.5
"241","2016-06-09",15.5
"242","2016-06-10",15.56
"243","2016-06-13",15.58
"244","2016-06-14",15.3
"245","2016-06-15",15.22
"246","2016-06-16",15.02
"247","2016-06-17",14.54
"248","2016-06-20",14.63
"249","2016-06-21",14.85
"250","2016-06-22",15.18
"251","2016-06-23",15.27
"252","2016-06-24",15.22
"253","2016-06-27",15.37
"254","2016-06-28",15.35
"255","2016-06-29",15.3
"256","2016-06-30",15.55
"257","2016-07-01",15.99
"258","2016-07-05",15.22
"259","2016-07-06",15.59
"260","2016-07-07",15.56
"261","2016-07-08",15.47
"262","2016-07-11",15.91
"263","2016-07-12",16.1
"264","2016-07-13",16
"265","2016-07-14",16.15
"266","2016-07-15",16.09
"267","2016-07-18",16.25
"268","2016-07-19",16.42
"269","2016-07-20",16.6
"270","2016-07-21",16.870001
"271","2016-07-22",17.200001
"272","2016-07-25",17.030001
"273","2016-07-26",17.280001
"274","2016-07-27",17.49
"275","2016-07-28",17.950001
"276","2016-07-29",18.49
"277","2016-08-01",17.870001
"278","2016-08-02",17.709999
"279","2016-08-03",17.540001
"280","2016-08-04",17.799999
"281","2016-08-05",17.65
