"","date","LPRO"
"1","2018-03-26",9.65
"2","2018-03-27",9.65
"3","2018-03-28",9.65
"4","2018-03-29",9.65
"5","2018-04-02",9.65
"6","2018-04-03",9.65
"7","2018-04-04",9.65
"8","2018-04-05",9.65
"9","2018-04-06",9.65
"10","2018-04-09",9.65
"11","2018-04-10",9.65
"12","2018-04-11",9.65
"13","2018-04-12",9.65
"14","2018-04-13",9.65
"15","2018-04-16",9.65
"16","2018-04-17",9.65
"17","2018-04-18",9.65
"18","2018-04-19",9.65
"19","2018-04-20",9.65
"20","2018-04-23",9.65
"21","2018-04-24",9.65
"22","2018-04-25",9.65
"23","2018-04-26",9.65
"24","2018-04-27",9.65
"25","2018-04-30",9.65
"26","2018-05-01",9.65
"27","2018-05-02",9.65
"28","2018-05-03",9.65
"29","2018-05-04",9.65
"30","2018-05-07",9.65
"31","2018-05-08",9.65
"32","2018-05-09",9.65
"33","2018-05-10",9.65
"34","2018-05-11",9.65
"35","2018-05-14",9.65
"36","2018-05-15",9.65
"37","2018-05-16",9.65
"38","2018-05-17",9.65
"39","2018-05-18",9.65
"40","2018-05-21",9.65
"41","2018-05-22",9.65
"42","2018-05-23",9.65
"43","2018-05-24",9.65
"44","2018-05-25",9.65
"45","2018-05-29",9.65
"46","2018-05-30",9.65
"47","2018-05-31",9.65
"48","2018-06-01",9.65
"49","2018-06-04",9.65
"50","2018-06-05",9.65
"51","2018-06-06",9.65
"52","2018-06-07",9.65
"53","2018-06-08",9.65
"54","2018-06-11",9.65
"55","2018-06-12",9.65
"56","2018-06-13",9.65
"57","2018-06-14",9.65
"58","2018-06-15",9.65
"59","2018-06-18",9.65
"60","2018-06-19",9.65
"61","2018-06-20",9.65
"62","2018-06-21",9.65
"63","2018-06-22",9.65
"64","2018-06-25",9.65
"65","2018-06-26",9.65
"66","2018-06-27",9.65
"67","2018-06-28",9.65
"68","2018-06-29",9.65
"69","2018-07-02",9.65
"70","2018-07-03",9.65
"71","2018-07-05",9.65
"72","2018-07-06",9.68
"73","2018-07-09",9.68
"74","2018-07-10",9.68
"75","2018-07-11",9.68
"76","2018-07-12",9.68
"77","2018-07-13",9.68
"78","2018-07-16",9.68
"79","2018-07-17",9.68
"80","2018-07-18",9.68
"81","2018-07-19",9.68
"82","2018-07-20",9.68
"83","2018-07-23",9.68
"84","2018-07-24",9.68
"85","2018-07-25",9.68
"86","2018-07-26",9.68
"87","2018-07-27",9.68
"88","2018-07-30",9.68
"89","2018-07-31",9.68
"90","2018-08-01",9.68
"91","2018-08-02",9.68
"92","2018-08-03",9.7
"93","2018-08-06",9.7
"94","2018-08-07",10.5
"95","2018-08-08",10.5
"96","2018-08-09",10.5
"97","2018-08-10",10.5
"98","2018-08-13",10.09
"99","2018-08-14",10.09
"100","2018-08-15",10.09
"101","2018-08-16",9.67
"102","2018-08-17",9.67
"103","2018-08-20",11.024
"104","2018-08-21",11.024
"105","2018-08-22",9.67
"106","2018-08-23",9.7
"107","2018-08-24",9.724
"108","2018-08-27",9.724
"109","2018-08-28",9.724
"110","2018-08-29",9.724
"111","2018-08-30",9.724
"112","2018-08-31",9.699
"113","2018-09-04",9.699
"114","2018-09-05",9.699
"115","2018-09-06",9.699
"116","2018-09-07",9.699
"117","2018-09-10",9.699
"118","2018-09-11",9.699
"119","2018-09-12",9.69
"120","2018-09-13",9.69
"121","2018-09-14",9.69
"122","2018-09-17",9.69
"123","2018-09-18",9.69
"124","2018-09-19",9.69
"125","2018-09-20",9.69
"126","2018-09-21",9.69
"127","2018-09-24",9.69
"128","2018-09-25",9.69
"129","2018-09-26",9.74
"130","2018-09-27",9.74
"131","2018-09-28",9.74
"132","2018-10-01",9.74
"133","2018-10-02",9.74
"134","2018-10-03",9.74
"135","2018-10-04",9.72
