"","date","BOOT"
"1","2014-10-30",17.450001
"2","2014-10-31",17.75
"3","2014-11-03",17.559999
"4","2014-11-04",17.379999
"5","2014-11-05",17.040001
"6","2014-11-06",17.25
"7","2014-11-07",17.219999
"8","2014-11-10",18
"9","2014-11-11",18.780001
"10","2014-11-12",18.860001
"11","2014-11-13",19.26
"12","2014-11-14",20
"13","2014-11-17",20.190001
"14","2014-11-18",19.65
"15","2014-11-19",19.74
"16","2014-11-20",20.280001
"17","2014-11-21",20
"18","2014-11-24",20.65
"19","2014-11-25",21.370001
"20","2014-11-26",21.48
"21","2014-11-28",21.6
"22","2014-12-01",20.9
"23","2014-12-02",20.98
"24","2014-12-03",22.08
"25","2014-12-04",22.17
"26","2014-12-05",22.200001
"27","2014-12-08",22.09
"28","2014-12-09",21.610001
"29","2014-12-10",21.92
"30","2014-12-11",20.99
"31","2014-12-12",20.879999
"32","2014-12-15",20.42
"33","2014-12-16",19.790001
"34","2014-12-17",19.18
"35","2014-12-18",18.799999
"36","2014-12-19",19.559999
"37","2014-12-22",19.200001
"38","2014-12-23",19.299999
"39","2014-12-24",18.700001
"40","2014-12-26",18.42
"41","2014-12-29",18.35
"42","2014-12-30",18.299999
"43","2014-12-31",18.200001
"44","2015-01-02",17.940001
"45","2015-01-05",18
"46","2015-01-06",18.290001
"47","2015-01-07",18.540001
"48","2015-01-08",19.299999
"49","2015-01-09",19.709999
"50","2015-01-12",20.950001
"51","2015-01-13",20.48
"52","2015-01-14",20.549999
"53","2015-01-15",19.34
"54","2015-01-16",19.139999
"55","2015-01-20",18.200001
"56","2015-01-21",18.559999
"57","2015-01-22",19.01
"58","2015-01-23",19.32
"59","2015-01-26",19.299999
"60","2015-01-27",19.33
"61","2015-01-28",19.33
"62","2015-01-29",19.59
"63","2015-01-30",20.18
"64","2015-02-02",21.67
"65","2015-02-03",21.379999
"66","2015-02-04",21.74
"67","2015-02-05",23.870001
"68","2015-02-06",24.34
"69","2015-02-09",24.459999
"70","2015-02-10",24.610001
"71","2015-02-11",23.639999
"72","2015-02-12",23.559999
"73","2015-02-13",23.040001
"74","2015-02-17",22.24
"75","2015-02-18",22.6
"76","2015-02-19",23.07
"77","2015-02-20",22.370001
"78","2015-02-23",22.27
"79","2015-02-24",23.02
"80","2015-02-25",24.040001
"81","2015-02-26",23.15
"82","2015-02-27",24.610001
"83","2015-03-02",24.57
"84","2015-03-03",24.35
"85","2015-03-04",24.809999
"86","2015-03-05",24.799999
"87","2015-03-06",23.790001
"88","2015-03-09",24.27
"89","2015-03-10",24.74
"90","2015-03-11",24.139999
"91","2015-03-12",24.35
"92","2015-03-13",23.98
"93","2015-03-16",23.940001
"94","2015-03-17",24.700001
"95","2015-03-18",24.559999
"96","2015-03-19",25.49
"97","2015-03-20",25.5
"98","2015-03-23",24.280001
"99","2015-03-24",24.860001
"100","2015-03-25",24.02
"101","2015-03-26",23.629999
"102","2015-03-27",23.209999
"103","2015-03-30",23.709999
"104","2015-03-31",23.92
"105","2015-04-01",23.879999
"106","2015-04-02",23.950001
"107","2015-04-06",23.709999
"108","2015-04-07",23.77
"109","2015-04-08",24.059999
"110","2015-04-09",24.49
"111","2015-04-10",24.49
"112","2015-04-13",24.549999
"113","2015-04-14",25
"114","2015-04-15",25.76
"115","2015-04-16",25.549999
"116","2015-04-17",24.09
"117","2015-04-20",24.440001
"118","2015-04-21",24.33
"119","2015-04-22",24.389999
"120","2015-04-23",25.450001
"121","2015-04-24",25.59
"122","2015-04-27",25.790001
"123","2015-04-28",25.68
"124","2015-04-29",25.610001
"125","2015-04-30",24.82
"126","2015-05-01",24.549999
"127","2015-05-04",24.73
"128","2015-05-05",23.379999
"129","2015-05-06",24.02
"130","2015-05-07",24.299999
"131","2015-05-08",24.01
"132","2015-05-11",24.059999
"133","2015-05-12",24.15
"134","2015-05-13",24.57
"135","2015-05-14",24.42
"136","2015-05-15",23.51
"137","2015-05-18",23.76
"138","2015-05-19",23.9
"139","2015-05-20",23.75
"140","2015-05-21",23.41
"141","2015-05-22",23.16
"142","2015-05-26",22.309999
"143","2015-05-27",23.040001
"144","2015-05-28",22.75
"145","2015-05-29",24.459999
"146","2015-06-01",27.059999
"147","2015-06-02",26.93
"148","2015-06-03",25.74
"149","2015-06-04",25.879999
"150","2015-06-05",28.76
"151","2015-06-08",28.620001
"152","2015-06-09",28.82
"153","2015-06-10",28.959999
"154","2015-06-11",28.83
