"","date","SYTA"
"1","2020-09-25",4.49
"2","2020-09-28",4.52
"3","2020-09-29",4.73
"4","2020-09-30",4.71
"5","2020-10-01",4.53
"6","2020-10-02",4.49
"7","2020-10-05",4.53
"8","2020-10-06",4.7
"9","2020-10-07",5.05
"10","2020-10-08",4.88
"11","2020-10-09",4.903
"12","2020-10-12",4.72
"13","2020-10-13",5
"14","2020-10-14",5.26
"15","2020-10-15",5.25
"16","2020-10-16",5.09
"17","2020-10-19",5.08
"18","2020-10-20",5.1
"19","2020-10-21",5.35
"20","2020-10-22",5.31
"21","2020-10-23",5.35
"22","2020-10-26",5.63
"23","2020-10-27",6.05
"24","2020-10-28",5.96
"25","2020-10-29",5.89
"26","2020-10-30",5.8
"27","2020-11-02",5.87
"28","2020-11-03",5.87
"29","2020-11-04",5.74
"30","2020-11-05",5.685
"31","2020-11-06",5.84
"32","2020-11-09",5.85
"33","2020-11-10",5.88
"34","2020-11-11",5.94
"35","2020-11-12",5.85
"36","2020-11-13",5.73
"37","2020-11-16",5.82
"38","2020-11-17",5.825
"39","2020-11-18",5.89
"40","2020-11-19",5.9
"41","2020-11-20",5.79
"42","2020-11-23",6.05
"43","2020-11-24",7.33
"44","2020-11-25",7.34
"45","2020-11-27",7.12
