"","date","MTR"
"1","2007-01-03",51.599998
"2","2007-01-04",52.200001
"3","2007-01-05",51.950001
"4","2007-01-08",52.060001
"5","2007-01-09",52
"6","2007-01-10",52
"7","2007-01-11",52.91
"8","2007-01-12",54.200001
"9","2007-01-16",54.900002
"10","2007-01-17",54.610001
"11","2007-01-18",54.990002
"12","2007-01-19",55.900002
"13","2007-01-22",56.349998
"14","2007-01-23",57.610001
"15","2007-01-24",57.77
"16","2007-01-25",58.099998
"17","2007-01-26",56.990002
"18","2007-01-29",55.009998
"19","2007-01-30",55.849998
"20","2007-01-31",57.34
"21","2007-02-01",57.5
"22","2007-02-02",57.009998
"23","2007-02-05",57.02
"24","2007-02-06",56.75
"25","2007-02-07",57
"26","2007-02-08",57.380001
"27","2007-02-09",57
"28","2007-02-12",57
"29","2007-02-13",56.98
"30","2007-02-14",54
"31","2007-02-15",54.25
"32","2007-02-16",54.490002
"33","2007-02-20",54.400002
"34","2007-02-21",55
"35","2007-02-22",55.099998
"36","2007-02-23",56.240002
"37","2007-02-26",56.990002
"38","2007-02-27",56
"39","2007-02-28",56.200001
"40","2007-03-01",55.5
"41","2007-03-02",54.400002
"42","2007-03-05",54.25
"43","2007-03-06",53.799999
"44","2007-03-07",54.599998
"45","2007-03-08",53.59
"46","2007-03-09",54.189999
"47","2007-03-12",54.990002
"48","2007-03-13",54.490002
"49","2007-03-14",54.299999
"50","2007-03-15",54.299999
"51","2007-03-16",52.459999
"52","2007-03-19",53.349998
"53","2007-03-20",52.459999
"54","2007-03-21",53.490002
"55","2007-03-22",54.939999
"56","2007-03-23",54.990002
"57","2007-03-26",55.560001
"58","2007-03-27",56.25
"59","2007-03-28",57
"60","2007-03-29",54.900002
"61","2007-03-30",56.099998
"62","2007-04-02",56.450001
"63","2007-04-03",55.91
"64","2007-04-04",55.25
"65","2007-04-05",56.560001
"66","2007-04-09",57
"67","2007-04-10",56.52
"68","2007-04-11",56.73
"69","2007-04-12",57.380001
"70","2007-04-13",57.869999
"71","2007-04-16",59.75
"72","2007-04-17",59.759998
"73","2007-04-18",59.450001
"74","2007-04-19",59.299999
"75","2007-04-20",59.490002
"76","2007-04-23",59.52
"77","2007-04-24",60.240002
"78","2007-04-25",59.759998
"79","2007-04-26",59.880001
"80","2007-04-27",59.009998
"81","2007-04-30",59.689999
"82","2007-05-01",59.48
"83","2007-05-02",58.939999
"84","2007-05-03",59.049999
"85","2007-05-04",58.75
"86","2007-05-07",58.459999
"87","2007-05-08",56.810001
"88","2007-05-09",56.689999
"89","2007-05-10",56.630001
"90","2007-05-11",56.889999
"91","2007-05-14",56
"92","2007-05-15",56.869999
"93","2007-05-16",58.25
"94","2007-05-17",58.48
"95","2007-05-18",59.349998
"96","2007-05-21",59.77
"97","2007-05-22",59.150002
"98","2007-05-23",57.5
"99","2007-05-24",56.669998
"100","2007-05-25",56.59
"101","2007-05-29",56.389999
"102","2007-05-30",57.240002
"103","2007-05-31",57.400002
"104","2007-06-01",57.5
"105","2007-06-04",58
"106","2007-06-05",57.759998
"107","2007-06-06",58
"108","2007-06-07",57
"109","2007-06-08",57.990002
"110","2007-06-11",57.400002
