"","date","PHAS"
"1","2018-10-18",5
"2","2018-10-19",5
"3","2018-10-22",5
"4","2018-10-23",5
"5","2018-10-24",5.04
"6","2018-10-25",5
"7","2018-10-26",5
"8","2018-10-29",5.02
"9","2018-10-30",5.36
"10","2018-10-31",5.1
"11","2018-11-01",5.16
"12","2018-11-02",5.06
"13","2018-11-05",5.09
"14","2018-11-06",5
"15","2018-11-07",5.11
"16","2018-11-08",5.01
"17","2018-11-09",5.01
"18","2018-11-12",4.74
"19","2018-11-13",4.09
"20","2018-11-14",3.71
"21","2018-11-15",3.24
"22","2018-11-16",3.15
"23","2018-11-19",2.9
"24","2018-11-20",2.56
"25","2018-11-21",2.74
"26","2018-11-23",3.07
"27","2018-11-26",3.07
"28","2018-11-27",3
"29","2018-11-28",2.92
"30","2018-11-29",2.89
"31","2018-11-30",2.85
"32","2018-12-03",3.06
"33","2018-12-04",3.28
"34","2018-12-06",3.88
"35","2018-12-07",4.09
"36","2018-12-10",3.67
"37","2018-12-11",3.86
"38","2018-12-12",3.94
"39","2018-12-13",3.65
"40","2018-12-14",4.12
"41","2018-12-17",3.75
"42","2018-12-18",4.11
"43","2018-12-19",3.46
"44","2018-12-20",3.48
"45","2018-12-21",3.01
"46","2018-12-24",3.2
"47","2018-12-26",3.4
"48","2018-12-27",3.1
"49","2018-12-28",3.05
"50","2018-12-31",3.09
"51","2019-01-02",3.14
"52","2019-01-03",3.12
"53","2019-01-04",3.23
"54","2019-01-07",3.51
"55","2019-01-08",3.6
"56","2019-01-09",3.73
"57","2019-01-10",3.62
"58","2019-01-11",3.75
"59","2019-01-14",3.49
"60","2019-01-15",3.67
"61","2019-01-16",3.75
"62","2019-01-17",3.9
"63","2019-01-18",3.78
"64","2019-01-22",3.65
"65","2019-01-23",3.4
"66","2019-01-24",3.48
"67","2019-01-25",3.8
"68","2019-01-28",3.8
"69","2019-01-29",3.7
"70","2019-01-30",3.55
"71","2019-01-31",3.3
"72","2019-02-01",3.2
"73","2019-02-04",3.2
"74","2019-02-05",3.19
"75","2019-02-06",3.03
"76","2019-02-07",3.12
"77","2019-02-08",3.17
"78","2019-02-11",3.05
"79","2019-02-12",3
"80","2019-02-13",2.99
"81","2019-02-14",3
"82","2019-02-15",3
"83","2019-02-19",3.15
"84","2019-02-20",2.98
"85","2019-02-21",3
"86","2019-02-22",3.07
"87","2019-02-25",3.1
"88","2019-02-26",3.05
"89","2019-02-27",3.15
"90","2019-02-28",3.16
"91","2019-03-01",3.05
"92","2019-03-04",3.11
"93","2019-03-05",3.01
"94","2019-03-06",3.02
"95","2019-03-07",3
"96","2019-03-08",2.8
"97","2019-03-11",2.9
"98","2019-03-12",2.7
"99","2019-03-13",3.05
"100","2019-03-14",3.3
"101","2019-03-15",3.72
"102","2019-03-18",6.23
"103","2019-03-19",6.2
"104","2019-03-20",6.23
"105","2019-03-21",6.24
"106","2019-03-22",6.75
"107","2019-03-25",6.85
"108","2019-03-26",9.1
"109","2019-03-27",8.42
"110","2019-03-28",8.66
"111","2019-03-29",9.51
"112","2019-04-01",12.38
"113","2019-04-02",12
"114","2019-04-03",10.36
"115","2019-04-04",10.37
"116","2019-04-05",10.73
"117","2019-04-08",12.57
"118","2019-04-09",14.61
"119","2019-04-10",12.88
"120","2019-04-11",13.51
"121","2019-04-12",14.66
"122","2019-04-15",13.26
"123","2019-04-16",14.5
"124","2019-04-17",14.1
"125","2019-04-18",12.82
"126","2019-04-22",13.88
"127","2019-04-23",12.78
"128","2019-04-24",12.78
"129","2019-04-25",13.69
"130","2019-04-26",13.73
"131","2019-04-29",13.75
"132","2019-04-30",13.1
"133","2019-05-01",13.23
"134","2019-05-02",13.38
"135","2019-05-03",13.25
"136","2019-05-06",13.34
"137","2019-05-07",12.87
"138","2019-05-08",13.29
"139","2019-05-09",13.23
"140","2019-05-10",13.38
"141","2019-05-13",13.72
"142","2019-05-14",13.13
"143","2019-05-15",11.67
"144","2019-05-16",10.85
"145","2019-05-17",10.75
"146","2019-05-20",10.62
"147","2019-05-21",10.64
"148","2019-05-22",10.58
"149","2019-05-23",9.87
"150","2019-05-24",10.52
"151","2019-05-28",11.56
"152","2019-05-29",11.54
"153","2019-05-30",11.19
"154","2019-05-31",10.68
"155","2019-06-03",10.83
"156","2019-06-04",11.17
"157","2019-06-05",11.3
"158","2019-06-06",10.58
"159","2019-06-07",10.75
"160","2019-06-10",11.01
"161","2019-06-11",10.69
"162","2019-06-12",11.2
"163","2019-06-13",11.98
"164","2019-06-14",11.62
"165","2019-06-17",12.27
"166","2019-06-18",13.31
"167","2019-06-19",12.2
"168","2019-06-20",11.94
"169","2019-06-21",12.54
"170","2019-06-24",11.67
"171","2019-06-25",12.42
"172","2019-06-26",12.87
"173","2019-06-27",12.77
"174","2019-06-28",13.12
"175","2019-07-01",13.88
"176","2019-07-02",13.75
"177","2019-07-03",13.65
"178","2019-07-05",12.92
"179","2019-07-08",12.13
"180","2019-07-09",11.93
"181","2019-07-10",11.66
"182","2019-07-11",11.36
"183","2019-07-12",11.22
"184","2019-07-15",10.75
"185","2019-07-16",10.72
"186","2019-07-17",10.17
"187","2019-07-18",10.37
"188","2019-07-19",10.03
"189","2019-07-22",9.8
"190","2019-07-23",9.46
"191","2019-07-24",9.38
"192","2019-07-25",8.93
"193","2019-07-26",8.58
"194","2019-07-29",7.74
"195","2019-07-30",8.28
"196","2019-07-31",7.81
"197","2019-08-01",7.85
"198","2019-08-02",7.68
"199","2019-08-05",7.36
"200","2019-08-06",7.27
"201","2019-08-07",7.24
"202","2019-08-08",8.13
"203","2019-08-09",7.94
"204","2019-08-12",7.3
"205","2019-08-13",7.76
"206","2019-08-14",7.42
"207","2019-08-15",7.11
"208","2019-08-16",7.39
"209","2019-08-19",7.48
"210","2019-08-20",8.38
"211","2019-08-21",8.59
"212","2019-08-22",7.94
"213","2019-08-23",7.55
"214","2019-08-26",7.99
"215","2019-08-27",8.07
"216","2019-08-28",9.44
"217","2019-08-29",8.9
"218","2019-08-30",8.64
"219","2019-09-03",7.38
"220","2019-09-04",6.75
"221","2019-09-05",6.27
"222","2019-09-06",5.05
"223","2019-09-09",5.04
"224","2019-09-10",5.2
"225","2019-09-11",5.61
"226","2019-09-12",5.13
"227","2019-09-13",5.37
"228","2019-09-16",5.01
"229","2019-09-17",4.75
"230","2019-09-18",4.94
"231","2019-09-19",4.85
"232","2019-09-20",4.75
"233","2019-09-23",4.28
"234","2019-09-24",3.91
"235","2019-09-25",4.84
"236","2019-09-26",4.55
"237","2019-09-27",4.53
"238","2019-09-30",4.17
"239","2019-10-01",3.88
"240","2019-10-02",4.03
"241","2019-10-03",4.2
"242","2019-10-04",4.26
"243","2019-10-07",4.17
"244","2019-10-08",4.02
"245","2019-10-09",3.9
"246","2019-10-10",4.08
"247","2019-10-11",4.16
"248","2019-10-14",3.95
"249","2019-10-15",4.29
"250","2019-10-16",3.96
"251","2019-10-17",4.04
"252","2019-10-18",4
"253","2019-10-21",4.12
"254","2019-10-22",4.16
"255","2019-10-23",4.13
"256","2019-10-24",3.89
"257","2019-10-25",4.27
"258","2019-10-28",4.09
"259","2019-10-29",4.2
"260","2019-10-30",4.07
"261","2019-10-31",4.11
"262","2019-11-01",4.29
"263","2019-11-04",4.08
"264","2019-11-05",4.1
"265","2019-11-06",4.17
"266","2019-11-07",4.08
"267","2019-11-08",3.96
"268","2019-11-11",3.87
"269","2019-11-12",3.65
"270","2019-11-13",3.91
"271","2019-11-14",3.36
"272","2019-11-15",3.54
"273","2019-11-18",3.25
"274","2019-11-19",3.35
"275","2019-11-20",3.59
"276","2019-11-21",3.39
"277","2019-11-22",3.47
"278","2019-11-25",3.45
"279","2019-11-26",3.24
"280","2019-11-27",3.19
"281","2019-11-29",3.26
"282","2019-12-02",3.25
"283","2019-12-03",3.46
"284","2019-12-04",3.27
"285","2019-12-05",3.23
"286","2019-12-06",3.34
"287","2019-12-09",3.21
"288","2019-12-10",3.32
"289","2019-12-11",3.27
"290","2019-12-12",3.86
"291","2019-12-13",3.37
"292","2019-12-16",3.8
"293","2019-12-17",3.7
"294","2019-12-18",4.72
"295","2019-12-19",6.14
"296","2019-12-20",6.21
"297","2019-12-23",6.55
"298","2019-12-24",7.35
"299","2019-12-26",6.37
"300","2019-12-27",6.19
"301","2019-12-30",5.74
"302","2019-12-31",6.11
"303","2020-01-02",5.71
"304","2020-01-03",5.3
"305","2020-01-06",5.22
"306","2020-01-07",5.57
"307","2020-01-08",5.5
"308","2020-01-09",5.65
"309","2020-01-10",6.79
"310","2020-01-13",6.02
"311","2020-01-14",5.57
"312","2020-01-15",5.28
"313","2020-01-16",6
"314","2020-01-17",5.85
"315","2020-01-21",5.63
"316","2020-01-22",5.46
"317","2020-01-23",5.77
"318","2020-01-24",5.29
"319","2020-01-27",5.22
"320","2020-01-28",5.26
"321","2020-01-29",5.07
"322","2020-01-30",4.86
"323","2020-01-31",4.98
"324","2020-02-03",5.5
"325","2020-02-04",5.5
"326","2020-02-05",5.61
"327","2020-02-06",5.42
"328","2020-02-07",5.52
"329","2020-02-10",5.51
"330","2020-02-11",5.12
"331","2020-02-12",5.19
"332","2020-02-13",5.08
"333","2020-02-14",4.76
"334","2020-02-18",4.81
"335","2020-02-19",4.96
"336","2020-02-20",4.82
"337","2020-02-21",4.89
"338","2020-02-24",4.71
"339","2020-02-25",4.33
"340","2020-02-26",4.36
"341","2020-02-27",4.37
"342","2020-02-28",4.21
"343","2020-03-02",4.17
"344","2020-03-03",4
"345","2020-03-04",4.5
"346","2020-03-05",4.26
"347","2020-03-06",3.99
"348","2020-03-09",3.46
"349","2020-03-10",3.4
"350","2020-03-11",3.13
"351","2020-03-12",2.69
"352","2020-03-13",3.09
"353","2020-03-16",2.68
"354","2020-03-17",3.04
"355","2020-03-18",2.89
"356","2020-03-19",2.9
"357","2020-03-20",2.86
"358","2020-03-23",2.85
"359","2020-03-24",3.03
"360","2020-03-25",2.88
"361","2020-03-26",3.21
"362","2020-03-27",3.35
"363","2020-03-30",3.4
"364","2020-03-31",3.31
"365","2020-04-01",2.95
"366","2020-04-02",3.04
"367","2020-04-03",2.85
"368","2020-04-06",2.99
"369","2020-04-07",3.06
"370","2020-04-08",3.28
"371","2020-04-09",3.45
"372","2020-04-13",3.71
"373","2020-04-14",4.69
"374","2020-04-15",4.01
"375","2020-04-16",3.72
"376","2020-04-17",4.03
"377","2020-04-20",4.02
"378","2020-04-21",3.85
"379","2020-04-22",3.93
"380","2020-04-23",3.74
"381","2020-04-24",3.81
"382","2020-04-27",3.85
"383","2020-04-28",3.74
"384","2020-04-29",4.18
"385","2020-04-30",3.86
