"","date","FLGT"
"1","2016-09-29",9.18
"2","2016-09-30",9.22
"3","2016-10-03",10.39
"4","2016-10-04",9.95
"5","2016-10-05",9.57
"6","2016-10-06",9.64
"7","2016-10-07",9.755
"8","2016-10-10",9.8
"9","2016-10-11",9.69
"10","2016-10-12",9.62
"11","2016-10-13",9.4
"12","2016-10-14",8.61
"13","2016-10-17",8.14
"14","2016-10-18",8.17
"15","2016-10-19",8.55
"16","2016-10-20",8.55
"17","2016-10-21",8.88
"18","2016-10-24",9.11
"19","2016-10-25",9.3
"20","2016-10-26",9.02
"21","2016-10-27",8.99
"22","2016-10-28",9.09
"23","2016-10-31",9
"24","2016-11-01",9.03
"25","2016-11-02",9.02
"26","2016-11-03",8.93
"27","2016-11-04",8.74
"28","2016-11-07",8.7
"29","2016-11-08",8.65
"30","2016-11-09",8.6
"31","2016-11-10",8.85
"32","2016-11-11",8.65
"33","2016-11-14",8.66
"34","2016-11-15",8.51
"35","2016-11-16",8.68
"36","2016-11-17",8.5
"37","2016-11-18",8.5
"38","2016-11-21",8.89
"39","2016-11-22",9.48
"40","2016-11-23",9.25
"41","2016-11-25",9.26
"42","2016-11-28",9.32
"43","2016-11-29",9.94
"44","2016-11-30",9.97
"45","2016-12-01",10
"46","2016-12-02",9.88
"47","2016-12-05",10.17
"48","2016-12-06",9.4
"49","2016-12-07",9.91
"50","2016-12-08",9.95
"51","2016-12-09",10
"52","2016-12-12",9.5
"53","2016-12-13",8.87
"54","2016-12-14",9.36
"55","2016-12-15",9.9
"56","2016-12-16",9.94
"57","2016-12-19",10.48
"58","2016-12-20",10.82
"59","2016-12-21",11.23
"60","2016-12-22",11.79
"61","2016-12-23",10.35
"62","2016-12-27",10.08
"63","2016-12-28",9.86
"64","2016-12-29",10.19
"65","2016-12-30",11.57
"66","2017-01-03",11.15
"67","2017-01-04",11.53
"68","2017-01-05",11.5
"69","2017-01-06",13.04
"70","2017-01-09",13.5
"71","2017-01-10",12.93
"72","2017-01-11",13.37
"73","2017-01-12",13.14
"74","2017-01-13",13.67
"75","2017-01-17",13.23
"76","2017-01-18",13.3
"77","2017-01-19",13.27
"78","2017-01-20",13.23
"79","2017-01-23",13.35
"80","2017-01-24",13.23
"81","2017-01-25",12.91
"82","2017-01-26",13
"83","2017-01-27",13
"84","2017-01-30",12.71
"85","2017-01-31",13.07
"86","2017-02-01",12.9
"87","2017-02-02",12.19
"88","2017-02-03",11.99
"89","2017-02-06",12.13
"90","2017-02-07",11.99
"91","2017-02-08",11.87
"92","2017-02-09",11.86
"93","2017-02-10",11.82
"94","2017-02-13",11.71
"95","2017-02-14",11.79
"96","2017-02-15",11.56
"97","2017-02-16",11.35
"98","2017-02-17",11.34
"99","2017-02-21",11.13
"100","2017-02-22",10.5
"101","2017-02-23",11.18
"102","2017-02-24",11.23
"103","2017-02-27",11.46
"104","2017-02-28",11.35
"105","2017-03-01",11.21
"106","2017-03-02",10.96
"107","2017-03-03",10.76
"108","2017-03-06",10.45
"109","2017-03-07",10.52
"110","2017-03-08",10.72
"111","2017-03-09",10.91
"112","2017-03-10",11.05
"113","2017-03-13",11.44
"114","2017-03-14",11.14
"115","2017-03-15",11.37
"116","2017-03-16",11.73
"117","2017-03-17",11.15
"118","2017-03-20",11.29
"119","2017-03-21",11.29
"120","2017-03-22",10.68
"121","2017-03-23",10.99
"122","2017-03-24",11
"123","2017-03-27",11.04
"124","2017-03-28",11.09
"125","2017-03-29",10.9
"126","2017-03-30",10.92
"127","2017-03-31",10.92
"128","2017-04-03",10.94
"129","2017-04-04",11.01
"130","2017-04-05",10.95
"131","2017-04-06",11.07
"132","2017-04-07",11.04
"133","2017-04-10",11.04
"134","2017-04-11",11.07
"135","2017-04-12",11.02
"136","2017-04-13",10.85
"137","2017-04-17",10.75
"138","2017-04-18",10.6
"139","2017-04-19",10.45
"140","2017-04-20",10.55
"141","2017-04-21",10.59
"142","2017-04-24",10.59
"143","2017-04-25",10.59
"144","2017-04-26",10.26
"145","2017-04-27",10.07
"146","2017-04-28",10.19
"147","2017-05-01",10.49
"148","2017-05-02",10.46
"149","2017-05-03",10.71
"150","2017-05-04",10.7
"151","2017-05-05",10.62
"152","2017-05-08",10.71
"153","2017-05-09",7.11
"154","2017-05-10",7.38
"155","2017-05-11",7.48
"156","2017-05-12",7.5
"157","2017-05-15",7.4
"158","2017-05-16",7.1
"159","2017-05-17",6.91
"160","2017-05-18",7.03
"161","2017-05-19",6.8
"162","2017-05-22",6.75
"163","2017-05-23",6.6
"164","2017-05-24",6.5
"165","2017-05-25",6.43
"166","2017-05-26",6.13
"167","2017-05-30",6.15
"168","2017-05-31",6.17
"169","2017-06-01",6.24
"170","2017-06-02",6.2
"171","2017-06-05",6.11
"172","2017-06-06",5.61
"173","2017-06-07",4.9
"174","2017-06-08",4.99
"175","2017-06-09",4.94
"176","2017-06-12",4.93
"177","2017-06-13",5
"178","2017-06-14",5.4
"179","2017-06-15",5.35
"180","2017-06-16",5.24
"181","2017-06-19",5.36
"182","2017-06-20",6.73
"183","2017-06-21",7.34
"184","2017-06-22",6.36
"185","2017-06-23",6.95
"186","2017-06-26",6.74
"187","2017-06-27",7
"188","2017-06-28",6.79
"189","2017-06-29",6.67
"190","2017-06-30",6.39
"191","2017-07-03",6.76
"192","2017-07-05",6.76
"193","2017-07-06",6.26
"194","2017-07-07",6.36
"195","2017-07-10",6.6
"196","2017-07-11",6.33
"197","2017-07-12",6.23
"198","2017-07-13",6.19
"199","2017-07-14",6.17
"200","2017-07-17",6.25
"201","2017-07-18",6.31
"202","2017-07-19",6.27
"203","2017-07-20",6.36
"204","2017-07-21",6.6
"205","2017-07-24",6.62
"206","2017-07-25",6.53
"207","2017-07-26",6.5
"208","2017-07-27",6.62
"209","2017-07-28",6.49
"210","2017-07-31",6.24
"211","2017-08-01",6.22
"212","2017-08-02",6.36
"213","2017-08-03",6.28
"214","2017-08-04",6.39
"215","2017-08-07",6.14
"216","2017-08-08",5.39
"217","2017-08-09",5.64
"218","2017-08-10",5.78
"219","2017-08-11",5.76
"220","2017-08-14",5.92
"221","2017-08-15",5.74
"222","2017-08-16",5.95
"223","2017-08-17",6.04
"224","2017-08-18",5.88
"225","2017-08-21",5.96
"226","2017-08-22",5.86
"227","2017-08-23",5.69
"228","2017-08-24",5.43
"229","2017-08-25",5.22
"230","2017-08-28",5.49
"231","2017-08-29",5.46
"232","2017-08-30",5.64
"233","2017-08-31",5.43
"234","2017-09-01",5.18
"235","2017-09-05",5.07
"236","2017-09-06",5.34
"237","2017-09-07",5.17
"238","2017-09-08",5.41
"239","2017-09-11",5.91
"240","2017-09-12",5.51
"241","2017-09-13",5.24
"242","2017-09-14",5.22
"243","2017-09-15",4.97
"244","2017-09-18",4.96
"245","2017-09-19",4.79
"246","2017-09-20",4.65
"247","2017-09-21",4.64
"248","2017-09-22",4.57
"249","2017-09-25",4.57
"250","2017-09-26",4.59
"251","2017-09-27",4.71
"252","2017-09-28",4.84
"253","2017-09-29",4.79
"254","2017-10-02",4.78
"255","2017-10-03",4.78
"256","2017-10-04",4.9
"257","2017-10-05",4.75
"258","2017-10-06",4.79
"259","2017-10-09",4.71
"260","2017-10-10",4.57
"261","2017-10-11",4.5
"262","2017-10-12",4.32
"263","2017-10-13",4.03
"264","2017-10-16",4.19
"265","2017-10-17",3.8
"266","2017-10-18",3.67
"267","2017-10-19",3.84
"268","2017-10-20",3.94
"269","2017-10-23",3.75
"270","2017-10-24",3.92
"271","2017-10-25",3.9
"272","2017-10-26",3.9
"273","2017-10-27",3.82
"274","2017-10-30",4.23
"275","2017-10-31",3.94
"276","2017-11-01",3.89
"277","2017-11-02",3.78
"278","2017-11-03",3.458
"279","2017-11-06",4.05
"280","2017-11-07",3.47
"281","2017-11-08",3.43
"282","2017-11-09",3.355
"283","2017-11-10",3.32
"284","2017-11-13",3.26
"285","2017-11-14",3.32
"286","2017-11-15",3.3
"287","2017-11-16",3.19
"288","2017-11-17",3.26
"289","2017-11-20",3.15
"290","2017-11-21",3.01
"291","2017-11-22",3.16
"292","2017-11-24",3.42
"293","2017-11-27",3.55
"294","2017-11-28",3.49
"295","2017-11-29",3.55
"296","2017-11-30",3.65
"297","2017-12-01",3.75
"298","2017-12-04",3.67
"299","2017-12-05",3.6
"300","2017-12-06",3.49
"301","2017-12-07",3.45
"302","2017-12-08",3.59
"303","2017-12-11",3.5
"304","2017-12-12",3.5
"305","2017-12-13",3.4
"306","2017-12-14",3.4
"307","2017-12-15",3.47
"308","2017-12-18",3.58
"309","2017-12-19",4.02
"310","2017-12-20",4.41
"311","2017-12-21",4.32
"312","2017-12-22",4.12
"313","2017-12-26",4.02
"314","2017-12-27",4.22
"315","2017-12-28",4.26
"316","2017-12-29",4.38
"317","2018-01-02",4.23
"318","2018-01-03",4.225
"319","2018-01-04",4.46
"320","2018-01-05",4.45
"321","2018-01-08",4.52
"322","2018-01-09",4.59
"323","2018-01-10",4.64
"324","2018-01-11",4.99
"325","2018-01-12",4.86
"326","2018-01-16",4.91
"327","2018-01-17",5.005
"328","2018-01-18",4.89
"329","2018-01-19",5.02
"330","2018-01-22",5.18
"331","2018-01-23",5.19
"332","2018-01-24",5.05
"333","2018-01-25",5.11
"334","2018-01-26",5.18
"335","2018-01-29",5.07
"336","2018-01-30",4.8
"337","2018-01-31",4.47
"338","2018-02-01",4.6
"339","2018-02-02",4.49
"340","2018-02-05",4.46
"341","2018-02-06",4.39
"342","2018-02-07",4.46
"343","2018-02-08",4.5
"344","2018-02-09",4.41
"345","2018-02-12",4.3
"346","2018-02-13",4.61
"347","2018-02-14",4.71
"348","2018-02-15",4.7
"349","2018-02-16",4.7
"350","2018-02-20",4.47
"351","2018-02-21",4.64
"352","2018-02-22",4.49
"353","2018-02-23",4.65
"354","2018-02-26",4.7
"355","2018-02-27",4.74
"356","2018-02-28",4.79
"357","2018-03-01",4.31
"358","2018-03-02",3.82
"359","2018-03-05",3.75
"360","2018-03-06",3.8
"361","2018-03-07",3.81
"362","2018-03-08",3.8
