"","date","CHGG"
"1","2013-11-13",9.68
"2","2013-11-14",8.88
"3","2013-11-15",9.13
"4","2013-11-18",9
"5","2013-11-19",8.72
"6","2013-11-20",7.97
"7","2013-11-21",7.86
"8","2013-11-22",7.49
"9","2013-11-25",7.72
"10","2013-11-26",8.15
"11","2013-11-27",8.39
"12","2013-11-29",8.21
"13","2013-12-02",8.83
"14","2013-12-03",9.2
"15","2013-12-04",9.44
"16","2013-12-05",9.49
"17","2013-12-06",9.57
"18","2013-12-09",8.89
"19","2013-12-10",9
"20","2013-12-11",8.58
"21","2013-12-12",8.2
"22","2013-12-13",8.01
"23","2013-12-16",8.28
"24","2013-12-17",8.29
"25","2013-12-18",8.28
"26","2013-12-19",8.59
"27","2013-12-20",8.41
"28","2013-12-23",8.36
"29","2013-12-24",8.31
"30","2013-12-26",8.33
"31","2013-12-27",8.35
"32","2013-12-30",8.64
"33","2013-12-31",8.51
"34","2014-01-02",8.31
"35","2014-01-03",8.21
"36","2014-01-06",8.26
"37","2014-01-07",8.22
"38","2014-01-08",7.78
"39","2014-01-09",7.8
"40","2014-01-10",7.61
"41","2014-01-13",7.18
"42","2014-01-14",7.21
"43","2014-01-15",7.18
"44","2014-01-16",7.23
"45","2014-01-17",7.25
"46","2014-01-21",7.25
"47","2014-01-22",7.25
"48","2014-01-23",7.23
"49","2014-01-24",7.21
"50","2014-01-27",6.9
"51","2014-01-28",6.98
"52","2014-01-29",6.74
"53","2014-01-30",6.75
"54","2014-01-31",6.67
"55","2014-02-03",6.9
"56","2014-02-04",6.87
"57","2014-02-05",6.86
"58","2014-02-06",6.92
"59","2014-02-07",7.12
"60","2014-02-10",7.22
"61","2014-02-11",7.38
"62","2014-02-12",7.47
"63","2014-02-13",7.94
"64","2014-02-14",6.17
"65","2014-02-18",6.45
"66","2014-02-19",6.47
"67","2014-02-20",6.56
"68","2014-02-21",6.4
"69","2014-02-24",6.56
"70","2014-02-25",6.43
"71","2014-02-26",6.36
"72","2014-02-27",6.37
"73","2014-02-28",6.3
"74","2014-03-03",6.35
"75","2014-03-04",6.39
"76","2014-03-05",6.35
"77","2014-03-06",6.29
"78","2014-03-07",6.38
"79","2014-03-10",6.37
"80","2014-03-11",6.37
"81","2014-03-12",6.42
"82","2014-03-13",6.56
"83","2014-03-14",6.53
"84","2014-03-17",6.88
"85","2014-03-18",6.92
"86","2014-03-19",7.04
"87","2014-03-20",7.08
"88","2014-03-21",7.19
"89","2014-03-24",7.16
"90","2014-03-25",7.24
"91","2014-03-26",7.11
"92","2014-03-27",6.94
"93","2014-03-28",6.93
"94","2014-03-31",7
"95","2014-04-01",7.27
"96","2014-04-02",7.25
"97","2014-04-03",7.09
"98","2014-04-04",6.81
"99","2014-04-07",6.52
"100","2014-04-08",6.54
"101","2014-04-09",6.54
"102","2014-04-10",6.15
"103","2014-04-11",5.72
"104","2014-04-14",5.63
"105","2014-04-15",5.22
"106","2014-04-16",5.36
"107","2014-04-17",5.5
"108","2014-04-21",5.25
"109","2014-04-22",5.27
"110","2014-04-23",5.23
"111","2014-04-24",5.24
"112","2014-04-25",5.31
"113","2014-04-28",5.25
"114","2014-04-29",5.4
"115","2014-04-30",5.27
"116","2014-05-01",5.47
"117","2014-05-02",5.82
"118","2014-05-05",5.86
"119","2014-05-06",5.9
"120","2014-05-07",5.47
"121","2014-05-08",5.4
"122","2014-05-09",5.21
"123","2014-05-12",5.31
"124","2014-05-13",5.44
"125","2014-05-14",5.34
"126","2014-05-15",5.24
"127","2014-05-16",5.27
"128","2014-05-19",5.27
"129","2014-05-20",5.34
"130","2014-05-21",5.48
"131","2014-05-22",5.49
"132","2014-05-23",5.51
"133","2014-05-27",5.68
"134","2014-05-28",5.58
"135","2014-05-29",5.61
"136","2014-05-30",5.57
"137","2014-06-02",5.41
"138","2014-06-03",5.81
"139","2014-06-04",5.89
"140","2014-06-05",6
"141","2014-06-06",6.28
"142","2014-06-09",6.77
"143","2014-06-10",6.63
"144","2014-06-11",6.85
"145","2014-06-12",6.38
"146","2014-06-13",6.37
"147","2014-06-16",7.3
"148","2014-06-17",7.38
"149","2014-06-18",7.62
"150","2014-06-19",7.6
"151","2014-06-20",7.72
"152","2014-06-23",7.72
"153","2014-06-24",7.81
"154","2014-06-25",7.81
"155","2014-06-26",7.26
"156","2014-06-27",7.29
"157","2014-06-30",7.04
"158","2014-07-01",6.77
"159","2014-07-02",6.82
"160","2014-07-03",6.84
"161","2014-07-07",6.76
"162","2014-07-08",6.55
"163","2014-07-09",6.56
"164","2014-07-10",6.5
"165","2014-07-11",6.5
"166","2014-07-14",6.52
"167","2014-07-15",6.35
"168","2014-07-16",6.13
"169","2014-07-17",5.82
"170","2014-07-18",6.02
"171","2014-07-21",6.08
"172","2014-07-22",6.06
"173","2014-07-23",5.92
"174","2014-07-24",5.98
"175","2014-07-25",6.05
