"","date","IRBT"
"1","2007-01-03",17.99
"2","2007-01-04",17.870001
"3","2007-01-05",17.77
"4","2007-01-08",17.559999
"5","2007-01-09",18.200001
"6","2007-01-10",17.889999
"7","2007-01-11",18.09
"8","2007-01-12",18.09
"9","2007-01-16",18.639999
"10","2007-01-17",18.4
"11","2007-01-18",18.26
"12","2007-01-19",18.290001
"13","2007-01-22",18
"14","2007-01-23",18.139999
"15","2007-01-24",18.459999
"16","2007-01-25",18.290001
"17","2007-01-26",18.48
"18","2007-01-29",18.58
"19","2007-01-30",18.23
"20","2007-01-31",18.27
"21","2007-02-01",18.110001
"22","2007-02-02",18.290001
"23","2007-02-05",18.290001
"24","2007-02-06",18.139999
"25","2007-02-07",18.09
"26","2007-02-08",18.02
"27","2007-02-09",17.92
"28","2007-02-12",19.09
"29","2007-02-13",16.299999
"30","2007-02-14",15.52
"31","2007-02-15",15.32
"32","2007-02-16",15.78
"33","2007-02-20",15.76
"34","2007-02-21",15.33
"35","2007-02-22",15.05
"36","2007-02-23",15.03
"37","2007-02-26",14.81
"38","2007-02-27",14.36
"39","2007-02-28",13.91
"40","2007-03-01",14.1
"41","2007-03-02",13.86
"42","2007-03-05",13.21
"43","2007-03-06",14.39
"44","2007-03-07",14.97
"45","2007-03-08",14.62
"46","2007-03-09",14.51
"47","2007-03-12",14.29
"48","2007-03-13",14
"49","2007-03-14",13.45
"50","2007-03-15",13.45
"51","2007-03-16",12.93
"52","2007-03-19",12.87
"53","2007-03-20",13.05
"54","2007-03-21",13.25
"55","2007-03-22",13.24
"56","2007-03-23",13.4
"57","2007-03-26",13.26
"58","2007-03-27",13.11
"59","2007-03-28",12.8
"60","2007-03-29",12.92
"61","2007-03-30",13.07
"62","2007-04-02",13.19
"63","2007-04-03",14.88
"64","2007-04-04",14.43
"65","2007-04-05",14.63
"66","2007-04-09",14.73
"67","2007-04-10",14.46
"68","2007-04-11",14.23
"69","2007-04-12",14.48
"70","2007-04-13",14.3
"71","2007-04-16",14.46
"72","2007-04-17",14.69
"73","2007-04-18",14.4
"74","2007-04-19",14.27
"75","2007-04-20",14.7
"76","2007-04-23",15
"77","2007-04-24",15.27
"78","2007-04-25",15.38
"79","2007-04-26",16.360001
"80","2007-04-27",16.16
"81","2007-04-30",15.85
"82","2007-05-01",15.95
"83","2007-05-02",15.5
"84","2007-05-03",15.4
"85","2007-05-04",15.47
"86","2007-05-07",15.87
"87","2007-05-08",15.7
"88","2007-05-09",15.54
"89","2007-05-10",15.58
"90","2007-05-11",15.58
"91","2007-05-14",15.26
"92","2007-05-15",15.24
"93","2007-05-16",15.5
"94","2007-05-17",15.34
"95","2007-05-18",15.65
"96","2007-05-21",16.030001
"97","2007-05-22",16
"98","2007-05-23",15.97
"99","2007-05-24",16.16
"100","2007-05-25",16.030001
"101","2007-05-29",16.190001
"102","2007-05-30",16.690001
"103","2007-05-31",16.459999
"104","2007-06-01",16.110001
"105","2007-06-04",16.15
"106","2007-06-05",16.41
"107","2007-06-06",16.629999
"108","2007-06-07",16.5
"109","2007-06-08",16.709999
"110","2007-06-11",16.610001
"111","2007-06-12",16.530001
"112","2007-06-13",16.58
"113","2007-06-14",17.24
"114","2007-06-15",18
"115","2007-06-18",18.1
"116","2007-06-19",18.120001
"117","2007-06-20",19.110001
"118","2007-06-21",19.99
"119","2007-06-22",20.030001
"120","2007-06-25",20.129999
"121","2007-06-26",19.459999
"122","2007-06-27",19.059999
"123","2007-06-28",20
"124","2007-06-29",19.85
"125","2007-07-02",19.459999
"126","2007-07-03",19.299999
"127","2007-07-05",19.4
"128","2007-07-06",19.17
"129","2007-07-09",19.26
"130","2007-07-10",19.370001
"131","2007-07-11",19.58
"132","2007-07-12",20.639999
"133","2007-07-13",20.52
"134","2007-07-16",20.370001
"135","2007-07-17",19.66
"136","2007-07-18",19.139999
"137","2007-07-19",19.59
"138","2007-07-20",19.040001
"139","2007-07-23",18.790001
"140","2007-07-24",18.65
"141","2007-07-25",18.549999
"142","2007-07-26",19.120001
"143","2007-07-27",18.74
"144","2007-07-30",18.24
"145","2007-07-31",17.879999
"146","2007-08-01",17.700001
"147","2007-08-02",17.68
"148","2007-08-03",17.209999
"149","2007-08-06",16.559999
"150","2007-08-07",16.5
"151","2007-08-08",19.49
"152","2007-08-09",20.15
"153","2007-08-10",19.530001
"154","2007-08-13",19.34
"155","2007-08-14",21.73
"156","2007-08-15",22.24
"157","2007-08-16",22.15
"158","2007-08-17",21.549999
"159","2007-08-20",21.969999
"160","2007-08-21",21.77
"161","2007-08-22",21.49
"162","2007-08-23",21.77
"163","2007-08-24",21.790001
"164","2007-08-27",20.85
"165","2007-08-28",20.129999
"166","2007-08-29",21
"167","2007-08-30",21.889999
"168","2007-08-31",22.059999
"169","2007-09-04",22.17
"170","2007-09-05",23.67
"171","2007-09-06",23.67
"172","2007-09-07",22.42
"173","2007-09-10",22.5
"174","2007-09-11",23.08
"175","2007-09-12",23.129999
"176","2007-09-13",24.23
"177","2007-09-14",23.620001
"178","2007-09-17",18.27
"179","2007-09-18",17.49
"180","2007-09-19",17.58
"181","2007-09-20",17.65
"182","2007-09-21",17.75
"183","2007-09-24",18.9
"184","2007-09-25",18.73
"185","2007-09-26",19.030001
"186","2007-09-27",19.99
"187","2007-09-28",19.879999
"188","2007-10-01",19.9
"189","2007-10-02",20.309999
"190","2007-10-03",20.23
"191","2007-10-04",19.98
"192","2007-10-05",19.74
