"","date","SPKE"
"1","2014-07-29",8.935
"2","2014-07-30",8.655
"3","2014-07-31",8.565
"4","2014-08-01",8.595
"5","2014-08-04",8.75
"6","2014-08-05",8.615
"7","2014-08-06",8.85
"8","2014-08-07",8.805
"9","2014-08-08",8.825
"10","2014-08-11",8.87
"11","2014-08-12",8.775
"12","2014-08-13",8.6
"13","2014-08-14",8.83
"14","2014-08-15",8.75
"15","2014-08-18",8.87
"16","2014-08-19",8.825
"17","2014-08-20",8.755
"18","2014-08-21",8.84
"19","2014-08-22",8.935
"20","2014-08-25",8.715
"21","2014-08-26",8.875
"22","2014-08-27",8.85
"23","2014-08-28",8.835
"24","2014-08-29",8.765
"25","2014-09-02",8.825
"26","2014-09-03",8.735
"27","2014-09-04",8.735
"28","2014-09-05",8.7
"29","2014-09-08",8.695
"30","2014-09-09",8.71
"31","2014-09-10",8.6
"32","2014-09-11",8.55
"33","2014-09-12",8.5
"34","2014-09-15",8.335
"35","2014-09-16",8.315
"36","2014-09-17",8.285
"37","2014-09-18",8.32
"38","2014-09-19",8.34
"39","2014-09-22",8.155
"40","2014-09-23",8.55
"41","2014-09-24",8.695
"42","2014-09-25",8.65
"43","2014-09-26",8.69
"44","2014-09-29",8.8675
"45","2014-09-30",8.685
"46","2014-10-01",8.545
"47","2014-10-02",8.555
"48","2014-10-03",8.685
"49","2014-10-06",8.4
"50","2014-10-07",8.325
"51","2014-10-08",8.61
"52","2014-10-09",8.615
"53","2014-10-10",8.6
"54","2014-10-13",8.54
"55","2014-10-14",8.565
"56","2014-10-15",8.52
"57","2014-10-16",8.26
"58","2014-10-17",8.295
"59","2014-10-20",8.35
"60","2014-10-21",8.345
"61","2014-10-22",8.25
"62","2014-10-23",8.61
"63","2014-10-24",8.19
"64","2014-10-27",8.08
"65","2014-10-28",8.07
"66","2014-10-29",8.075
"67","2014-10-30",7.995
"68","2014-10-31",8.1
"69","2014-11-03",7.93
"70","2014-11-04",7.805
"71","2014-11-05",7.93
"72","2014-11-06",8.27
"73","2014-11-07",8.33
"74","2014-11-10",8.165
"75","2014-11-11",8.055
"76","2014-11-12",8.35
"77","2014-11-13",8.175
"78","2014-11-14",8.12
"79","2014-11-17",8.76
"80","2014-11-18",8.58
"81","2014-11-19",8.36
"82","2014-11-20",8.05
"83","2014-11-21",7.89
"84","2014-11-24",7.48
"85","2014-11-25",7.06
"86","2014-11-26",7.06
"87","2014-11-28",7.005
"88","2014-12-01",6.72
"89","2014-12-02",6.72
"90","2014-12-03",6.765
"91","2014-12-04",6.865
"92","2014-12-05",6.985
"93","2014-12-08",6.905
"94","2014-12-09",6.95
"95","2014-12-10",6.925
"96","2014-12-11",7.025
"97","2014-12-12",7.365
"98","2014-12-15",7.325
"99","2014-12-16",7.445
"100","2014-12-17",7.51
"101","2014-12-18",7.495
"102","2014-12-19",7.145
"103","2014-12-22",7.13
"104","2014-12-23",6.915
"105","2014-12-24",6.935
"106","2014-12-26",6.875
"107","2014-12-29",6.95
"108","2014-12-30",6.955
"109","2014-12-31",7.045
"110","2015-01-02",7.03
"111","2015-01-05",7
"112","2015-01-06",7.085
"113","2015-01-07",7.205
"114","2015-01-08",7.43
"115","2015-01-09",7.345
"116","2015-01-12",6.935
"117","2015-01-13",7.275
"118","2015-01-14",7.41
"119","2015-01-15",7.15
"120","2015-01-16",7.445
"121","2015-01-20",7.49
"122","2015-01-21",7.485
"123","2015-01-22",7.495
"124","2015-01-23",7.545
"125","2015-01-26",7.485
"126","2015-01-27",7.505
"127","2015-01-28",7.5
"128","2015-01-29",7.55
"129","2015-01-30",7.685
"130","2015-02-02",7.75
"131","2015-02-03",7.655
"132","2015-02-04",7.42
"133","2015-02-05",7.45
"134","2015-02-06",7.25
"135","2015-02-09",7.205
"136","2015-02-10",7.035
"137","2015-02-11",7.01
"138","2015-02-12",6.785
"139","2015-02-13",6.71
"140","2015-02-17",7.03
"141","2015-02-18",7.385
"142","2015-02-19",7.43
"143","2015-02-20",7.6
"144","2015-02-23",7.545
"145","2015-02-24",7.515
"146","2015-02-25",7.29
"147","2015-02-26",7.01
"148","2015-02-27",6.975
"149","2015-03-02",7.155
"150","2015-03-03",7.12
"151","2015-03-04",7.03
"152","2015-03-05",6.99
"153","2015-03-06",6.965
"154","2015-03-09",6.95
"155","2015-03-10",6.98
"156","2015-03-11",7.085
"157","2015-03-12",7.295
"158","2015-03-13",7.12
"159","2015-03-16",7.17
"160","2015-03-17",7.215
"161","2015-03-18",7.46
"162","2015-03-19",7.53
"163","2015-03-20",7.465
"164","2015-03-23",7.385
"165","2015-03-24",7.22
"166","2015-03-25",7.075
"167","2015-03-26",7.265
"168","2015-03-27",7.7
"169","2015-03-30",7.525
"170","2015-03-31",7.375
"171","2015-04-01",7.425
"172","2015-04-02",7.14
"173","2015-04-06",7.405
"174","2015-04-07",7.175
"175","2015-04-08",6.91
"176","2015-04-09",7.03
"177","2015-04-10",7.02
"178","2015-04-13",6.985
"179","2015-04-14",6.625
"180","2015-04-15",6.99
"181","2015-04-16",6.75
"182","2015-04-17",6.19
"183","2015-04-20",6.13
"184","2015-04-21",6.44
"185","2015-04-22",6.485
"186","2015-04-23",6.52
"187","2015-04-24",6.5
"188","2015-04-27",6.275
"189","2015-04-28",6.075
"190","2015-04-29",6.32
"191","2015-04-30",6.25
"192","2015-05-01",6.36
"193","2015-05-04",6.32
"194","2015-05-05",6.26
"195","2015-05-06",6.285
"196","2015-05-07",6.235
"197","2015-05-08",6.185
"198","2015-05-11",6.035
