"","date","CHY"
"1","2007-01-03",17.030001
"2","2007-01-04",16.959999
"3","2007-01-05",17
"4","2007-01-08",17.02
"5","2007-01-09",17.110001
"6","2007-01-10",17.01
"7","2007-01-11",17
"8","2007-01-12",17.030001
"9","2007-01-16",17.01
"10","2007-01-17",17.030001
"11","2007-01-18",17.1
"12","2007-01-19",17.26
"13","2007-01-22",17.299999
"14","2007-01-23",17.280001
"15","2007-01-24",17.32
"16","2007-01-25",17.32
"17","2007-01-26",17.34
"18","2007-01-29",17.360001
"19","2007-01-30",17.34
"20","2007-01-31",17.379999
"21","2007-02-01",17.360001
"22","2007-02-02",17.4
"23","2007-02-05",17.43
"24","2007-02-06",17.389999
"25","2007-02-07",17.33
"26","2007-02-08",17.139999
"27","2007-02-09",17.200001
"28","2007-02-12",17.02
"29","2007-02-13",16.959999
"30","2007-02-14",17.059999
"31","2007-02-15",17.07
"32","2007-02-16",17.08
"33","2007-02-20",17.040001
"34","2007-02-21",16.969999
"35","2007-02-22",16.91
"36","2007-02-23",17.01
"37","2007-02-26",17.049999
"38","2007-02-27",16.9
"39","2007-02-28",16.98
"40","2007-03-01",16.92
"41","2007-03-02",16.76
"42","2007-03-05",16.530001
"43","2007-03-06",16.52
"44","2007-03-07",16.629999
"45","2007-03-08",16.58
"46","2007-03-09",16.629999
"47","2007-03-12",16.629999
"48","2007-03-13",16.34
"49","2007-03-14",16.33
"50","2007-03-15",16.469999
"51","2007-03-16",16.35
"52","2007-03-19",16.459999
"53","2007-03-20",16.48
"54","2007-03-21",16.6
"55","2007-03-22",16.73
"56","2007-03-23",16.98
"57","2007-03-26",17
"58","2007-03-27",16.879999
"59","2007-03-28",16.959999
"60","2007-03-29",16.940001
"61","2007-03-30",16.940001
"62","2007-04-02",16.98
"63","2007-04-03",16.940001
"64","2007-04-04",16.98
"65","2007-04-05",17.1
"66","2007-04-09",17.040001
"67","2007-04-10",17
"68","2007-04-11",16.870001
"69","2007-04-12",16.84
"70","2007-04-13",17.040001
"71","2007-04-16",16.969999
"72","2007-04-17",17.1
"73","2007-04-18",17.059999
"74","2007-04-19",17.049999
"75","2007-04-20",16.950001
"76","2007-04-23",16.940001
"77","2007-04-24",16.969999
"78","2007-04-25",17.030001
"79","2007-04-26",17.07
"80","2007-04-27",17.01
"81","2007-04-30",17.040001
"82","2007-05-01",17.139999
"83","2007-05-02",17.200001
"84","2007-05-03",17.209999
"85","2007-05-04",17.18
"86","2007-05-07",17.219999
"87","2007-05-08",17.26
"88","2007-05-09",17.08
"89","2007-05-10",17.110001
"90","2007-05-11",17.139999
"91","2007-05-14",17.139999
"92","2007-05-15",17.120001
"93","2007-05-16",17.15
"94","2007-05-17",17.15
"95","2007-05-18",17.17
"96","2007-05-21",17.15
"97","2007-05-22",17.16
"98","2007-05-23",17.190001
"99","2007-05-24",17.16
"100","2007-05-25",17.129999
"101","2007-05-29",17.32
"102","2007-05-30",17.33
"103","2007-05-31",17.32
"104","2007-06-01",17.25
"105","2007-06-04",17.190001
"106","2007-06-05",17.200001
"107","2007-06-06",17.08
"108","2007-06-07",16.25
"109","2007-06-08",16.6
"110","2007-06-11",16.799999
"111","2007-06-12",16.51
"112","2007-06-13",16.65
"113","2007-06-14",16.52
"114","2007-06-15",16.41
"115","2007-06-18",16.299999
"116","2007-06-19",16.32
"117","2007-06-20",16.309999
"118","2007-06-21",16.120001
"119","2007-06-22",16.059999
"120","2007-06-25",15.75
"121","2007-06-26",15.58
"122","2007-06-27",16
"123","2007-06-28",16.190001
"124","2007-06-29",16.26
"125","2007-07-02",16.24
"126","2007-07-03",16.459999
"127","2007-07-05",16.5
"128","2007-07-06",16.459999
"129","2007-07-09",16.43
"130","2007-07-10",16.040001
"131","2007-07-11",15.95
"132","2007-07-12",15.99
"133","2007-07-13",15.89
"134","2007-07-16",15.58
"135","2007-07-17",15.58
"136","2007-07-18",15.3
"137","2007-07-19",15.32
"138","2007-07-20",15.34
"139","2007-07-23",15.13
"140","2007-07-24",14.71
"141","2007-07-25",14.56
"142","2007-07-26",14.62
"143","2007-07-27",15.07
"144","2007-07-30",14.86
"145","2007-07-31",15.09
"146","2007-08-01",15
"147","2007-08-02",15.33
"148","2007-08-03",15.25
"149","2007-08-06",15.15
"150","2007-08-07",14.86
"151","2007-08-08",15.01
"152","2007-08-09",14.58
"153","2007-08-10",14.06
"154","2007-08-13",14.11
