"","date","RDY"
"1","2007-01-03",18.1
"2","2007-01-04",18.5
"3","2007-01-05",18.16
"4","2007-01-08",18.1
"5","2007-01-09",17.870001
"6","2007-01-10",17.35
"7","2007-01-11",17.790001
"8","2007-01-12",18.200001
"9","2007-01-16",18.16
"10","2007-01-17",18.52
"11","2007-01-18",18.530001
"12","2007-01-19",18.58
"13","2007-01-22",18.139999
"14","2007-01-23",17.290001
"15","2007-01-24",17.459999
"16","2007-01-25",17.15
"17","2007-01-26",17.290001
"18","2007-01-29",16.93
"19","2007-01-30",16.93
"20","2007-01-31",16.870001
"21","2007-02-01",16.93
"22","2007-02-02",17.18
"23","2007-02-05",17.049999
"24","2007-02-06",16.99
"25","2007-02-07",16.950001
"26","2007-02-08",16.73
"27","2007-02-09",16.51
"28","2007-02-12",16.700001
"29","2007-02-13",16.58
"30","2007-02-14",16.700001
"31","2007-02-15",16.870001
"32","2007-02-16",17.16
"33","2007-02-20",17.26
"34","2007-02-21",16.950001
"35","2007-02-22",16.299999
"36","2007-02-23",16.25
"37","2007-02-26",15.9
"38","2007-02-27",15.18
"39","2007-02-28",15
"40","2007-03-01",14.79
"41","2007-03-02",14.57
"42","2007-03-05",14.51
"43","2007-03-06",14.74
"44","2007-03-07",14.79
"45","2007-03-08",15.16
"46","2007-03-09",15.05
"47","2007-03-12",15.04
"48","2007-03-13",14.85
"49","2007-03-14",15
"50","2007-03-15",15.12
"51","2007-03-16",15.29
"52","2007-03-19",15.35
"53","2007-03-20",15.5
"54","2007-03-21",15.88
"55","2007-03-22",15.87
"56","2007-03-23",15.82
"57","2007-03-26",15.71
"58","2007-03-27",15.68
"59","2007-03-28",15.93
"60","2007-03-29",16.49
"61","2007-03-30",16.459999
"62","2007-04-02",16.219999
"63","2007-04-03",17.049999
"64","2007-04-04",17
"65","2007-04-05",16.75
"66","2007-04-09",16.709999
"67","2007-04-10",16.620001
"68","2007-04-11",16.290001
"69","2007-04-12",16.48
"70","2007-04-13",16.67
"71","2007-04-16",17
