"","date","KCAC"
"1","2020-08-17",9.9
"2","2020-08-18",9.86
"3","2020-08-19",9.82
"4","2020-08-20",9.88
"5","2020-08-21",9.793
"6","2020-08-24",9.8
"7","2020-08-25",9.81
"8","2020-08-26",9.83
"9","2020-08-27",9.85
"10","2020-08-28",9.885
"11","2020-08-31",9.9
"12","2020-09-01",9.95
"13","2020-09-02",10
"14","2020-09-03",18.74
"15","2020-09-04",22.5
"16","2020-09-08",20.129999
"17","2020-09-09",18.5
"18","2020-09-10",18.25
"19","2020-09-11",17.629999
"20","2020-09-14",18.799999
"21","2020-09-15",18.35
"22","2020-09-16",18.66
"23","2020-09-17",17.879999
"24","2020-09-18",17.85
"25","2020-09-21",18.35
"26","2020-09-22",18.99
"27","2020-09-23",16.74
"28","2020-09-24",16
"29","2020-09-25",17.15
"30","2020-09-28",17.860001
"31","2020-09-29",16.9
"32","2020-09-30",16.75
"33","2020-10-01",16.65
"34","2020-10-02",15.93
"35","2020-10-05",14.95
"36","2020-10-06",13.7
"37","2020-10-07",13.72
"38","2020-10-08",14.1
"39","2020-10-09",14.75
"40","2020-10-12",15.7
"41","2020-10-13",15.1
"42","2020-10-14",14.5
"43","2020-10-15",14.65
"44","2020-10-16",14.48
"45","2020-10-19",14.54
"46","2020-10-20",15.1
"47","2020-10-21",14.19
"48","2020-10-22",13.75
"49","2020-10-23",13.87
"50","2020-10-26",12.92
"51","2020-10-27",12.4
"52","2020-10-28",11.59
"53","2020-10-29",12
"54","2020-10-30",11.8
"55","2020-11-02",12.01
"56","2020-11-03",13
"57","2020-11-04",12.93
"58","2020-11-05",12.95
"59","2020-11-06",14.15
"60","2020-11-09",14.15
"61","2020-11-10",14.13
"62","2020-11-11",14.14
"63","2020-11-12",14.3
"64","2020-11-13",19.5
"65","2020-11-16",19.67
"66","2020-11-17",17.200001
"67","2020-11-18",18.110001
"68","2020-11-19",20
"69","2020-11-20",20.139999
"70","2020-11-23",22.049999
"71","2020-11-24",21.629999
"72","2020-11-25",23.5
