"","date","AHCO"
"1","2018-05-31",9.7
"2","2018-06-01",9.7
"3","2018-06-04",9.7
"4","2018-06-05",9.7
"5","2018-06-06",9.7
"6","2018-06-07",9.7
"7","2018-06-08",9.7
"8","2018-06-11",9.7
"9","2018-06-12",9.7
"10","2018-06-13",9.7
"11","2018-06-14",9.75
"12","2018-06-15",9.75
"13","2018-06-18",9.65
"14","2018-06-19",9.65
"15","2018-06-20",9.65
"16","2018-06-21",9.8
"17","2018-06-22",9.8
"18","2018-06-25",9.8
"19","2018-06-26",9.8
"20","2018-06-27",9.75
"21","2018-06-28",9.75
"22","2018-06-29",9.62
"23","2018-07-02",9.61
"24","2018-07-03",9.61
"25","2018-07-05",9.61
"26","2018-07-06",9.6
"27","2018-07-09",9.6
"28","2018-07-10",9.6
"29","2018-07-11",9.6
"30","2018-07-12",9.6
"31","2018-07-13",9.6
"32","2018-07-16",9.6
"33","2018-07-17",9.6
"34","2018-07-18",9.6
"35","2018-07-19",9.61
"36","2018-07-20",9.61
"37","2018-07-23",9.61
"38","2018-07-24",9.61
"39","2018-07-25",9.61
"40","2018-07-26",9.64
"41","2018-07-27",9.63
"42","2018-07-30",9.7
"43","2018-07-31",9.7
"44","2018-08-01",9.7
"45","2018-08-02",9.77
"46","2018-08-03",9.77
"47","2018-08-06",9.77
"48","2018-08-07",9.72
"49","2018-08-08",9.72
"50","2018-08-09",9.72
"51","2018-08-10",9.72
"52","2018-08-13",9.75
"53","2018-08-14",9.76
"54","2018-08-15",9.76
"55","2018-08-16",9.76
"56","2018-08-17",9.76
"57","2018-08-20",9.8
"58","2018-08-21",9.8
"59","2018-08-22",9.75
"60","2018-08-23",9.76
"61","2018-08-24",9.75
"62","2018-08-27",9.73
"63","2018-08-28",9.73
"64","2018-08-29",9.73
"65","2018-08-30",9.74
"66","2018-08-31",9.74
"67","2018-09-04",9.74
"68","2018-09-05",9.74
"69","2018-09-06",9.74
"70","2018-09-07",9.73
"71","2018-09-10",9.73
"72","2018-09-11",9.73
"73","2018-09-12",9.73
"74","2018-09-13",9.73
"75","2018-09-14",9.73
"76","2018-09-17",9.73
"77","2018-09-18",9.73
"78","2018-09-19",9.7
"79","2018-09-20",9.72
"80","2018-09-21",9.72
"81","2018-09-24",9.72
"82","2018-09-25",9.72
"83","2018-09-26",9.72
"84","2018-09-27",9.72
"85","2018-09-28",9.72
"86","2018-10-01",9.72
"87","2018-10-02",9.72
"88","2018-10-03",9.72
"89","2018-10-04",9.72
"90","2018-10-05",9.75
"91","2018-10-08",9.73
"92","2018-10-09",9.72
"93","2018-10-10",9.73
"94","2018-10-11",9.72
"95","2018-10-12",9.72
"96","2018-10-15",9.72
"97","2018-10-16",9.72
"98","2018-10-17",9.72
"99","2018-10-18",9.72
"100","2018-10-19",9.72
"101","2018-10-22",9.74
"102","2018-10-23",9.74
"103","2018-10-24",9.74
"104","2018-10-25",9.74
"105","2018-10-26",9.78
"106","2018-10-29",9.78
"107","2018-10-30",9.78
"108","2018-10-31",9.78
"109","2018-11-01",9.78
"110","2018-11-02",9.78
"111","2018-11-05",9.76
"112","2018-11-06",9.76
"113","2018-11-07",9.76
"114","2018-11-08",9.76
"115","2018-11-09",9.79
"116","2018-11-12",9.78
"117","2018-11-13",9.77
"118","2018-11-14",10
"119","2018-11-15",9.88
"120","2018-11-16",9.84
"121","2018-11-19",9.86
"122","2018-11-20",9.85
"123","2018-11-21",9.84
"124","2018-11-23",9.84
"125","2018-11-26",9.83
"126","2018-11-27",9.8
"127","2018-11-28",9.81
"128","2018-11-29",9.82
"129","2018-11-30",9.8
"130","2018-12-03",9.81
"131","2018-12-04",9.81
"132","2018-12-06",9.8
"133","2018-12-07",9.8
"134","2018-12-10",9.82
"135","2018-12-11",9.82
"136","2018-12-12",9.82
"137","2018-12-13",9.82
"138","2018-12-14",9.82
"139","2018-12-17",9.82
"140","2018-12-18",9.82
"141","2018-12-19",9.82
"142","2018-12-20",9.83
"143","2018-12-21",9.83
"144","2018-12-24",9.83
"145","2018-12-26",9.83
"146","2018-12-27",9.83
"147","2018-12-28",9.83
"148","2018-12-31",9.83
"149","2019-01-02",9.83
"150","2019-01-03",9.84
"151","2019-01-04",9.85
"152","2019-01-07",9.85
"153","2019-01-08",9.85
"154","2019-01-09",9.88
"155","2019-01-10",9.85
"156","2019-01-11",9.84
"157","2019-01-14",9.84
"158","2019-01-15",9.85
"159","2019-01-16",9.98
"160","2019-01-17",9.97
"161","2019-01-18",9.97
"162","2019-01-22",9.97
"163","2019-01-23",9.975
"164","2019-01-24",9.975
"165","2019-01-25",9.975
"166","2019-01-28",9.975
"167","2019-01-29",9.975
"168","2019-01-30",9.931
"169","2019-01-31",9.91
"170","2019-02-01",9.91
"171","2019-02-04",9.91
"172","2019-02-05",9.91
"173","2019-02-06",9.91
"174","2019-02-07",9.91
"175","2019-02-08",9.91
"176","2019-02-11",9.9
"177","2019-02-12",9.9
"178","2019-02-13",9.9
"179","2019-02-14",9.9
"180","2019-02-15",9.98
"181","2019-02-19",9.98
"182","2019-02-20",9.98
"183","2019-02-21",9.96
"184","2019-02-22",9.96
"185","2019-02-25",9.95
"186","2019-02-26",9.96
"187","2019-02-27",9.96
"188","2019-02-28",9.96
"189","2019-03-01",9.95
"190","2019-03-04",9.95
"191","2019-03-05",9.95
"192","2019-03-06",9.95
"193","2019-03-07",9.95
"194","2019-03-08",9.94
"195","2019-03-11",9.94
"196","2019-03-12",9.924
"197","2019-03-13",9.924
"198","2019-03-14",9.924
"199","2019-03-15",9.924
"200","2019-03-18",9.924
"201","2019-03-19",9.91
"202","2019-03-20",9.95
"203","2019-03-21",9.95
"204","2019-03-22",9.95
"205","2019-03-25",9.95
"206","2019-03-26",9.95
"207","2019-03-27",9.93
"208","2019-03-28",9.93
"209","2019-03-29",9.99
"210","2019-04-01",9.99
"211","2019-04-02",10.02
"212","2019-04-03",10
"213","2019-04-04",10.01
"214","2019-04-05",10.01
"215","2019-04-08",10.01
"216","2019-04-09",10.01
"217","2019-04-10",10.01
"218","2019-04-11",10.01
"219","2019-04-12",10.03
"220","2019-04-15",10.03
"221","2019-04-16",10.08
"222","2019-04-17",10.08
"223","2019-04-18",10.08
"224","2019-04-22",10.08
"225","2019-04-23",10.06
"226","2019-04-24",10.06
"227","2019-04-25",10.06
"228","2019-04-26",10.06
"229","2019-04-29",10.06
"230","2019-04-30",10.06
"231","2019-05-01",10.06
"232","2019-05-02",10.06
"233","2019-05-03",10.06
"234","2019-05-06",10.06
"235","2019-05-07",10.06
"236","2019-05-08",10.06
"237","2019-05-09",10.06
"238","2019-05-10",10.04
"239","2019-05-13",10.04
"240","2019-05-14",10.04
"241","2019-05-15",10.04
"242","2019-05-16",10.04
"243","2019-05-17",10.04
"244","2019-05-20",10.04
"245","2019-05-21",10.04
"246","2019-05-22",10.06
"247","2019-05-23",10.06
"248","2019-05-24",10.06
"249","2019-05-28",10.05
"250","2019-05-29",10.06
"251","2019-05-30",10.051
"252","2019-05-31",10.09
"253","2019-06-03",10.09
"254","2019-06-04",10.1
"255","2019-06-05",10.1
"256","2019-06-06",10.1
"257","2019-06-07",10.1
