"","date","APLT"
"1","2019-05-14",9.4
"2","2019-05-15",9.75
"3","2019-05-16",9.91
"4","2019-05-17",10.02
"5","2019-05-20",10.012
"6","2019-05-21",10.05
"7","2019-05-22",10
"8","2019-05-23",9.94
"9","2019-05-24",10.01
"10","2019-05-28",9.94
"11","2019-05-29",10
"12","2019-05-30",9.96
"13","2019-05-31",9.89
"14","2019-06-03",10.02
"15","2019-06-04",9.96
"16","2019-06-05",10
"17","2019-06-06",9.1
"18","2019-06-07",9.3
"19","2019-06-10",9.9
"20","2019-06-11",9.92
"21","2019-06-12",10
"22","2019-06-13",9.76
"23","2019-06-14",8.55
"24","2019-06-17",9.06
"25","2019-06-18",8.99
"26","2019-06-19",9.26
"27","2019-06-20",9.25
"28","2019-06-21",8.64
"29","2019-06-24",8.69
"30","2019-06-25",8.405
"31","2019-06-26",8.1
"32","2019-06-27",8.33
"33","2019-06-28",8.24
"34","2019-07-01",8.5
"35","2019-07-02",8.32
"36","2019-07-03",8.26
"37","2019-07-05",8.12
"38","2019-07-08",8.08
"39","2019-07-09",8.37
"40","2019-07-10",8.1
"41","2019-07-11",8.1
"42","2019-07-12",8.99
"43","2019-07-15",9.42
"44","2019-07-16",9.27
"45","2019-07-17",9.12
"46","2019-07-18",9.1
"47","2019-07-19",9.41
"48","2019-07-22",9.41
"49","2019-07-23",9.58
"50","2019-07-24",9.07
"51","2019-07-25",9
"52","2019-07-26",8.75
"53","2019-07-29",8.92
"54","2019-07-30",8.635
"55","2019-07-31",9.09
"56","2019-08-01",8.91
"57","2019-08-02",9.08
"58","2019-08-05",8.92
"59","2019-08-06",9.25
"60","2019-08-07",9.25
"61","2019-08-08",8.5
"62","2019-08-09",8.75
"63","2019-08-12",9.27
"64","2019-08-13",9.36
"65","2019-08-14",8.83
"66","2019-08-15",8.9
"67","2019-08-16",9.54
"68","2019-08-19",10
"69","2019-08-20",9.91
"70","2019-08-21",9.95
"71","2019-08-22",10.05
"72","2019-08-23",9.94
"73","2019-08-26",9.59
"74","2019-08-27",10.25
"75","2019-08-28",10.15
"76","2019-08-29",10.5
"77","2019-08-30",10.8
"78","2019-09-03",9.8
"79","2019-09-04",10.285
"80","2019-09-05",10.1
"81","2019-09-06",10.1
"82","2019-09-09",9.99
"83","2019-09-10",9.805
"84","2019-09-11",10.19
"85","2019-09-12",9.42
"86","2019-09-13",9.28
"87","2019-09-16",9.51
"88","2019-09-17",9.8
"89","2019-09-18",9.88
"90","2019-09-19",9.81
"91","2019-09-20",10.52
"92","2019-09-23",10.15
"93","2019-09-24",9.95
"94","2019-09-25",10.68
"95","2019-09-26",10.27
"96","2019-09-27",9.925
"97","2019-09-30",10.99
"98","2019-10-01",10.45
"99","2019-10-02",10.5
"100","2019-10-03",10.5
"101","2019-10-04",10.47
"102","2019-10-07",10.25
"103","2019-10-08",10.49
"104","2019-10-09",10.5
"105","2019-10-10",10.34
"106","2019-10-11",10.6
"107","2019-10-14",10.16
"108","2019-10-15",10.39
"109","2019-10-16",11
"110","2019-10-17",11.53
"111","2019-10-18",13.26
"112","2019-10-21",15
"113","2019-10-22",16.5
"114","2019-10-23",16.93
"115","2019-10-24",17.01
"116","2019-10-25",15.86
"117","2019-10-28",17.290001
"118","2019-10-29",16.84
"119","2019-10-30",16.459999
"120","2019-10-31",16.51
"121","2019-11-01",16.92
"122","2019-11-04",16.639999
"123","2019-11-05",16.66
"124","2019-11-06",16.1
"125","2019-11-07",16.5
"126","2019-11-08",14.74
"127","2019-11-11",14.92
"128","2019-11-12",15.3
"129","2019-11-13",14.99
"130","2019-11-14",14.16
"131","2019-11-15",15
"132","2019-11-18",14.55
"133","2019-11-19",16.360001
"134","2019-11-20",16.6
"135","2019-11-21",16.17
"136","2019-11-22",16.84
"137","2019-11-25",15.99
"138","2019-11-26",16.549999
"139","2019-11-27",17.24
"140","2019-11-29",17.549999
"141","2019-12-02",17.280001
"142","2019-12-03",19.719999
"143","2019-12-04",24
"144","2019-12-05",21.5
"145","2019-12-06",20.92
"146","2019-12-09",21.26
"147","2019-12-10",20.950001
"148","2019-12-11",20.93
"149","2019-12-12",20.950001
"150","2019-12-13",21.360001
"151","2019-12-16",22.200001
"152","2019-12-17",22.68
"153","2019-12-18",22.52
"154","2019-12-19",23.040001
"155","2019-12-20",24.719999
"156","2019-12-23",24.299999
"157","2019-12-24",22.58
"158","2019-12-26",25.5
"159","2019-12-27",26.08
"160","2019-12-30",28.139999
"161","2019-12-31",27.280001
"162","2020-01-02",28.77
"163","2020-01-03",29.9
"164","2020-01-06",26.709999
"165","2020-01-07",26.16
"166","2020-01-08",35.18
"167","2020-01-09",44.130001
"168","2020-01-10",40.560001
"169","2020-01-13",42.099998
"170","2020-01-14",46.360001
"171","2020-01-15",44.57
"172","2020-01-16",48.290001
"173","2020-01-17",48.860001
"174","2020-01-21",48.349998
"175","2020-01-22",47.93
"176","2020-01-23",48.849998
"177","2020-01-24",48.66
"178","2020-01-27",50.32
"179","2020-01-28",49.830002
"180","2020-01-29",49.599998
"181","2020-01-30",53.130001
"182","2020-01-31",52.470001
"183","2020-02-03",54.009998
"184","2020-02-04",54.700001
"185","2020-02-05",55.470001
"186","2020-02-06",51.259998
"187","2020-02-07",53.950001
"188","2020-02-10",53.779999
"189","2020-02-11",53
"190","2020-02-12",52.799999
"191","2020-02-13",49.080002
"192","2020-02-14",45.759998
"193","2020-02-18",44.900002
"194","2020-02-19",41.169998
"195","2020-02-20",43.189999
"196","2020-02-21",42.779999
"197","2020-02-24",40.970001
"198","2020-02-25",40.98
"199","2020-02-26",41.700001
"200","2020-02-27",41.650002
"201","2020-02-28",41.549999
"202","2020-03-02",41.869999
"203","2020-03-03",41.59
"204","2020-03-04",44.560001
"205","2020-03-05",40.400002
"206","2020-03-06",41.110001
"207","2020-03-09",34.279999
"208","2020-03-10",34.099998
"209","2020-03-11",29.59
"210","2020-03-12",27.01
"211","2020-03-13",27.83
"212","2020-03-16",19.540001
"213","2020-03-17",23.200001
"214","2020-03-18",21.280001
"215","2020-03-19",25.190001
"216","2020-03-20",27
"217","2020-03-23",27.99
"218","2020-03-24",29.58
"219","2020-03-25",30.02
"220","2020-03-26",30.43
"221","2020-03-27",30.440001
"222","2020-03-30",33.990002
"223","2020-03-31",32.689999
"224","2020-04-01",29.41
"225","2020-04-02",31.049999
"226","2020-04-03",31.860001
"227","2020-04-06",35.009998
"228","2020-04-07",40.599998
"229","2020-04-08",45.93
"230","2020-04-09",43.52
"231","2020-04-13",41.330002
"232","2020-04-14",41.66
"233","2020-04-15",40.599998
"234","2020-04-16",38.200001
"235","2020-04-17",42
"236","2020-04-20",39.759998
"237","2020-04-21",35.27
"238","2020-04-22",34.77
"239","2020-04-23",34.830002
"240","2020-04-24",37.529999
"241","2020-04-27",39.41
"242","2020-04-28",37
"243","2020-04-29",38.880001
"244","2020-04-30",35.75
"245","2020-05-01",36.630001
"246","2020-05-04",37.43
"247","2020-05-05",42
"248","2020-05-06",45.07
"249","2020-05-07",45
"250","2020-05-08",46.299999
"251","2020-05-11",49.25
"252","2020-05-12",47.810001
"253","2020-05-13",44.25
"254","2020-05-14",42.990002
"255","2020-05-15",44
"256","2020-05-18",45.360001
"257","2020-05-19",47.360001
"258","2020-05-20",51.23
"259","2020-05-21",49.419998
"260","2020-05-22",47.73
"261","2020-05-26",48.290001
"262","2020-05-27",48.349998
"263","2020-05-28",46.919998
"264","2020-05-29",45.52
"265","2020-06-01",46.41
"266","2020-06-02",44.900002
"267","2020-06-03",44
"268","2020-06-04",44.02
"269","2020-06-05",41.720001
"270","2020-06-08",44.540001
"271","2020-06-09",42.75
"272","2020-06-10",43.02
"273","2020-06-11",39.959999
"274","2020-06-12",40.740002
"275","2020-06-15",42.669998
"276","2020-06-16",43.950001
"277","2020-06-17",43.470001
"278","2020-06-18",45.200001
"279","2020-06-19",48.240002
"280","2020-06-22",48.380001
"281","2020-06-23",43.639999
"282","2020-06-24",38.810001
"283","2020-06-25",37.740002
"284","2020-06-26",35.34
"285","2020-06-29",35.57
"286","2020-06-30",36.150002
"287","2020-07-01",35.360001
"288","2020-07-02",33.150002
"289","2020-07-06",31.370001
"290","2020-07-07",32.389999
"291","2020-07-08",32.349998
"292","2020-07-09",31.219999
"293","2020-07-10",30.469999
