"","date","HWM"
"1","2016-11-01",18.92
"2","2016-11-02",17.940001
"3","2016-11-03",17.49
"4","2016-11-04",17.68
"5","2016-11-07",17.34
"6","2016-11-08",17.41
"7","2016-11-09",17.530001
"8","2016-11-10",18.450001
"9","2016-11-11",18.860001
"10","2016-11-14",19.09
"11","2016-11-15",19.91
"12","2016-11-16",19.610001
"13","2016-11-17",19.5
"14","2016-11-18",19.91
"15","2016-11-21",20.18
"16","2016-11-22",19.889999
"17","2016-11-23",20.280001
"18","2016-11-25",20.530001
"19","2016-11-28",20.15
"20","2016-11-29",19.67
"21","2016-11-30",19.280001
"22","2016-12-01",19.5
"23","2016-12-02",19.690001
"24","2016-12-05",20.26
"25","2016-12-06",20.32
"26","2016-12-07",20.879999
"27","2016-12-08",20.91
"28","2016-12-09",21.799999
"29","2016-12-12",21.58
"30","2016-12-13",21.190001
"31","2016-12-14",20.75
"32","2016-12-15",20.559999
"33","2016-12-16",20.26
"34","2016-12-19",20.02
"35","2016-12-20",20.1
"36","2016-12-21",20.02
"37","2016-12-22",20.07
"38","2016-12-23",19.780001
"39","2016-12-27",19.780001
"40","2016-12-28",19.25
"41","2016-12-29",18.700001
"42","2016-12-30",18.540001
"43","2017-01-03",19.190001
"44","2017-01-04",19.700001
"45","2017-01-05",20.1
"46","2017-01-06",20.629999
"47","2017-01-09",20.389999
"48","2017-01-10",20.709999
"49","2017-01-11",21.1
"50","2017-01-12",21
"51","2017-01-13",21.129999
"52","2017-01-17",20.74
"53","2017-01-18",20.879999
"54","2017-01-19",21.309999
"55","2017-01-20",21.290001
"56","2017-01-23",21.33
"57","2017-01-24",22.17
"58","2017-01-25",22.690001
"59","2017-01-26",22.860001
"60","2017-01-27",22.6
"61","2017-01-30",22.5
"62","2017-01-31",22.790001
"63","2017-02-01",25.280001
"64","2017-02-02",25.200001
"65","2017-02-03",25.9
"66","2017-02-06",26.200001
"67","2017-02-07",26.620001
"68","2017-02-08",27.299999
"69","2017-02-09",27.959999
"70","2017-02-10",29.620001
"71","2017-02-13",29.65
"72","2017-02-14",29.52
"73","2017-02-15",29.209999
"74","2017-02-16",29.49
"75","2017-02-17",29.91
"76","2017-02-21",30.290001
"77","2017-02-22",30.549999
"78","2017-02-23",29.57
"79","2017-02-24",29.32
"80","2017-02-27",29.24
"81","2017-02-28",28.790001
"82","2017-03-01",29.540001
"83","2017-03-02",28.540001
"84","2017-03-03",28.09
"85","2017-03-06",27.700001
