"","date","ORAN"
"1","2007-01-03",28.07
"2","2007-01-04",28.440001
"3","2007-01-05",28.200001
"4","2007-01-08",28.24
"5","2007-01-09",28.889999
"6","2007-01-10",28.450001
"7","2007-01-11",28.5
"8","2007-01-12",28.809999
"9","2007-01-16",28.74
"10","2007-01-17",28.389999
"11","2007-01-18",28.25
"12","2007-01-19",28.450001
"13","2007-01-22",28.200001
"14","2007-01-23",28.1
"15","2007-01-24",28.280001
"16","2007-01-25",27.719999
"17","2007-01-26",27.74
"18","2007-01-29",27.360001
"19","2007-01-30",27.639999
"20","2007-01-31",27.809999
"21","2007-02-01",27.809999
"22","2007-02-02",27.389999
"23","2007-02-05",27.48
"24","2007-02-06",27.620001
"25","2007-02-07",27.99
"26","2007-02-08",27.85
"27","2007-02-09",27.66
"28","2007-02-12",27.66
"29","2007-02-13",27.969999
"30","2007-02-14",28.24
"31","2007-02-15",28.07
"32","2007-02-16",28.370001
"33","2007-02-20",28.25
"34","2007-02-21",27.84
"35","2007-02-22",27.709999
"36","2007-02-23",28.17
"37","2007-02-26",28.07
"38","2007-02-27",26.93
"39","2007-02-28",27.08
"40","2007-03-01",26.540001
"41","2007-03-02",25.889999
"42","2007-03-05",25.549999
"43","2007-03-06",25.91
"44","2007-03-07",25.77
"45","2007-03-08",25.9
"46","2007-03-09",26.059999
"47","2007-03-12",26.02
"48","2007-03-13",25.51
"49","2007-03-14",25.389999
"50","2007-03-15",25.360001
"51","2007-03-16",25.780001
"52","2007-03-19",25.91
"53","2007-03-20",26.209999
"54","2007-03-21",26.870001
"55","2007-03-22",26.879999
"56","2007-03-23",26.6
"57","2007-03-26",26.690001
"58","2007-03-27",26.26
"59","2007-03-28",26.01
"60","2007-03-29",26.24
"61","2007-03-30",26.4
"62","2007-04-02",26.959999
"63","2007-04-03",27.27
"64","2007-04-04",27.33
"65","2007-04-05",27.459999
"66","2007-04-09",27.389999
"67","2007-04-10",27.82
"68","2007-04-11",27.59
"69","2007-04-12",27.82
"70","2007-04-13",28.16
"71","2007-04-16",28.41
"72","2007-04-17",28.26
"73","2007-04-18",28.17
"74","2007-04-19",28.120001
"75","2007-04-20",28.549999
"76","2007-04-23",28.4
"77","2007-04-24",28.540001
"78","2007-04-25",28.690001
"79","2007-04-26",29.34
"80","2007-04-27",29.290001
"81","2007-04-30",29.27
"82","2007-05-01",29.209999
"83","2007-05-02",29.43
"84","2007-05-03",29.25
"85","2007-05-04",29.92
"86","2007-05-07",29.83
"87","2007-05-08",29.860001
"88","2007-05-09",30.110001
"89","2007-05-10",29.24
"90","2007-05-11",29.93
"91","2007-05-14",29.709999
"92","2007-05-15",29.709999
"93","2007-05-16",29.5
"94","2007-05-17",29.049999
"95","2007-05-18",29.690001
"96","2007-05-21",29.32
"97","2007-05-22",29.709999
"98","2007-05-23",30.24
"99","2007-05-24",30.08
"100","2007-05-25",30.209999
"101","2007-05-29",30.4
"102","2007-05-30",30.76
"103","2007-05-31",30.719999
"104","2007-06-01",31.5
"105","2007-06-04",29.709999
