"","date","PRAH"
"1","2014-11-13",19.620001
"2","2014-11-14",20.219999
"3","2014-11-17",20.540001
"4","2014-11-18",20.35
"5","2014-11-19",20.389999
"6","2014-11-20",20.67
"7","2014-11-21",21.52
"8","2014-11-24",22.5
"9","2014-11-25",22.49
"10","2014-11-26",21.99
"11","2014-11-28",21.84
"12","2014-12-01",21.27
"13","2014-12-02",21.790001
"14","2014-12-03",22.08
"15","2014-12-04",21.82
"16","2014-12-05",22.059999
"17","2014-12-08",21.92
"18","2014-12-09",22.15
"19","2014-12-10",22.15
"20","2014-12-11",22.530001
"21","2014-12-12",22.709999
"22","2014-12-15",22.99
"23","2014-12-16",23.65
"24","2014-12-17",24.09
"25","2014-12-18",23.799999
"26","2014-12-19",24
"27","2014-12-22",24.65
"28","2014-12-23",25.5
"29","2014-12-24",25.120001
"30","2014-12-26",24.389999
"31","2014-12-29",24.73
"32","2014-12-30",23.959999
"33","2014-12-31",24.219999
"34","2015-01-02",23.52
"35","2015-01-05",23.75
"36","2015-01-06",22.719999
"37","2015-01-07",22.959999
"38","2015-01-08",25.540001
"39","2015-01-09",25.42
"40","2015-01-12",25.34
"41","2015-01-13",25.91
"42","2015-01-14",26.040001
"43","2015-01-15",25.110001
"44","2015-01-16",25.02
"45","2015-01-20",24.549999
"46","2015-01-21",25.35
"47","2015-01-22",27.25
"48","2015-01-23",26.120001
"49","2015-01-26",26.190001
"50","2015-01-27",27.200001
"51","2015-01-28",26.129999
"52","2015-01-29",27.219999
"53","2015-01-30",26.129999
"54","2015-02-02",27.120001
"55","2015-02-03",26.93
"56","2015-02-04",27.24
"57","2015-02-05",27.700001
"58","2015-02-06",27.6
"59","2015-02-09",26.690001
"60","2015-02-10",26.530001
"61","2015-02-11",26.92
"62","2015-02-12",26.879999
"63","2015-02-13",27.190001
"64","2015-02-17",27.469999
"65","2015-02-18",27.84
"66","2015-02-19",28.040001
"67","2015-02-20",28.08
"68","2015-02-23",28.65
"69","2015-02-24",29.23
"70","2015-02-25",31.07
"71","2015-02-26",31.49
"72","2015-02-27",31.52
"73","2015-03-02",31.5
"74","2015-03-03",30.42
"75","2015-03-04",30.5
"76","2015-03-05",30.85
"77","2015-03-06",30.32
"78","2015-03-09",30.16
"79","2015-03-10",29.889999
"80","2015-03-11",29.879999
"81","2015-03-12",30.49
"82","2015-03-13",29.940001
"83","2015-03-16",30.299999
"84","2015-03-17",30.41
"85","2015-03-18",30.42
"86","2015-03-19",30.879999
"87","2015-03-20",29.66
"88","2015-03-23",29.59
"89","2015-03-24",29.75
"90","2015-03-25",29.41
"91","2015-03-26",28.879999
"92","2015-03-27",28.709999
"93","2015-03-30",29.040001
"94","2015-03-31",28.84
"95","2015-04-01",28.99
"96","2015-04-02",28.120001
"97","2015-04-06",28.99
"98","2015-04-07",28.66
"99","2015-04-08",29.75
"100","2015-04-09",29.639999
"101","2015-04-10",30.27
"102","2015-04-13",30.43
"103","2015-04-14",29.219999
"104","2015-04-15",28.99
"105","2015-04-16",28.17
"106","2015-04-17",27.58
"107","2015-04-20",27.76
"108","2015-04-21",27.48
"109","2015-04-22",27.9
"110","2015-04-23",28.280001
"111","2015-04-24",27.75
"112","2015-04-27",27.27
"113","2015-04-28",28.530001
"114","2015-04-29",29.110001
"115","2015-04-30",28.48
"116","2015-05-01",28.77
"117","2015-05-04",29.365
"118","2015-05-05",29.07
"119","2015-05-06",29
"120","2015-05-07",28.860001
"121","2015-05-08",29.23
"122","2015-05-11",29.4
"123","2015-05-12",30.129999
"124","2015-05-13",29.559999
"125","2015-05-14",30.440001
"126","2015-05-15",31.190001
"127","2015-05-18",32.099998
"128","2015-05-19",32.049999
"129","2015-05-20",32.610001
"130","2015-05-21",32.380001
"131","2015-05-22",32.369999
"132","2015-05-26",32.299999
"133","2015-05-27",32.73
"134","2015-05-28",32.73
"135","2015-05-29",33.459999
"136","2015-06-01",33.52
"137","2015-06-02",33.799999
"138","2015-06-03",33.77
"139","2015-06-04",33.720001
