"","date","CNSP"
"1","2019-11-08",4.57
"2","2019-11-11",4.25
"3","2019-11-12",4.02
"4","2019-11-13",4.08
"5","2019-11-14",4.24
"6","2019-11-15",4.38
"7","2019-11-18",4.159
"8","2019-11-19",4.32
"9","2019-11-20",4.09
"10","2019-11-21",4.29
"11","2019-11-22",4.235
"12","2019-11-25",4.22
"13","2019-11-26",4.09
"14","2019-11-27",4.167
"15","2019-11-29",4.13
"16","2019-12-02",4.06
"17","2019-12-03",4.01
"18","2019-12-04",4.05
"19","2019-12-05",4.08
"20","2019-12-06",3.99
"21","2019-12-09",3.94
"22","2019-12-10",3.78
"23","2019-12-11",3.87
"24","2019-12-12",4.03
"25","2019-12-13",3.95
"26","2019-12-16",3.89
"27","2019-12-17",3.85
"28","2019-12-18",3.87
"29","2019-12-19",3.97
"30","2019-12-20",3.73
"31","2019-12-23",3.86
"32","2019-12-24",3.85
"33","2019-12-26",3.91
"34","2019-12-27",3.905
"35","2019-12-30",3.87
"36","2019-12-31",3.95
"37","2020-01-02",3.91
"38","2020-01-03",4
"39","2020-01-06",3.96
"40","2020-01-07",4.3
"41","2020-01-08",4.25
"42","2020-01-09",4.431
"43","2020-01-10",4.99
"44","2020-01-13",4.59
"45","2020-01-14",4.37
"46","2020-01-15",4.37
"47","2020-01-16",4.46
"48","2020-01-17",4.33
"49","2020-01-21",4.48
"50","2020-01-22",4.394
"51","2020-01-23",4.45
"52","2020-01-24",4.4
"53","2020-01-27",4.32
"54","2020-01-28",4.23
"55","2020-01-29",4.12
"56","2020-01-30",4.35
"57","2020-01-31",4.31
"58","2020-02-03",4.36
"59","2020-02-04",4.6
"60","2020-02-05",4.44
"61","2020-02-06",4.37
"62","2020-02-07",4.27
"63","2020-02-10",4.06
"64","2020-02-11",4.1
"65","2020-02-12",4.11
"66","2020-02-13",4.07
"67","2020-02-14",4.018
"68","2020-02-18",4.14
"69","2020-02-19",4.14
"70","2020-02-20",4.13
"71","2020-02-21",4.1
"72","2020-02-24",4.069
"73","2020-02-25",3.99
"74","2020-02-26",3.79
"75","2020-02-27",3.9
"76","2020-02-28",3.72
"77","2020-03-02",3.927
"78","2020-03-03",3.91
"79","2020-03-04",4
"80","2020-03-05",3.76
"81","2020-03-06",3.71
"82","2020-03-09",3.5
"83","2020-03-10",3.52
"84","2020-03-11",2.905
"85","2020-03-12",2.21
"86","2020-03-13",2
"87","2020-03-16",1.45
"88","2020-03-17",1.75
"89","2020-03-18",1.85
"90","2020-03-19",2.24
"91","2020-03-20",2.48
"92","2020-03-23",2.4
"93","2020-03-24",2.57
"94","2020-03-25",2.5
"95","2020-03-26",2.39
"96","2020-03-27",2.12
"97","2020-03-30",2.09
"98","2020-03-31",2.1
"99","2020-04-01",2.05
"100","2020-04-02",2
"101","2020-04-03",2.16
"102","2020-04-06",2.2
"103","2020-04-07",2
"104","2020-04-08",2.75
"105","2020-04-09",3.34
"106","2020-04-13",3.7
"107","2020-04-14",3.31
"108","2020-04-15",3.27
"109","2020-04-16",3.16
"110","2020-04-17",3.09
"111","2020-04-20",3.23
"112","2020-04-21",3.07
"113","2020-04-22",2.99
"114","2020-04-23",2.95
"115","2020-04-24",2.79
"116","2020-04-27",2.93
"117","2020-04-28",2.98
"118","2020-04-29",2.91
"119","2020-04-30",2.87
"120","2020-05-01",2.76
"121","2020-05-04",2.76
"122","2020-05-05",2.76
"123","2020-05-06",2.76
"124","2020-05-07",2.76
"125","2020-05-08",2.76
"126","2020-05-11",2.76
"127","2020-05-12",2.76
"128","2020-05-13",2.76
"129","2020-05-14",2.76
"130","2020-05-15",2.76
"131","2020-05-18",2.76
"132","2020-05-19",2.76
"133","2020-05-20",2.76
"134","2020-05-21",2.76
"135","2020-05-22",2.76
"136","2020-05-26",2.76
"137","2020-05-27",2.76
"138","2020-05-28",2.4
"139","2020-05-29",2.66
"140","2020-06-01",2.85
"141","2020-06-02",2.75
"142","2020-06-03",2.7
"143","2020-06-04",2.761
"144","2020-06-05",2.66
"145","2020-06-08",2.535
"146","2020-06-09",2.52
"147","2020-06-10",2.68
"148","2020-06-11",2.59
"149","2020-06-12",2.47
"150","2020-06-15",2.42
"151","2020-06-16",2.42
"152","2020-06-17",2.38
"153","2020-06-18",2.35
"154","2020-06-19",2.29
"155","2020-06-22",2.29
"156","2020-06-23",2.48
"157","2020-06-24",2.33
"158","2020-06-25",2.25
"159","2020-06-26",2.05
"160","2020-06-29",2.07
"161","2020-06-30",2.14
"162","2020-07-01",2.09
"163","2020-07-02",2.07
"164","2020-07-06",2.155
"165","2020-07-07",1.95
"166","2020-07-08",2.06
"167","2020-07-09",1.95
"168","2020-07-10",1.87
"169","2020-07-13",1.69
"170","2020-07-14",1.72
"171","2020-07-15",1.87
"172","2020-07-16",2.05
"173","2020-07-17",2.05
"174","2020-07-20",1.96
"175","2020-07-21",1.91
"176","2020-07-22",1.93
"177","2020-07-23",1.99
"178","2020-07-24",1.96
"179","2020-07-27",1.92
"180","2020-07-28",1.925
"181","2020-07-29",1.9
"182","2020-07-30",1.89
"183","2020-07-31",1.86
"184","2020-08-03",1.83
"185","2020-08-04",1.93
"186","2020-08-05",1.93
"187","2020-08-06",1.87
"188","2020-08-07",1.875
"189","2020-08-10",1.91
"190","2020-08-11",1.83
"191","2020-08-12",1.77
"192","2020-08-13",1.825
"193","2020-08-14",1.77
"194","2020-08-17",1.81
"195","2020-08-18",1.8
"196","2020-08-19",1.79
"197","2020-08-20",1.73
"198","2020-08-21",1.73
"199","2020-08-24",2.16
"200","2020-08-25",2.18
"201","2020-08-26",2.64
"202","2020-08-27",2.5
"203","2020-08-28",2.37
"204","2020-08-31",2.15
"205","2020-09-01",2.07
"206","2020-09-02",1.98
"207","2020-09-03",2.239
"208","2020-09-04",2.15
"209","2020-09-08",2.07
"210","2020-09-09",2.05
"211","2020-09-10",2.06
"212","2020-09-11",2.01
"213","2020-09-14",1.95
"214","2020-09-15",1.96
"215","2020-09-16",1.96
"216","2020-09-17",1.95
"217","2020-09-18",1.88
"218","2020-09-21",1.9
"219","2020-09-22",1.84
"220","2020-09-23",1.8
"221","2020-09-24",1.76
"222","2020-09-25",1.85
"223","2020-09-28",1.8
"224","2020-09-29",1.78
"225","2020-09-30",1.76
"226","2020-10-01",1.865
"227","2020-10-02",1.83
"228","2020-10-05",1.85
"229","2020-10-06",1.83
"230","2020-10-07",1.88
"231","2020-10-08",1.85
"232","2020-10-09",1.9
"233","2020-10-12",1.85
"234","2020-10-13",1.94
"235","2020-10-14",1.9
"236","2020-10-15",1.854
"237","2020-10-16",1.83
"238","2020-10-19",1.82
"239","2020-10-20",1.86
"240","2020-10-21",1.83
"241","2020-10-22",1.82
"242","2020-10-23",1.88
"243","2020-10-26",1.81
"244","2020-10-27",1.84
"245","2020-10-28",1.75
"246","2020-10-29",1.79
"247","2020-10-30",1.682
"248","2020-11-02",1.68
"249","2020-11-03",1.7
"250","2020-11-04",1.82
"251","2020-11-05",1.84
"252","2020-11-06",2.16
"253","2020-11-09",2.13
"254","2020-11-10",2.02
"255","2020-11-11",2.2
"256","2020-11-12",2.22
"257","2020-11-13",2.12
"258","2020-11-16",2.08
"259","2020-11-17",2.154
"260","2020-11-18",2.1
"261","2020-11-19",2.15
"262","2020-11-20",2.25
"263","2020-11-23",2.37
"264","2020-11-24",2.3
"265","2020-11-25",2.375
"266","2020-11-27",2.4
