"","date","AFIB"
"1","2020-08-06",26.5
"2","2020-08-07",26.790001
"3","2020-08-10",28
"4","2020-08-11",24.91
"5","2020-08-12",24.85
"6","2020-08-13",24.5
"7","2020-08-14",24.889999
"8","2020-08-17",25.98
"9","2020-08-18",26.379999
"10","2020-08-19",27.07
"11","2020-08-20",27.07
"12","2020-08-21",27.66
"13","2020-08-24",27.5
"14","2020-08-25",29.93
"15","2020-08-26",29.540001
"16","2020-08-27",30
"17","2020-08-28",30.959999
"18","2020-08-31",35.080002
"19","2020-09-01",37.650002
"20","2020-09-02",37.380001
"21","2020-09-03",34.279999
"22","2020-09-04",33.560001
"23","2020-09-08",32.880001
"24","2020-09-09",33.029999
"25","2020-09-10",32.84
"26","2020-09-11",34.240002
"27","2020-09-14",34.759998
"28","2020-09-15",34.369999
"29","2020-09-16",35.459999
"30","2020-09-17",34.509998
"31","2020-09-18",33.68
"32","2020-09-21",30.639999
"33","2020-09-22",30.219999
"34","2020-09-23",28.65
"35","2020-09-24",29.219999
"36","2020-09-25",29.76
"37","2020-09-28",29.43
"38","2020-09-29",29.98
"39","2020-09-30",29.799999
"40","2020-10-01",28.700001
"41","2020-10-02",27.32
"42","2020-10-05",27.15
"43","2020-10-06",27.33
"44","2020-10-07",27.26
"45","2020-10-08",28.1
"46","2020-10-09",30.27
"47","2020-10-12",28.870001
"48","2020-10-13",27.879999
"49","2020-10-14",28
"50","2020-10-15",26.74
"51","2020-10-16",26.17
"52","2020-10-19",25.9
"53","2020-10-20",25.25
"54","2020-10-21",25.049999
"55","2020-10-22",25
"56","2020-10-23",26.25
"57","2020-10-26",24.93
"58","2020-10-27",25.91
"59","2020-10-28",25.02
"60","2020-10-29",24.450001
"61","2020-10-30",22.870001
"62","2020-11-02",23
"63","2020-11-03",24.059999
"64","2020-11-04",23.809999
"65","2020-11-05",23.41
"66","2020-11-06",23.030001
"67","2020-11-09",24.290001
"68","2020-11-10",25.049999
"69","2020-11-11",24.35
"70","2020-11-12",24.610001
"71","2020-11-13",24.190001
"72","2020-11-16",24.389999
"73","2020-11-17",25.32
"74","2020-11-18",24.9
"75","2020-11-19",25.5
"76","2020-11-20",26.75
"77","2020-11-23",28.67
"78","2020-11-24",26.139999
"79","2020-11-25",27.459999
"80","2020-11-27",28.77
