"","date","BIVI"
"1","2020-09-18",9.99
"2","2020-09-21",9.75
"3","2020-09-22",9.55
"4","2020-09-23",9.3
"5","2020-09-24",9.4
"6","2020-09-25",9.16
"7","2020-09-28",9.339
"8","2020-09-29",9.46
"9","2020-09-30",9.51
"10","2020-10-01",9.54
"11","2020-10-02",9.37
"12","2020-10-05",9.31
"13","2020-10-06",9.51
"14","2020-10-07",9.32
"15","2020-10-08",9.32
"16","2020-10-09",9.6
"17","2020-10-12",9.38
"18","2020-10-13",9.9
"19","2020-10-14",10.55
"20","2020-10-15",10.29
"21","2020-10-16",9.75
"22","2020-10-19",9.57
"23","2020-10-20",9.53
"24","2020-10-21",9.11
"25","2020-10-22",9.175
"26","2020-10-23",9.01
"27","2020-10-26",7.98
"28","2020-10-27",8.03
"29","2020-10-28",7.933
"30","2020-10-29",8.3
"31","2020-10-30",7.97
"32","2020-11-02",7.925
"33","2020-11-03",8.125
"34","2020-11-04",8.205
"35","2020-11-05",8.14
"36","2020-11-06",8.24
"37","2020-11-09",8.29
"38","2020-11-10",8.075
"39","2020-11-11",8.1
"40","2020-11-12",7.97
"41","2020-11-13",8.04
"42","2020-11-16",7.86
"43","2020-11-17",8
"44","2020-11-18",7.846
"45","2020-11-19",7.88
"46","2020-11-20",7.9
"47","2020-11-23",8.06
"48","2020-11-24",8.43
"49","2020-11-25",8.44
"50","2020-11-27",8.84
