"","date","SVA"
"1","2012-06-18",2.01
"2","2012-06-19",2.02
"3","2012-06-20",2.05
"4","2012-06-21",2.07
"5","2012-06-22",2.05
"6","2012-06-25",2.04
"7","2012-06-26",2.1
"8","2012-06-27",2.08
"9","2012-06-28",2.05
"10","2012-06-29",2.11
"11","2012-07-02",2.2
"12","2012-07-03",2.15
"13","2012-07-05",2.24
"14","2012-07-06",2.24
"15","2012-07-09",2.3
"16","2012-07-10",2.22
"17","2012-07-11",2.21
"18","2012-07-12",2.24
"19","2012-07-13",2.19
"20","2012-07-16",2.22
"21","2012-07-17",2.22
"22","2012-07-18",2.15
"23","2012-07-19",2.22
"24","2012-07-20",2.16
"25","2012-07-23",2.12
"26","2012-07-24",2.08
"27","2012-07-25",2.1
"28","2012-07-26",2.12
"29","2012-07-27",2.19
"30","2012-07-30",2.22
"31","2012-07-31",2.14
"32","2012-08-01",2.13
"33","2012-08-02",2.09
"34","2012-08-03",2.16
"35","2012-08-06",2.21
"36","2012-08-07",2.18
"37","2012-08-08",2.16
"38","2012-08-09",2.1901
"39","2012-08-10",2.19
"40","2012-08-13",2.19
"41","2012-08-14",2.27
"42","2012-08-15",2.23
"43","2012-08-16",2.21
"44","2012-08-17",2.2
"45","2012-08-20",2.23
"46","2012-08-21",2.24
"47","2012-08-22",2.22
"48","2012-08-23",2.21
"49","2012-08-24",2.21
"50","2012-08-27",2.18
"51","2012-08-28",2.25
"52","2012-08-29",2.22
"53","2012-08-30",2.2
"54","2012-08-31",2.21
"55","2012-09-04",2.24
"56","2012-09-05",2.19
"57","2012-09-06",2.25
"58","2012-09-07",2.16
"59","2012-09-10",2.24
"60","2012-09-11",2.25
"61","2012-09-12",2.22
"62","2012-09-13",2.26
"63","2012-09-14",2.26
"64","2012-09-17",2.25
"65","2012-09-18",2.44
"66","2012-09-19",2.64
"67","2012-09-20",2.41
"68","2012-09-21",2.51
"69","2012-09-24",2.49
"70","2012-09-25",2.68
"71","2012-09-26",2.62
"72","2012-09-27",2.57
"73","2012-09-28",2.52
"74","2012-10-01",2.74
"75","2012-10-02",2.87
"76","2012-10-03",3.02
"77","2012-10-04",3.29
"78","2012-10-05",3.31
